Date,Comp,venue,opponent,goals_for,goals_against,result
2022-08-13,Serie A,Home,Atalanta,0,2,L
2022-08-22,Serie A,Home,Juventus,0,0,D
2022-08-28,Serie A,Away,Salernitana,0,4,L
2022-08-31,Serie A,Home,Lazio,1,1,D
2022-09-04,Serie A,Away,Hellas Verona,1,2,L
2022-09-10,Serie A,Home,Milan,1,2,L
2022-09-17,Serie A,Away,Spezia,1,2,L
2022-10-02,Serie A,Home,Monza,0,3,L
2022-10-08,Serie A,Away,Bologna,1,1,D
2022-10-17,Serie A,Home,Roma,0,1,L
2022-10-24,Serie A,Away,Cremonese,1,0,W
2022-10-29,Serie A,Away,Inter,0,3,L
2022-11-06,Serie A,Home,Fiorentina,0,2,L
2022-11-09,Serie A,Away,Torino,0,2,L
2022-11-12,Serie A,Home,Lecce,0,2,L
2023-01-04,Serie A,Away,Sassuolo,2,1,W
2023-01-08,Serie A,Home,Napoli,0,2,L
2023-01-16,Serie A,Away,Empoli,0,1,L
2023-01-22,Serie A,Home,Udinese,0,1,L
2023-01-28,Serie A,Away,Atalanta,0,2,L
2023-02-06,Serie A,Away,Monza,2,2,D
2023-02-13,Serie A,Home,Inter,0,0,D
2023-02-18,Serie A,Home,Bologna,1,2,L
2023-02-27,Serie A,Away,Lazio,0,1,L
2023-03-05,Serie A,Home,Salernitana,0,0,D
2023-03-12,Serie A,Away,Juventus,2,4,L
2023-03-19,Serie A,Home,Hellas Verona,3,1,W
2023-04-02,Serie A,Away,Roma,0,3,L
2023-04-08,Serie A,Home,Cremonese,2,3,L
2023-04-16,Serie A,Away,Lecce,1,1,D
2023-04-22,Serie A,Home,Spezia,1,1,D
2023-04-30,Serie A,Away,Fiorentina,0,5,L
2023-05-03,Serie A,Home,Torino,0,2,L
2023-05-08,Serie A,Away,Udinese,0,2,L
2023-05-15,Serie A,Home,Empoli,1,1,D
2023-05-20,Serie A,Away,Milan,1,5,L
2023-05-26,Serie A,Home,Sassuolo,2,2,D
2023-06-04,Serie A,Away,Napoli,0,2,L
