Date,Comp,venue,opponent,goals_for,goals_against,result
2023-08-19,Serie A,Home,Monza,2,0,W
2023-08-28,Serie A,Away,Cagliari,2,0,W
2023-09-03,Serie A,Home,Fiorentina,4,0,W
2023-09-16,Serie A,Home,Milan,5,1,W
2023-09-24,Serie A,Away,Empoli,1,0,W
2023-09-27,Serie A,Home,Sassuolo,1,2,L
2023-09-30,Serie A,Away,Salernitana,4,0,W
2023-10-07,Serie A,Home,Bologna,2,2,D
2023-10-21,Serie A,Away,Torino,3,0,W
2023-10-29,Serie A,Home,Roma,1,0,W
2023-11-04,Serie A,Away,Atalanta,2,1,W
2023-11-12,Serie A,Home,Frosinone,2,0,W
2023-11-26,Serie A,Away,Juventus,1,1,D
2023-12-03,Serie A,Away,Napoli,3,0,W
2023-12-09,Serie A,Home,Udinese,4,0,W
2023-12-17,Serie A,Away,Lazio,2,0,W
2023-12-23,Serie A,Home,Lecce,2,0,W
2023-12-29,Serie A,Away,Genoa,1,1,D
2024-01-06,Serie A,Home,Hellas Verona,2,1,W
2024-01-13,Serie A,Away,Monza,5,1,W
2024-01-28,Serie A,Away,Fiorentina,1,0,W
2024-02-04,Serie A,Home,Juventus,1,0,W
2024-02-10,Serie A,Away,Roma,4,2,W
2024-02-16,Serie A,Home,Salernitana,4,0,W
2024-02-25,Serie A,Away,Lecce,4,0,W
2024-02-28,Serie A,Home,Atalanta,4,0,W
2024-03-04,Serie A,Home,Genoa,2,1,W
2024-03-09,Serie A,Away,Bologna,1,0,W
2024-03-17,Serie A,Home,Napoli,1,1,D
2024-04-01,Serie A,Home,Empoli,2,0,W
2024-04-08,Serie A,Away,Udinese,2,1,W
2024-04-14,Serie A,Home,Cagliari,2,2,D
2024-04-22,Serie A,Away,Milan,2,1,W
2024-04-28,Serie A,Home,Torino,2,0,W
2024-05-04,Serie A,Away,Sassuolo,0,1,L
2024-05-10,Serie A,Away,Frosinone,5,0,W
2024-05-19,Serie A,Home,Lazio,1,1,D
2024-05-26,Serie A,Away,Hellas Verona,2,2,D
