Date,Comp,venue,opponent,goals_for,goals_against,result
2024-08-18,Serie A,Home,Udinese,1,1,D
2024-08-25,Serie A,Away,Napoli,0,3,L
2024-08-31,Serie A,Home,Empoli,1,1,D
2024-09-14,Serie A,Away,Como,2,2,D
2024-09-22,Serie A,Away,Monza,2,1,W
2024-09-28,Serie A,Home,Atalanta,1,1,D
2024-10-06,Serie A,Home,Parma,0,0,D
2024-10-19,Serie A,Away,Genoa,2,2,D
2024-10-29,Serie A,Away,Cagliari,2,0,W
2024-11-02,Serie A,Home,Lecce,1,0,W
2024-11-10,Serie A,Away,Roma,3,2,W
2024-11-24,Serie A,Away,Lazio,0,3,L
2024-11-30,Serie A,Home,Venezia,3,0,W
2024-12-07,Serie A,Away,Juventus,2,2,D
2024-12-15,Serie A,Home,Fiorentina,1,0,W
2024-12-21,Serie A,Away,Torino,2,0,W
2024-12-30,Serie A,Home,Hellas Verona,2,3,L
2025-01-12,Serie A,Home,Roma,2,2,D
2025-01-15,Serie A,Away,Inter,2,2,D
2025-01-18,Serie A,Home,Monza,3,1,W
2025-01-25,Serie A,Away,Empoli,1,1,D
2025-02-01,Serie A,Home,Como,2,0,W
2025-02-09,Serie A,Away,Lecce,0,0,D
2025-02-14,Serie A,Home,Torino,3,2,W
2025-02-22,Serie A,Away,Parma,0,2,L
2025-02-27,Serie A,Home,Milan,2,1,W
2025-03-02,Serie A,Home,Cagliari,2,1,W
2025-03-09,Serie A,Away,Hellas Verona,2,1,W
2025-03-16,Serie A,Home,Lazio,5,0,W
2025-03-29,Serie A,Away,Venezia,1,0,W
2025-04-07,Serie A,Home,Napoli,1,1,D
2025-04-13,Serie A,Away,Atalanta,0,2,L
2025-04-20,Serie A,Home,Inter,1,0,W
2025-04-28,Serie A,Away,Udinese,0,0,D
2025-05-04,Serie A,Home,Juventus,1,1,D
2025-05-09,Serie A,Away,Milan,1,3,L
2025-05-18,Serie A,Away,Fiorentina,2,3,L
2025-05-24,Serie A,Home,Genoa,1,3,L
