Date,Comp,venue,opponent,goals_for,goals_against,result
2024-08-19,Serie A,Away,Juventus,0,3,L
2024-08-26,Serie A,Away,Cagliari,1,1,D
2024-09-01,Serie A,Away,Udinese,0,1,L
2024-09-14,Serie A,Home,Bologna,2,2,D
2024-09-24,Serie A,Away,Atalanta,3,2,W
2024-09-29,Serie A,Home,Hellas Verona,3,2,W
2024-10-04,Serie A,Away,Napoli,1,3,L
2024-10-19,Serie A,Home,Parma,1,1,D
2024-10-25,Serie A,Away,Torino,0,1,L
2024-10-31,Serie A,Home,Lazio,1,5,L
2024-11-04,Serie A,Away,Empoli,0,1,L
2024-11-07,Serie A,Away,Genoa,1,1,D
2024-11-24,Serie A,Home,Fiorentina,0,2,L
2024-11-30,Serie A,Home,Monza,1,1,D
2024-12-08,Serie A,Away,Venezia,2,2,D
2024-12-15,Serie A,Home,Roma,2,0,W
2024-12-23,Serie A,Away,Inter,0,2,L
2024-12-30,Serie A,Home,Lecce,2,0,W
2025-01-10,Serie A,Away,Lazio,1,1,D
2025-01-14,Serie A,Home,Milan,1,2,L
2025-01-20,Serie A,Home,Udinese,4,1,W
2025-01-25,Serie A,Home,Atalanta,1,2,L
2025-02-01,Serie A,Away,Bologna,0,2,L
2025-02-07,Serie A,Home,Juventus,1,2,L
2025-02-16,Serie A,Away,Fiorentina,2,0,W
2025-02-23,Serie A,Home,Napoli,2,1,W
2025-03-02,Serie A,Away,Roma,1,2,L
2025-03-08,Serie A,Home,Venezia,1,1,D
2025-03-15,Serie A,Away,Milan,1,2,L
2025-03-29,Serie A,Home,Empoli,1,1,D
2025-04-05,Serie A,Away,Monza,3,1,W
2025-04-13,Serie A,Home,Torino,1,0,W
2025-04-19,Serie A,Away,Lecce,3,0,W
2025-04-27,Serie A,Home,Genoa,1,0,W
2025-05-03,Serie A,Away,Parma,1,0,W
2025-05-10,Serie A,Home,Cagliari,3,1,W
2025-05-18,Serie A,Away,Hellas Verona,1,1,D
2025-05-23,Serie A,Home,Inter,0,2,L
