Date,Comp,venue,opponent,goals_for,goals_against,result
2024-08-17,Serie A,Home,Inter,2,2,D
2024-08-24,Serie A,Away,Monza,1,0,W
2024-09-01,Serie A,Home,Hellas Verona,0,2,L
2024-09-15,Serie A,Home,Roma,1,1,D
2024-09-21,Serie A,Away,Venezia,0,2,L
2024-09-28,Serie A,Home,Juventus,0,3,L
2024-10-05,Serie A,Away,Atalanta,1,5,L
2024-10-19,Serie A,Home,Bologna,2,2,D
2024-10-27,Serie A,Away,Lazio,0,3,L
2024-10-31,Serie A,Home,Fiorentina,0,1,L
2024-11-04,Serie A,Away,Parma,1,0,W
2024-11-07,Serie A,Home,Como,1,1,D
2024-11-24,Serie A,Home,Cagliari,2,2,D
2024-12-01,Serie A,Away,Udinese,2,0,W
2024-12-07,Serie A,Home,Torino,0,0,D
2024-12-15,Serie A,Away,Milan,0,0,D
2024-12-21,Serie A,Home,Napoli,1,2,L
2024-12-28,Serie A,Away,Empoli,2,1,W
2025-01-05,Serie A,Away,Lecce,0,0,D
2025-01-12,Serie A,Home,Parma,1,0,W
2025-01-17,Serie A,Away,Roma,1,3,L
2025-01-27,Serie A,Home,Monza,2,0,W
2025-02-02,Serie A,Away,Fiorentina,1,2,L
2025-02-08,Serie A,Away,Torino,1,1,D
2025-02-17,Serie A,Home,Venezia,2,0,W
2025-02-22,Serie A,Away,Inter,0,1,L
2025-03-02,Serie A,Home,Empoli,1,1,D
2025-03-07,Serie A,Away,Cagliari,1,1,D
2025-03-14,Serie A,Home,Lecce,2,1,W
2025-03-29,Serie A,Away,Juventus,0,1,L
2025-04-04,Serie A,Home,Udinese,1,0,W
2025-04-13,Serie A,Away,Hellas Verona,0,0,D
2025-04-23,Serie A,Home,Lazio,0,2,L
2025-04-27,Serie A,Away,Como,0,1,L
2025-05-05,Serie A,Home,Milan,1,2,L
2025-05-11,Serie A,Away,Napoli,2,2,D
2025-05-17,Serie A,Home,Atalanta,2,3,L
2025-05-24,Serie A,Away,Bologna,3,1,W
