Date,Comp,venue,opponent,goals_for,goals_against,result
2024-08-19,Serie A,Home,Atalanta,0,4,L
2024-08-24,Serie A,Away,Inter,0,2,L
2024-08-31,Serie A,Home,Cagliari,1,0,W
2024-09-15,Serie A,Away,Torino,0,0,D
2024-09-21,Serie A,Home,Parma,2,2,D
2024-09-27,Serie A,Away,Milan,0,3,L
2024-10-05,Serie A,Away,Udinese,0,1,L
2024-10-20,Serie A,Home,Fiorentina,0,6,L
2024-10-26,Serie A,Away,Napoli,0,1,L
2024-10-29,Serie A,Home,Hellas Verona,1,0,W
2024-11-02,Serie A,Away,Bologna,0,1,L
2024-11-08,Serie A,Home,Empoli,1,1,D
2024-11-25,Serie A,Away,Venezia,1,0,W
2024-12-01,Serie A,Home,Juventus,1,1,D
2024-12-07,Serie A,Away,Roma,1,4,L
2024-12-15,Serie A,Home,Monza,2,1,W
2024-12-21,Serie A,Home,Lazio,1,2,L
2024-12-30,Serie A,Away,Como,0,2,L
2025-01-05,Serie A,Home,Genoa,0,0,D
2025-01-11,Serie A,Away,Empoli,3,1,W
2025-01-19,Serie A,Away,Cagliari,1,4,L
2025-01-26,Serie A,Home,Inter,0,4,L
2025-01-31,Serie A,Away,Parma,3,1,W
2025-02-09,Serie A,Home,Bologna,0,0,D
2025-02-16,Serie A,Away,Monza,0,0,D
2025-02-21,Serie A,Home,Udinese,0,1,L
2025-02-28,Serie A,Away,Fiorentina,0,1,L
2025-03-08,Serie A,Home,Milan,2,3,L
2025-03-14,Serie A,Away,Genoa,1,2,L
2025-03-29,Serie A,Home,Roma,0,1,L
2025-04-06,Serie A,Home,Venezia,1,1,D
2025-04-12,Serie A,Away,Juventus,1,2,L
2025-04-19,Serie A,Home,Como,0,3,L
2025-04-27,Serie A,Away,Atalanta,1,1,D
2025-05-03,Serie A,Home,Napoli,0,1,L
2025-05-11,Serie A,Away,Hellas Verona,1,1,D
2025-05-18,Serie A,Home,Torino,1,0,W
2025-05-25,Serie A,Away,Lazio,1,0,W
