Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2022-08-13,20:45,Serie A,Matchweek 1,Sat,Away,W,2,1,Lecce,2.1,0.7,70,25353.0,Samir Handanović,3-5-2,4-3-3,Alessandro Prontera,Match Report,
2022-08-20,20:45,Serie A,Matchweek 2,Sat,Home,W,3,0,Spezia,2.1,0.5,54,71212.0,Samir Handanović,3-5-2,3-5-2,Davide Ghersini,Match Report,
2022-08-26,20:45,Serie A,Matchweek 3,Fri,Away,L,1,3,Lazio,1.5,1.1,52,52500.0,Samir Handanović,3-5-2,4-3-3,Michael Fabbri,Match Report,
2022-08-30,20:45,Serie A,Matchweek 4,Tue,Home,W,3,1,Cremonese,2.2,1.2,53,70750.0,Samir Handanović,3-5-2,3-4-1-2,Francesco Fourneau,Match Report,
2022-09-03,18:00,Serie A,Matchweek 5,Sat,Away,L,2,3,Milan,1.8,1.3,53,75475.0,Samir Handanović,3-5-2,4-2-3-1,Daniele Chiffi,Match Report,
2022-09-07,21:00,Champions Lg,Group stage,Wed,Home,L,0,2,de Bayern Munich,0.7,2.5,44,58951.0,Danilo D'Ambrosio,3-5-2,4-2-3-1,Clément Turpin,Match Report,
2022-09-10,18:00,Serie A,Matchweek 6,Sat,Home,W,1,0,Torino,1.5,0.7,57,69134.0,Samir Handanović,3-5-2,3-4-3,Giovanni Ayroldi,Match Report,
2022-09-13,18:45,Champions Lg,Group stage,Tue,Away,W,2,0,cz Viktoria Plzeň,1.9,0.3,71,11252.0,Marcelo Brozović,3-5-2,3-4-1-2,Sandro Schärer,Match Report,
2022-09-18,12:30,Serie A,Matchweek 7,Sun,Away,L,1,3,Udinese,1.1,1.6,56,22475.0,Samir Handanović,3-5-2,3-5-2,Paolo Valeri,Match Report,
2022-10-01,18:00,Serie A,Matchweek 8,Sat,Home,L,1,2,Roma,1.0,1.0,58,75389.0,Samir Handanović,3-5-2,3-4-3,Davide Massa,Match Report,
2022-10-04,21:00,Champions Lg,Group stage,Tue,Home,W,1,0,es Barcelona,0.2,0.5,29,71368.0,Milan Škriniar,3-5-2,4-3-3,Slavko Vinčič,Match Report,
2022-10-08,15:00,Serie A,Matchweek 9,Sat,Away,W,2,1,Sassuolo,2.3,1.2,48,17574.0,Danilo D'Ambrosio,3-5-2,4-3-3,Simone Sozza,Match Report,
2022-10-12,21:00,Champions Lg,Group stage,Wed,Away,D,3,3,es Barcelona,2.0,2.2,39,92302.0,Milan Škriniar,3-5-2,4-3-3,Szymon Marciniak,Match Report,
2022-10-16,12:30,Serie A,Matchweek 10,Sun,Home,W,2,0,Salernitana,1.7,0.4,61,75452.0,Milan Škriniar,3-5-2,5-3-2,Juan Sacchi,Match Report,
2022-10-22,20:45,Serie A,Matchweek 11,Sat,Away,W,4,3,Fiorentina,2.4,1.3,42,36699.0,Milan Škriniar,3-5-2,4-3-3,Paolo Valeri,Match Report,
2022-10-26,18:45,Champions Lg,Group stage,Wed,Home,W,4,0,cz Viktoria Plzeň,3.2,0.1,63,71849.0,Milan Škriniar,3-5-2,3-4-3,Andreas Ekberg,Match Report,
2022-10-29,20:45,Serie A,Matchweek 12,Sat,Home,W,3,0,Sampdoria,2.0,0.5,51,73311.0,Milan Škriniar,3-5-2,4-4-1-1,Luca Massimi,Match Report,
2022-11-01,21:00,Champions Lg,Group stage,Tue,Away,L,0,2,de Bayern Munich,0.7,1.5,40,75000.0,Lautaro Martínez,3-5-2,4-2-3-1,Ivan Kružliak,Match Report,
2022-11-06,20:45,Serie A,Matchweek 13,Sun,Away,L,0,2,Juventus,1.2,0.9,53,40093.0,Milan Škriniar,3-5-2,3-5-1-1,Daniele Doveri,Match Report,
2022-11-09,20:45,Serie A,Matchweek 14,Wed,Home,W,6,1,Bologna,2.6,0.7,57,69312.0,Milan Škriniar,3-5-2,4-2-3-1,Andrea Colombo,Match Report,
2022-11-13,12:30,Serie A,Matchweek 15,Sun,Away,W,3,2,Atalanta,2.2,1.8,53,19353.0,Milan Škriniar,3-5-2,4-2-3-1,Daniele Chiffi,Match Report,
2023-01-04,20:45,Serie A,Matchweek 16,Wed,Home,W,1,0,Napoli,1.4,0.9,36,75470.0,Milan Škriniar,3-5-2,4-3-3,Simone Sozza,Match Report,
2023-01-07,20:45,Serie A,Matchweek 17,Sat,Away,D,2,2,Monza,1.7,1.5,46,13622.0,Milan Škriniar,3-5-2,3-4-3,Juan Sacchi,Match Report,
2023-01-10,21:00,Coppa Italia,Round of 16,Tue,Home,W,2,1,Parma,,,72,40032.0,Danilo D'Ambrosio,3-5-2,4-2-3-1,Alessandro Prontera,Match Report,Required Extra Time
2023-01-14,20:45,Serie A,Matchweek 18,Sat,Home,W,1,0,Hellas Verona,0.7,0.3,57,70734.0,Milan Škriniar,3-5-2,3-4-3,Michael Fabbri,Match Report,
2023-01-18,22:00,Supercoppa,Supercoppa Italiana,Wed,Away,W,3,0,Milan,,,35,,Milan Škriniar,3-5-2,4-2-3-1,Fabio Maresca,Match Report,
2023-01-23,20:45,Serie A,Matchweek 19,Mon,Home,L,0,1,Empoli,1.4,0.8,49,65476.0,Milan Škriniar,3-5-2,4-3-1-2,Antonio Rapuano,Match Report,
2023-01-28,18:00,Serie A,Matchweek 20,Sat,Away,W,2,1,Cremonese,2.3,1.0,65,14554.0,Lautaro Martínez,3-5-2,3-5-2,Maurizio Mariani,Match Report,
2023-01-31,21:00,Coppa Italia,Quarter-finals,Tue,Home,W,1,0,Atalanta,,,51,49515.0,Lautaro Martínez,3-5-2,3-4-3,Daniele Chiffi,Match Report,
2023-02-05,20:45,Serie A,Matchweek 21,Sun,Home,W,1,0,Milan,0.9,0.3,64,75584.0,Lautaro Martínez,3-5-2,3-5-2,Davide Massa,Match Report,
2023-02-13,20:45,Serie A,Matchweek 22,Mon,Away,D,0,0,Sampdoria,1.8,0.5,65,21575.0,Lautaro Martínez,3-5-2,3-4-1-2,Fabio Maresca,Match Report,
2023-02-18,20:45,Serie A,Matchweek 23,Sat,Home,W,3,1,Udinese,2.7,0.8,59,71248.0,Samir Handanović,3-5-2,3-5-2,Federico Dionisi,Match Report,
2023-02-22,21:00,Champions Lg,Round of 16,Wed,Home,W,1,0,pt Porto,1.5,1.6,60,75374.0,Lautaro Martínez,3-5-2,4-2-3-1,Srđan Jovanović,Match Report,Leg 1 of 2
2023-02-26,12:30,Serie A,Matchweek 24,Sun,Away,L,0,1,Bologna,1.0,1.2,52,28317.0,Marcelo Brozović,3-1-4-2,4-2-3-1,Daniele Orsato,Match Report,
2023-03-05,18:00,Serie A,Matchweek 25,Sun,Home,W,2,0,Lecce,0.8,0.6,62,75033.0,Lautaro Martínez,3-5-2,4-3-3,Gianluca Manganiello,Match Report,
2023-03-10,20:45,Serie A,Matchweek 26,Fri,Away,L,1,2,Spezia,3.8,1.0,69,11767.0,Samir Handanović,3-5-2,3-5-2,Livio Marinelli,Match Report,
2023-03-14,20:00,Champions Lg,Round of 16,Tue,Away,D,0,0,pt Porto,0.5,1.7,33,48015.0,Lautaro Martínez,3-5-2,4-2-3-1,Szymon Marciniak,Match Report,Leg 2 of 2; Inter won
