Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2020-09-20,12:30,Serie A,Matchweek 1,Sun,Away,W,2,0,Parma,1.6,0.3,61,1000.0,Lorenzo Insigne,4-3-3,4-1-2-1-2,Maurizio Mariani,Match Report,
2020-09-27,18:00,Serie A,Matchweek 2,Sun,Home,W,6,0,Genoa,2.9,0.7,57,1000.0,Lorenzo Insigne,4-2-3-1,3-5-2,Juan Sacchi,Match Report,
2020-10-17,15:00,Serie A,Matchweek 4,Sat,Home,W,4,1,Atalanta,1.6,0.7,50,1000.0,Kalidou Koulibaly,4-2-3-1,3-4-3,Marco Di Bello,Match Report,
2020-10-22,18:55,Europa Lg,Group stage,Thu,Home,L,0,1,nl AZ Alkmaar,1.2,0.7,73,494.0,Kalidou Koulibaly,4-2-3-1,4-2-3-1,Daniel Stefański,Match Report,
2020-10-25,15:00,Serie A,Matchweek 5,Sun,Away,W,2,1,Benevento,2.2,0.8,65,1000.0,Lorenzo Insigne,4-2-3-1,4-3-2-1,Daniele Doveri,Match Report,
2020-10-29,21:00,Europa Lg,Group stage,Thu,Away,W,1,0,es Real Sociedad,1.1,1.4,34,,Lorenzo Insigne,4-2-3-1,4-3-3,Craig Pawson,Match Report,
2020-11-01,18:00,Serie A,Matchweek 6,Sun,Home,L,0,2,Sassuolo,2.1,1.8,44,,Kalidou Koulibaly,4-2-3-1,3-4-3,Maurizio Mariani,Match Report,
2020-11-05,18:55,Europa Lg,Group stage,Thu,Away,W,2,1,hr Rijeka,3.0,0.8,75,,Kalidou Koulibaly,4-2-3-1,5-4-1,Mattias Gestranius,Match Report,
2020-11-08,18:00,Serie A,Matchweek 7,Sun,Away,W,1,0,Bologna,1.4,0.7,52,,Lorenzo Insigne,4-2-3-1,4-2-3-1,Fabrizio Pasqua,Match Report,
2020-11-22,20:45,Serie A,Matchweek 8,Sun,Home,L,1,3,Milan,1.5,2.4,63,,Lorenzo Insigne,4-2-3-1,4-2-3-1,Paolo Valeri,Match Report,
2020-11-26,21:00,Europa Lg,Group stage,Thu,Home,W,2,0,hr Rijeka,4.3,0.6,65,,Kalidou Koulibaly,4-2-3-1,5-4-1,Halis Özkahya,Match Report,
2020-11-29,20:45,Serie A,Matchweek 9,Sun,Home,W,4,0,Roma,1.7,0.5,55,,Lorenzo Insigne,4-3-3,3-4-3,Marco Di Bello,Match Report,
2020-12-03,21:00,Europa Lg,Group stage,Thu,Away,D,1,1,nl AZ Alkmaar,1.4,2.1,50,,Lorenzo Insigne,4-2-3-1,4-4-2,Ruddy Buquet,Match Report,
2020-12-06,18:00,Serie A,Matchweek 10,Sun,Away,W,4,0,Crotone,1.7,0.3,60,,Lorenzo Insigne,4-2-3-1,3-5-2,Livio Marinelli,Match Report,
2020-12-10,18:55,Europa Lg,Group stage,Thu,Home,D,1,1,es Real Sociedad,0.6,2.4,42,,Lorenzo Insigne,4-2-3-1,4-3-3,Orel Grinfeeld,Match Report,
2020-12-13,15:00,Serie A,Matchweek 11,Sun,Home,W,2,1,Sampdoria,1.5,1.1,67,,Lorenzo Insigne,4-2-3-1,4-4-1-1,Federico La Penna,Match Report,
2020-12-16,20:45,Serie A,Matchweek 12,Wed,Away,L,0,1,Inter,2.2,1.2,59,,Lorenzo Insigne,4-2-3-1,3-5-2,Davide Massa,Match Report,
2020-12-20,20:45,Serie A,Matchweek 13,Sun,Away,L,0,2,Lazio,0.9,1.0,60,,Kalidou Koulibaly,4-2-3-1,3-5-2,Daniele Orsato,Match Report,
2020-12-23,20:45,Serie A,Matchweek 14,Wed,Home,D,1,1,Torino,0.9,0.4,65,,Lorenzo Insigne,4-2-3-1,3-5-2,Paolo Valeri,Match Report,
2021-01-03,15:00,Serie A,Matchweek 15,Sun,Away,W,4,1,Cagliari,4.6,0.9,62,,Lorenzo Insigne,4-2-3-1,4-2-3-1,Gianluca Manganiello,Match Report,
2021-01-06,18:00,Serie A,Matchweek 16,Wed,Home,L,1,2,Spezia,3.1,1.9,62,,Lorenzo Insigne,4-2-3-1,4-3-3,Maurizio Mariani,Match Report,
2021-01-10,15:00,Serie A,Matchweek 17,Sun,Away,W,2,1,Udinese,1.7,2.1,63,,Lorenzo Insigne,4-2-3-1,3-5-1-1,Fabrizio Pasqua,Match Report,
2021-01-13,17:45,Coppa Italia,Round of 16,Wed,Home,W,3,2,Empoli,,,60,,,,,Antonio Giua,Match Report,
2021-01-17,12:30,Serie A,Matchweek 18,Sun,Home,W,6,0,Fiorentina,2.0,1.0,48,,Lorenzo Insigne,4-2-3-1,3-4-3,Daniele Chiffi,Match Report,
2021-01-20,21:00,Supercoppa,Supercoppa Italiana,Wed,Neutral,L,0,2,Juventus,,,44,,Lorenzo Insigne,4-2-3-1,4-4-2,Paolo Valeri,Match Report,
2021-01-24,15:00,Serie A,Matchweek 19,Sun,Away,L,1,3,Hellas Verona,0.8,1.8,52,,Lorenzo Insigne,4-2-3-1,3-4-3,Michael Fabbri,Match Report,
2021-01-28,21:00,Coppa Italia,Quarter-finals,Thu,Home,W,4,2,Spezia,,,49,,Lorenzo Insigne,4-3-3,4-3-3,Francesco Fourneau,Match Report,
2021-01-31,18:00,Serie A,Matchweek 20,Sun,Home,W,2,0,Parma,1.0,0.3,48,,Lorenzo Insigne,4-3-3,4-3-3,Federico La Penna,Match Report,
2021-02-03,20:45,Coppa Italia,Semi-finals,Wed,Home,D,0,0,Atalanta,,,50,,Lorenzo Insigne,3-4-3,3-4-1-2,Michael Fabbri,Match Report,Leg 1 of 2
2021-02-06,20:45,Serie A,Matchweek 21,Sat,Away,L,1,2,Genoa,2.0,1.0,66,,Piotr Zieliński,4-3-3,3-5-2,Gianluca Manganiello,Match Report,
2021-02-10,20:45,Coppa Italia,Semi-finals,Wed,Away,L,1,3,Atalanta,,,60,,Lorenzo Insigne,4-3-3,3-4-1-2,Federico La Penna,Match Report,Leg 2 of 2; Atalanta won
2021-02-13,18:00,Serie A,Matchweek 22,Sat,Home,W,1,0,Juventus,1.1,2.2,38,,Lorenzo Insigne,4-2-3-1,4-4-2,Daniele Doveri,Match Report,
2021-02-18,21:00,Europa Lg,Round of 32,Thu,Away,L,0,2,es Granada,1.0,1.4,61,,Lorenzo Insigne,4-3-3,4-3-3,Sergey Karasev,Match Report,Leg 1 of 2
2021-02-21,18:00,Serie A,Matchweek 23,Sun,Away,L,2,4,Atalanta,0.7,2.2,53,,Piotr Zieliński,4-2-3-1,3-4-1-2,Marco Di Bello,Match Report,
2021-02-25,18:55,Europa Lg,Round of 32,Thu,Home,W,2,1,es Granada,2.3,0.3,66,,Lorenzo Insigne,3-4-1-2,4-2-3-1,Daniel Siebert,Match Report,Leg 2 of 2; Granada won
2021-02-28,18:00,Serie A,Matchweek 24,Sun,Home,W,2,0,Benevento,2.0,0.4,61,,Lorenzo Insigne,4-2-3-1,4-3-2-1,Rosario Abisso,Match Report,
2021-03-03,18:30,Serie A,Matchweek 25,Wed,Away,D,3,3,Sassuolo,2.6,2.4,44,,Lorenzo Insigne,4-2-3-1,4-2-3-1,Valerio Marini,Match Report,
2021-03-07,20:45,Serie A,Matchweek 26,Sun,Home,W,3,1,Bologna,1.0,0.7,43,,Lorenzo Insigne,4-2-3-1,4-2-3-1,Daniele Chiffi,Match Report,
2021-03-14,20:45,Serie A,Matchweek 27,Sun,Away,W,1,0,Milan,1.1,1.0,44,,Lorenzo Insigne,4-2-3-1,4-2-3-1,Fabrizio Pasqua,Match Report,
2021-03-21,20:45,Serie A,Matchweek 28,Sun,Away,W,2,0,Roma,0.9,0.6,47,,Lorenzo Insigne,4-2-3-1,3-4-3,Marco Di Bello,Match Report,
2021-04-03,15:00,Serie A,Matchweek 29,Sat,Home,W,4,3,Crotone,2.9,1.0,64,,Lorenzo Insigne,4-2-3-1,3-5-2,Antonio Di Martino,Match Report,
2021-04-07,18:45,Serie A,Matchweek 3,Wed,Away,L,1,2,Juventus,1.7,1.5,53,,Lorenzo Insigne,4-2-3-1,4-4-2,Maurizio Mariani,Match Report,
2021-04-11,15:00,Serie A,Matchweek 30,Sun,Away,W,2,0,Sampdoria,1.7,1.0,57,,Lorenzo Insigne,4-2-3-1,4-4-2,Paolo Valeri,Match Report,
2021-04-18,20:45,Serie A,Matchweek 31,Sun,Home,D,1,1,Inter,0.7,0.9,56,,Lorenzo Insigne,4-2-3-1,3-5-2,Daniele Doveri,Match Report,
2021-04-22,20:45,Serie A,Matchweek 32,Thu,Home,W,5,2,Lazio,1.5,1.9,49,,Lorenzo Insigne,4-2-3-1,3-5-2,Marco Di Bello,Match Report,
