Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2020-09-20,12:30,Serie A,Matchweek 1,Sun,Home,L,0,2,Napoli,0.3,1.6,39.0,1000.0,Bruno Alves,4-1-2-1-2◆,4-3-3,Maurizio Mariani,Match Report,
2020-09-28,20:45,Serie A,Matchweek 2,Mon,Away,L,1,4,Bologna,1.4,1.6,42.0,1000.0,Bruno Alves,4-3-3,4-2-3-1,Paolo Valeri,Match Report,
2020-10-04,15:00,Serie A,Matchweek 3,Sun,Home,W,1,0,Hellas Verona,1.1,0.6,40.0,1000.0,Bruno Alves,4-3-1-2,3-4-3,Antonio Giua,Match Report,
2020-10-18,18:00,Serie A,Matchweek 4,Sun,Away,L,2,3,Udinese,1.0,1.3,58.0,1000.0,Simone Iacoponi,4-3-3,3-5-2,Michael Fabbri,Match Report,
2020-10-25,15:00,Serie A,Matchweek 5,Sun,Home,D,2,2,Spezia,3.5,0.8,49.0,1000.0,Simone Iacoponi,4-3-1-2,4-3-3,Valerio Marini,Match Report,
2020-10-28,18:00,Coppa Italia,Third round,Wed,Home,W,3,1,Pescara,,,,,,,,Simone Sozza,Match Report,
2020-10-31,18:00,Serie A,Matchweek 6,Sat,Away,D,2,2,Inter,0.9,2.9,32.0,,Simone Iacoponi,5-3-2,3-4-1-2,Marco Piccinini,Match Report,
2020-11-07,20:45,Serie A,Matchweek 7,Sat,Home,D,0,0,Fiorentina,0.2,0.5,36.0,,Bruno Alves,3-5-2,3-5-2,Federico La Penna,Match Report,
2020-11-22,15:00,Serie A,Matchweek 8,Sun,Away,L,0,3,Roma,0.0,3.1,42.0,,Bruno Alves,5-3-2,3-4-3,Gianluca Manganiello,Match Report,
2020-11-25,14:30,Coppa Italia,Fourth round,Wed,Home,W,2,1,Cosenza,,,50.0,,,,,Giacomo Camplone,Match Report,
2020-11-30,20:45,Serie A,Matchweek 9,Mon,Away,W,2,1,Genoa,1.1,1.6,48.0,,Bruno Alves,4-3-2-1,3-5-2,Maurizio Mariani,Match Report,
2020-12-06,15:00,Serie A,Matchweek 10,Sun,Home,D,0,0,Benevento,0.7,0.4,57.0,,Bruno Alves,4-3-3,4-3-3,Juan Sacchi,Match Report,
2020-12-13,20:45,Serie A,Matchweek 11,Sun,Away,D,2,2,Milan,0.5,1.9,35.0,,Bruno Alves,4-3-3,4-2-3-1,Francesco Fourneau,Match Report,
