Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2020-09-19,20:45,Serie A,Matchweek 1,Sat,Away,L,0,3,Hellas Verona,,,60,,Lorenzo Pellegrini,3-4-3,3-4-3,Daniele Chiffi,Match Report,Match awarded to Hellas Verona
2020-09-27,20:45,Serie A,Matchweek 2,Sun,Home,D,2,2,Juventus,2.8,1.9,40,1000.0,Edin Džeko,3-4-3,4-4-2,Marco Di Bello,Match Report,
2020-10-03,20:45,Serie A,Matchweek 3,Sat,Away,W,1,0,Udinese,1.0,1.5,55,1000.0,Edin Džeko,3-4-3,3-5-2,Rosario Abisso,Match Report,
2020-10-18,20:45,Serie A,Matchweek 4,Sun,Home,W,5,2,Benevento,4.0,1.6,52,1000.0,Edin Džeko,4-2-3-1,4-3-2-1,Giovanni Ayroldi,Match Report,
2020-10-22,18:55,Europa Lg,Group stage,Thu,Away,W,2,1,ch Young Boys,1.3,1.3,55,600.0,Bryan Cristante,3-4-3,3-4-3,Carlos del Cerro,Match Report,
2020-10-26,20:45,Serie A,Matchweek 5,Mon,Away,D,3,3,Milan,2.1,2.5,46,,Edin Džeko,3-4-3,4-2-3-1,Piero Giacomelli,Match Report,
2020-10-29,21:00,Europa Lg,Group stage,Thu,Home,D,0,0,bg CSKA Sofia,2.3,1.0,62,,Bryan Cristante,3-4-3,4-3-3,Aliaksei Kulbakou,Match Report,
2020-11-01,18:00,Serie A,Matchweek 6,Sun,Home,W,2,0,Fiorentina,3.0,0.4,41,,Edin Džeko,3-4-3,3-5-2,Daniele Orsato,Match Report,
2020-11-05,18:55,Europa Lg,Group stage,Thu,Home,W,5,0,ro CFR Cluj,2.3,0.5,66,,Bryan Cristante,3-1-4-2,4-1-4-1,Matej Jug,Match Report,
2020-11-08,15:00,Serie A,Matchweek 7,Sun,Away,W,3,1,Genoa,2.6,0.6,49,,Lorenzo Pellegrini,3-4-3,4-3-2-1,Massimiliano Irrati,Match Report,
2020-11-22,15:00,Serie A,Matchweek 8,Sun,Home,W,3,0,Parma,3.1,0.0,58,,Bryan Cristante,3-4-3,5-3-2,Gianluca Manganiello,Match Report,
2020-11-26,22:00,Europa Lg,Group stage,Thu,Away,W,2,0,ro CFR Cluj,1.6,0.5,66,,Lorenzo Pellegrini,3-4-3,4-2-3-1,Harald Lechner,Match Report,
2020-11-29,20:45,Serie A,Matchweek 9,Sun,Away,L,0,4,Napoli,0.5,1.7,45,,Edin Džeko,3-4-3,4-3-3,Marco Di Bello,Match Report,
2020-12-03,21:00,Europa Lg,Group stage,Thu,Home,W,3,1,ch Young Boys,1.9,0.9,62,,Bryan Cristante,3-4-3,5-3-2,Fran Jović,Match Report,
2020-12-06,15:00,Serie A,Matchweek 10,Sun,Home,D,0,0,Sassuolo,1.3,0.3,43,,Edin Džeko,3-4-3,4-2-3-1,Fabio Maresca,Match Report,
2020-12-10,19:55,Europa Lg,Group stage,Thu,Away,L,1,3,bg CSKA Sofia,2.2,1.9,70,,Federico Fazio,3-4-3,3-4-1-2,Irfan Peljto,Match Report,
2020-12-13,15:00,Serie A,Matchweek 11,Sun,Away,W,5,1,Bologna,3.1,0.4,46,,Edin Džeko,3-4-3,4-2-3-1,Giampaolo Calvarese,Match Report,
2020-12-17,20:45,Serie A,Matchweek 12,Thu,Home,W,3,1,Torino,3.1,1.0,63,,Edin Džeko,3-4-3,3-5-1-1,Rosario Abisso,Match Report,
