Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2022-08-07,21:00,Coppa Italia,First round,Sun,Home,L,0,2,Parma,,,52,10205,Franck Ribéry,3-5-2,4-3-1-2,Ivan Pezzuto,Match Report,
2022-08-14,20:45,Serie A,Matchweek 1,Sun,Home,L,0,1,Roma,0.6,2.4,51,26006,Federico Fazio,3-5-2,3-4-3,Simone Sozza,Match Report,
2022-08-20,18:30,Serie A,Matchweek 2,Sat,Away,D,0,0,Udinese,1.5,1.1,52,17054,Federico Fazio,3-5-2,3-5-2,Gianluca Aureliano,Match Report,
2022-08-28,18:30,Serie A,Matchweek 3,Sun,Home,W,4,0,Sampdoria,1.7,1.8,45,19116,Federico Fazio,3-5-2,4-1-4-1,Davide Massa,Match Report,
2022-09-01,20:45,Serie A,Matchweek 4,Thu,Away,D,1,1,Bologna,1.4,1.8,53,19787,Federico Fazio,3-5-2,3-5-2,Davide Ghersini,Match Report,
2022-09-05,18:30,Serie A,Matchweek 5,Mon,Home,D,2,2,Empoli,1.3,0.9,51,18173,Federico Fazio,3-5-2,4-3-1-2,Rosario Abisso,Match Report,
2022-09-11,20:45,Serie A,Matchweek 6,Sun,Away,D,2,2,Juventus,1.6,1.9,39,35097,Federico Fazio,3-5-2,4-3-3,Matteo Marcenaro,Match Report,
2022-09-16,20:45,Serie A,Matchweek 7,Fri,Home,L,1,2,Lecce,1.2,1.5,58,19488,Pasquale Mazzocchi,3-5-2,4-3-3,Daniele Doveri,Match Report,
2022-10-02,15:00,Serie A,Matchweek 8,Sun,Away,L,0,5,Sassuolo,0.5,3.2,56,15786,Pasquale Mazzocchi,3-5-2,4-3-3,Maria Sole Ferrieri Caputi,Match Report,
2022-10-09,15:00,Serie A,Matchweek 9,Sun,Home,W,2,1,Hellas Verona,1.1,0.9,40,15922,Ivan Radovanović,3-5-2,3-4-3,Davide Ghersini,Match Report,
2022-10-16,12:30,Serie A,Matchweek 10,Sun,Away,L,0,2,Inter,0.4,1.7,39,75452,Pasquale Mazzocchi,5-3-2,3-5-2,Juan Sacchi,Match Report,
2022-10-22,15:00,Serie A,Matchweek 11,Sat,Home,W,1,0,Spezia,1.6,0.9,44,17260,Federico Fazio,3-5-2,3-5-2,Daniele Chiffi,Match Report,
2022-10-30,18:00,Serie A,Matchweek 12,Sun,Away,W,3,1,Lazio,1.5,1.9,39,40000,Federico Fazio,3-5-2,4-4-2,Gianluca Manganiello,Match Report,
2022-11-05,15:00,Serie A,Matchweek 13,Sat,Home,D,2,2,Cremonese,1.3,1.7,51,16780,Federico Fazio,3-5-2,3-4-1-2,Matteo Marchetti,Match Report,
2022-11-09,20:45,Serie A,Matchweek 14,Wed,Away,L,1,2,Fiorentina,0.5,2.8,42,27329,Pasquale Mazzocchi,3-5-2,4-2-3-1,Federico La Penna,Match Report,
2022-11-13,15:00,Serie A,Matchweek 15,Sun,Away,L,0,3,Monza,0.2,2.4,43,12372,Pasquale Mazzocchi,3-5-2,3-4-3,Antonio Giua,Match Report,
2023-01-04,12:30,Serie A,Matchweek 16,Wed,Home,L,1,2,Milan,0.7,2.7,44,29541,Federico Fazio,3-5-2,4-2-3-1,Francesco Fourneau,Match Report,
2023-01-08,12:30,Serie A,Matchweek 17,Sun,Home,D,1,1,Torino,0.8,2.2,38,16300,Federico Fazio,3-1-4-2,3-4-3,Andrea Colombo,Match Report,
2023-01-15,18:00,Serie A,Matchweek 18,Sun,Away,L,2,8,Atalanta,1.0,2.9,43,18499,Federico Fazio,3-4-1-2,3-4-3,Gianluca Aureliano,Match Report,
2023-01-21,18:00,Serie A,Matchweek 19,Sat,Home,L,0,2,Napoli,0.4,1.4,26,18555,Norbert Gyömbér,4-5-1,4-3-3,Daniele Chiffi,Match Report,
2023-01-27,20:45,Serie A,Matchweek 20,Fri,Away,W,2,1,Lecce,0.9,1.4,41,24446,Antonio Candreva,4-3-3,4-3-3,Davide Massa,Match Report,
2023-02-07,20:45,Serie A,Matchweek 21,Tue,Home,L,0,3,Juventus,0.8,2.2,53,26945,Antonio Candreva,4-3-3,3-5-2,Antonio Rapuano,Match Report,
2023-02-13,18:30,Serie A,Matchweek 22,Mon,Away,L,0,1,Hellas Verona,0.9,1.2,63,17832,Luigi Sepe,3-4-1-2,3-4-3,Paolo Valeri,Match Report,
2023-02-19,15:00,Serie A,Matchweek 23,Sun,Home,L,0,2,Lazio,0.4,3.0,35,14860,Antonio Candreva,3-4-3,4-3-3,Rosario Abisso,Match Report,
2023-02-26,15:00,Serie A,Matchweek 24,Sun,Home,W,3,0,Monza,2.4,1.4,38,14947,Antonio Candreva,3-4-3,3-4-3,Livio Marinelli,Match Report,
2023-03-05,15:00,Serie A,Matchweek 25,Sun,Away,D,0,0,Sampdoria,0.8,0.5,44,20353,Antonio Candreva,3-4-3,3-4-3,Davide Massa,Match Report,
2023-03-13,20:45,Serie A,Matchweek 26,Mon,Away,D,1,1,Milan,0.8,2.2,36,71870,Pasquale Mazzocchi,3-4-3,3-4-3,Federico La Penna,Match Report,
2023-03-18,18:00,Serie A,Matchweek 27,Sat,Home,D,2,2,Bologna,0.9,0.4,42,18600,Pasquale Mazzocchi,3-4-3,4-2-3-1,Luca Pairetto,Match Report,
2023-04-02,15:00,Serie A,Matchweek 28,Sun,Away,D,1,1,Spezia,1.1,2.0,49,10723,Antonio Candreva,3-4-3,4-3-3,Daniele Orsato,Match Report,
2023-04-07,17:00,Serie A,Matchweek 29,Fri,Home,D,1,1,Inter,1.1,2.8,44,23702,Antonio Candreva,3-4-3,3-5-2,Michael Fabbri,Match Report,
2023-04-16,15:00,Serie A,Matchweek 30,Sun,Away,D,1,1,Torino,0.7,1.7,37,21122,Antonio Candreva,3-4-3,3-4-3,Gianluca Aureliano,Match Report,
2023-04-22,15:00,Serie A,Matchweek 31,Sat,Home,W,3,0,Sassuolo,1.3,0.7,47,23060,Antonio Candreva,3-4-3,4-3-3,Giacomo Camplone,Match Report,
2023-04-30,15:00,Serie A,Matchweek 32,Sun,Away,D,1,1,Napoli,0.3,1.6,27,54726,Pasquale Mazzocchi,3-4-3,4-3-3,Matteo Marcenaro,Match Report,
2023-05-03,18:00,Serie A,Matchweek 33,Wed,Home,D,3,3,Fiorentina,1.1,1.9,47,17868,Pasquale Mazzocchi,3-4-3,4-3-3,Ivan Pezzuto,Match Report,
2023-05-08,18:30,Serie A,Matchweek 34,Mon,Away,L,1,2,Empoli,0.7,1.8,51,10760,Pasquale Mazzocchi,3-4-3,4-2-3-1,Manuel Volpi,Match Report,
2023-05-13,15:00,Serie A,Matchweek 35,Sat,Home,W,1,0,Atalanta,0.5,1.2,52,17400,Pasquale Mazzocchi,3-4-3,3-4-3,Marco Piccinini,Match Report,
2023-05-22,18:30,Serie A,Matchweek 36,Mon,Away,D,2,2,Roma,1.1,1.4,41,64286,Antonio Candreva,3-4-3,3-4-3,Andrea Colombo,Match Report,
2023-05-27,15:00,Serie A,Matchweek 37,Sat,Home,W,3,2,Udinese,1.2,2.3,48,27035,Pasquale Mazzocchi,3-4-3,3-5-1-1,Niccolò Baroni,Match Report,
2023-06-03,21:00,Serie A,Matchweek 38,Sat,Away,L,0,2,Cremonese,0.7,1.4,58,10308,Pasquale Mazzocchi,3-4-3,3-5-2,Daniele Perenzoni,Match Report,
