Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2022-08-05,21:15,Coppa Italia,First round,Fri,Home,W,1,0,US Reggina,,,51,14893,Bartosz Bereszyński,4-1-4-1,4-3-3,Maria Sole Ferrieri Caputi,Match Report,
2022-08-13,18:30,Serie A,Matchweek 1,Sat,Home,L,0,2,Atalanta,1.0,2.2,55,20047,Bartosz Bereszyński,4-1-4-1,3-4-1-2,Federico Dionisi,Match Report,
2022-08-22,20:45,Serie A,Matchweek 2,Mon,Home,D,0,0,Juventus,0.9,0.8,48,27573,Bartosz Bereszyński,4-1-4-1,4-3-3,Rosario Abisso,Match Report,
2022-08-28,18:30,Serie A,Matchweek 3,Sun,Away,L,0,4,Salernitana,1.8,1.7,55,19116,Omar Colley,4-1-4-1,3-5-2,Davide Massa,Match Report,
2022-08-31,18:30,Serie A,Matchweek 4,Wed,Home,D,1,1,Lazio,0.8,1.5,44,18499,Fabio Quagliarella,4-1-4-1,4-3-3,Gianluca Aureliano,Match Report,
2022-09-04,18:00,Serie A,Matchweek 5,Sun,Away,L,1,2,Hellas Verona,0.8,2.5,51,16675,Fabio Quagliarella,4-3-1-2,3-5-2,Paolo Valeri,Match Report,
2022-09-10,20:45,Serie A,Matchweek 6,Sat,Home,L,1,2,Milan,0.7,1.7,57,23049,Bartosz Bereszyński,4-1-4-1,4-2-3-1,Michael Fabbri,Match Report,
2022-09-17,18:00,Serie A,Matchweek 7,Sat,Away,L,1,2,Spezia,0.9,0.7,48,10000,Bartosz Bereszyński,4-1-4-1,3-5-2,Simone Sozza,Match Report,
2022-10-02,15:00,Serie A,Matchweek 8,Sun,Home,L,0,3,Monza,0.1,1.4,50,19806,Bartosz Bereszyński,4-1-4-1,3-4-3,Giovanni Ayroldi,Match Report,
2022-10-08,20:45,Serie A,Matchweek 9,Sat,Away,D,1,1,Bologna,0.6,0.8,49,20871,Bartosz Bereszyński,4-1-4-1,4-2-3-1,Marco Piccinini,Match Report,
2022-10-17,18:30,Serie A,Matchweek 10,Mon,Home,L,0,1,Roma,0.2,1.8,59,20803,Bartosz Bereszyński,4-4-2,3-4-1-2,Marco Di Bello,Match Report,
2022-10-20,18:00,Coppa Italia,Second round,Thu,Home,D,2 (9),2 (8),Ascoli,,,66,4738,Fabio Quagliarella,4-4-2◆,3-5-2,Luca Zufferli,Match Report,Sampdoria won on penalty kicks following extra time
2022-10-24,18:30,Serie A,Matchweek 11,Mon,Away,W,1,0,Cremonese,1.3,2.0,48,13021,Bartosz Bereszyński,4-2-3-1,3-5-2,Fabio Maresca,Match Report,
2022-10-29,20:45,Serie A,Matchweek 12,Sat,Away,L,0,3,Inter,0.5,2.0,49,73311,Bartosz Bereszyński,4-4-1-1,3-5-2,Luca Massimi,Match Report,
2022-11-06,15:00,Serie A,Matchweek 13,Sun,Home,L,0,2,Fiorentina,0.8,0.9,49,19226,Bartosz Bereszyński,5-3-2,4-3-3,Livio Marinelli,Match Report,
2022-11-09,20:45,Serie A,Matchweek 14,Wed,Away,L,0,2,Torino,0.5,0.5,49,15593,Bartosz Bereszyński,3-5-2,3-4-3,Davide Massa,Match Report,
2022-11-12,18:00,Serie A,Matchweek 15,Sat,Home,L,0,2,Lecce,0.7,0.6,57,20211,Bartosz Bereszyński,3-4-1-2,4-3-3,Daniele Doveri,Match Report,
2023-01-04,12:30,Serie A,Matchweek 16,Wed,Away,W,2,1,Sassuolo,1.3,1.8,33,8000,Emil Audero,3-4-1-2,4-3-3,Fabio Maresca,Match Report,
