Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2021-08-21,18:30,Serie A,Matchweek 1,Sat,Away,W,3,2,Hellas Verona,1.6,2.4,60,5448,Gian Marco Ferrari,4-2-3-1,3-4-3,Manuel Volpi,Match Report,
2021-08-29,18:30,Serie A,Matchweek 2,Sun,Home,D,0,0,Sampdoria,1.6,0.5,63,3309,Gian Marco Ferrari,4-2-3-1,4-2-3-1,Juan Sacchi,Match Report,
2021-09-12,20:45,Serie A,Matchweek 3,Sun,Away,L,1,2,Roma,2.0,2.1,51,29604,Gian Marco Ferrari,4-2-3-1,4-2-3-1,Simone Sozza,Match Report,
2021-09-17,20:45,Serie A,Matchweek 4,Fri,Home,L,0,1,Torino,0.7,2.0,53,20000,Gian Marco Ferrari,4-2-3-1,3-4-3,Marco Piccinini,Match Report,
2021-09-21,20:45,Serie A,Matchweek 5,Tue,Away,L,1,2,Atalanta,0.9,1.9,52,7353,Francesco Magnanelli,4-1-4-1,3-4-1-2,Davide Massa,Match Report,
2021-09-26,15:00,Serie A,Matchweek 6,Sun,Home,W,1,0,Salernitana,1.4,1.1,57,5177,Gian Marco Ferrari,4-2-3-1,4-1-2-1-2,Antonio Giua,Match Report,
2021-10-02,20:45,Serie A,Matchweek 7,Sat,Home,L,1,2,Inter,1.4,2.2,55,10400,Gian Marco Ferrari,4-2-3-1,3-5-2,Luca Pairetto,Match Report,
2021-10-17,15:00,Serie A,Matchweek 8,Sun,Away,D,2,2,Genoa,2.3,1.3,57,10370,Gian Marco Ferrari,4-2-3-1,3-5-2,Daniele Chiffi,Match Report,
2021-10-23,18:00,Serie A,Matchweek 9,Sat,Home,W,3,1,Venezia,1.5,0.6,63,4482,Gian Marco Ferrari,4-2-3-1,4-4-2,Antonio Di Martino,Match Report,
2021-10-27,18:30,Serie A,Matchweek 10,Wed,Away,W,2,1,Juventus,1.1,1.2,43,18288,Gian Marco Ferrari,4-3-3,4-4-2,Juan Sacchi,Match Report,
2021-10-31,15:00,Serie A,Matchweek 11,Sun,Home,L,1,2,Empoli,1.2,1.6,57,3539,Gian Marco Ferrari,4-3-3,4-3-1-2,Luca Massimi,Match Report,
2021-11-07,15:00,Serie A,Matchweek 12,Sun,Away,L,2,3,Udinese,0.9,1.5,63,8322,Francesco Magnanelli,4-3-3,4-4-2,Federico Dionisi,Match Report,
2021-11-21,12:30,Serie A,Matchweek 13,Sun,Home,D,2,2,Cagliari,3.1,1.4,59,4135,Gian Marco Ferrari,4-3-3,4-2-3-1,Niccolò Baroni,Match Report,
2021-11-28,15:00,Serie A,Matchweek 14,Sun,Away,W,3,1,Milan,1.0,0.8,50,52824,Gian Marco Ferrari,4-3-3,4-2-3-1,Gianluca Manganiello,Match Report,
2021-12-01,20:45,Serie A,Matchweek 15,Wed,Home,D,2,2,Napoli,0.3,0.9,50,8192,Gian Marco Ferrari,4-3-3,4-3-3,Ivan Pezzuto,Match Report,
2021-12-05,15:00,Serie A,Matchweek 16,Sun,Away,D,2,2,Spezia,1.5,2.5,65,4987,Gian Marco Ferrari,4-3-3,4-4-2,Fabio Maresca,Match Report,
2021-12-12,18:00,Serie A,Matchweek 17,Sun,Home,W,2,1,Lazio,1.0,0.4,59,5100,Gian Marco Ferrari,4-2-3-1,4-3-3,Simone Sozza,Match Report,
2021-12-19,12:30,Serie A,Matchweek 18,Sun,Away,D,2,2,Fiorentina,1.1,3.5,43,21514,Gian Marco Ferrari,4-2-3-1,4-3-3,Marco Serra,Match Report,
2021-12-22,16:30,Serie A,Matchweek 19,Wed,Home,L,0,3,Bologna,0.6,1.8,60,4763,Gian Marco Ferrari,4-3-3,3-5-2,Michael Fabbri,Match Report,
