Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2020-09-27,12:30,Serie A,Matchweek 2,Sun,Home,L,1,4,Sassuolo,1.4,2.1,34.0,1000.0,Paolo Bartolomei,4-3-3,4-2-3-1,Davide Ghersini,Match Report,
2020-09-30,18:00,Serie A,Matchweek 1,Wed,Away,W,2,0,Udinese,0.8,1.8,51.0,1000.0,Claudio Terzi,4-3-3,3-5-2,Alessandro Prontera,Match Report,
2020-10-04,18:00,Serie A,Matchweek 3,Sun,Away,L,0,3,Milan,0.2,2.6,38.0,1000.0,Giulio Maggiore,4-3-3,4-2-3-1,Marco Serra,Match Report,
2020-10-18,15:00,Serie A,Matchweek 4,Sun,Home,D,2,2,Fiorentina,0.9,1.0,52.0,1000.0,Claudio Terzi,4-3-3,3-5-2,Gianluca Manganiello,Match Report,
2020-10-25,15:00,Serie A,Matchweek 5,Sun,Away,D,2,2,Parma,0.8,3.5,51.0,1000.0,Claudio Terzi,4-3-3,4-3-1-2,Valerio Marini,Match Report,
2020-10-28,15:00,Coppa Italia,Third round,Wed,Away,W,2,0,Cittadella,,,,,,,,Marco Serra,Match Report,
2020-11-01,15:00,Serie A,Matchweek 6,Sun,Home,L,1,4,Juventus,0.7,2.7,44.0,,Claudio Terzi,4-3-3,4-4-2,Rosario Abisso,Match Report,
2020-11-07,18:00,Serie A,Matchweek 7,Sat,Away,W,3,0,Benevento,1.1,0.2,62.0,,Claudio Terzi,4-3-3,4-2-3-1,Gianluca Aureliano,Match Report,
2020-11-21,18:00,Serie A,Matchweek 8,Sat,Home,D,0,0,Atalanta,0.4,2.1,55.0,,Claudio Terzi,4-3-3,3-4-3,Antonio Rapuano,Match Report,
2020-11-25,17:30,Coppa Italia,Fourth round,Wed,Away,W,4,2,Bologna,,,67.0,,,,,Manuel Volpi,Match Report,Required Extra Time
2020-11-29,18:00,Serie A,Matchweek 9,Sun,Away,D,2,2,Cagliari,2.5,1.9,60.0,,Claudio Terzi,4-3-3,4-2-3-1,Valerio Marini,Match Report,
2020-12-05,15:00,Serie A,Matchweek 10,Sat,Home,L,1,2,Lazio,1.5,0.5,65.0,,Claudio Terzi,4-3-3,3-5-1-1,Daniele Chiffi,Match Report,
2020-12-12,15:00,Serie A,Matchweek 11,Sat,Away,L,1,4,Crotone,1.0,1.3,59.0,,Claudio Terzi,4-3-3,3-5-2,Antonio Giua,Match Report,
2020-12-16,20:45,Serie A,Matchweek 12,Wed,Home,D,2,2,Bologna,2.5,1.4,45.0,,Giulio Maggiore,4-3-3,4-2-3-1,Piero Giacomelli,Match Report,
2020-12-20,15:00,Serie A,Matchweek 13,Sun,Away,L,1,2,Inter,1.0,1.2,58.0,,Claudio Terzi,4-3-3,3-5-2,Michael Fabbri,Match Report,
2020-12-23,20:45,Serie A,Matchweek 14,Wed,Home,L,1,2,Genoa,0.5,1.4,67.0,,Giulio Maggiore,4-3-3,3-5-2,Davide Massa,Match Report,
2021-01-03,15:00,Serie A,Matchweek 15,Sun,Home,L,0,1,Hellas Verona,0.9,1.3,53.0,,Luca Vignali,4-3-3,3-4-3,Luca Pairetto,Match Report,
2021-01-06,18:00,Serie A,Matchweek 16,Wed,Away,W,2,1,Napoli,1.9,3.1,38.0,,Claudio Terzi,4-3-3,4-2-3-1,Maurizio Mariani,Match Report,
2021-01-11,20:45,Serie A,Matchweek 17,Mon,Home,W,2,1,Sampdoria,1.5,0.7,56.0,,Claudio Terzi,4-3-3,4-4-1-1,Marco Piccinini,Match Report,
2021-01-16,18:00,Serie A,Matchweek 18,Sat,Away,D,0,0,Torino,0.3,0.7,34.0,,Claudio Terzi,4-3-3,3-5-2,Michael Fabbri,Match Report,
2021-01-19,21:15,Coppa Italia,Round of 16,Tue,Away,W,3,0,Roma,,,51.0,,,,,Davide Ghersini,Match Report,Match awarded to Spezia; Required Extra Time
2021-01-23,15:00,Serie A,Matchweek 19,Sat,Away,L,3,4,Roma,1.3,2.6,52.0,,Claudio Terzi,4-3-3,3-4-3,Luca Pairetto,Match Report,
2021-01-28,21:00,Coppa Italia,Quarter-finals,Thu,Away,L,2,4,Napoli,,,52.0,,Claudio Terzi,4-3-3,4-3-3,Francesco Fourneau,Match Report,
2021-01-31,12:30,Serie A,Matchweek 20,Sun,Home,L,0,1,Udinese,0.8,1.1,63.0,,Giulio Maggiore,4-3-3,3-5-1-1,Antonio Di Martino,Match Report,
2021-02-06,15:00,Serie A,Matchweek 21,Sat,Away,W,2,1,Sassuolo,1.9,0.8,46.0,,Claudio Terzi,4-3-3,4-2-3-1,Juan Sacchi,Match Report,
2021-02-13,20:45,Serie A,Matchweek 22,Sat,Home,W,2,0,Milan,1.5,0.5,46.0,,Giulio Maggiore,4-3-3,4-2-3-1,Daniele Chiffi,Match Report,
2021-02-19,18:30,Serie A,Matchweek 23,Fri,Away,L,0,3,Fiorentina,1.0,2.0,62.0,,Giulio Maggiore,4-3-3,3-5-2,Giampaolo Calvarese,Match Report,
2021-02-27,15:00,Serie A,Matchweek 24,Sat,Home,D,2,2,Parma,1.6,1.1,54.0,,Giulio Maggiore,4-3-3,4-3-3,Daniele Orsato,Match Report,
