Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2021-08-13,20:45,Coppa Italia,First round,Fri,Home,W,3,1,Ascoli,,,53,2604.0,Bram Nuytinck,3-5-2,4-3-1-2,Matteo Gariglio,Match Report,
2021-08-22,18:30,Serie A,Matchweek 1,Sun,Home,D,2,2,Juventus,1.6,0.8,44,9660.0,Bram Nuytinck,3-5-1-1,4-4-2,Ivan Pezzuto,Match Report,
2021-08-27,18:30,Serie A,Matchweek 2,Fri,Home,W,3,0,Venezia,2.2,1.2,45,8274.0,Bram Nuytinck,3-5-1-1,4-3-3,Livio Marinelli,Match Report,
2021-09-12,15:00,Serie A,Matchweek 3,Sun,Away,W,1,0,Spezia,0.9,1.0,44,5162.0,Bram Nuytinck,3-5-2,4-3-3,Marco Guida,Match Report,
2021-09-20,20:45,Serie A,Matchweek 4,Mon,Home,L,0,4,Napoli,0.3,2.9,38,11484.0,Bram Nuytinck,3-5-2,4-3-3,Gianluca Manganiello,Match Report,
2021-09-23,20:45,Serie A,Matchweek 5,Thu,Away,L,0,1,Roma,0.6,1.9,49,29593.0,Bram Nuytinck,3-5-2,4-2-3-1,Antonio Rapuano,Match Report,
2021-09-26,15:00,Serie A,Matchweek 6,Sun,Home,L,0,1,Fiorentina,0.8,1.1,46,7208.0,Bram Nuytinck,3-5-2,4-3-3,Davide Ghersini,Match Report,
2021-10-03,15:00,Serie A,Matchweek 7,Sun,Away,D,3,3,Sampdoria,2.3,1.5,46,4292.0,Bram Nuytinck,3-5-2,4-4-2,Daniele Orsato,Match Report,
2021-10-17,15:00,Serie A,Matchweek 8,Sun,Home,D,1,1,Bologna,0.8,1.4,41,10627.0,Bram Nuytinck,3-5-2,3-4-3,Rosario Abisso,Match Report,
2021-10-24,12:30,Serie A,Matchweek 9,Sun,Away,D,1,1,Atalanta,0.6,0.4,32,9951.0,Bram Nuytinck,5-4-1,3-4-3,Livio Marinelli,Match Report,
