Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Arsenal,27,38.0,762,20.05,577,59,35,38,39,14,78,2.05,57,3,5,5,7,1
vs Aston Villa,31,38.0,827,21.76,576,75,59,47,51,19,91,2.39,63,3,6,10,8,1
vs Brentford,29,38.0,876,23.05,659,65,35,57,49,11,97,2.55,73,6,2,8,7,1
vs Brighton,26,38.0,824,21.68,612,58,49,50,42,13,77,2.03,49,11,4,7,4,2
vs Burnley,23,38.0,1064,28.0,804,77,50,82,38,13,92,2.42,75,1,2,8,6,0
vs Chelsea,26,38.0,587,15.45,407,52,43,36,37,12,53,1.39,34,4,4,3,5,3
vs Crystal Palace,24,38.0,759,19.97,535,77,32,57,48,10,74,1.95,47,11,3,7,4,2
vs Everton,33,38.0,922,24.26,650,84,64,65,50,9,104,2.74,65,14,6,11,6,2
vs Leeds United,29,38.0,1005,26.45,711,87,80,60,51,16,134,3.53,97,9,9,9,9,1
vs Leicester City,28,38.0,970,25.53,669,98,59,75,49,20,97,2.55,55,9,6,16,9,2
vs Liverpool,27,38.0,518,13.63,386,35,40,25,22,10,46,1.21,32,4,4,5,1,0
vs Manchester City,26,38.0,392,10.32,286,38,24,15,23,6,49,1.29,38,2,5,2,1,1
vs Manchester Utd,29,38.0,859,22.61,594,74,52,68,49,22,89,2.34,64,4,7,10,3,1
vs Newcastle Utd,29,38.0,936,24.63,676,78,60,69,45,8,106,2.79,76,7,6,12,5,0
vs Norwich City,28,38.0,1091,28.71,798,92,70,69,46,16,138,3.63,100,5,9,15,8,1
vs Southampton,25,38.0,853,22.45,646,63,46,57,34,7,110,2.89,76,7,9,14,3,1
vs Tottenham,25,38.0,867,22.82,612,85,54,61,39,16,72,1.89,54,5,4,4,3,2
vs Watford,30,38.0,961,25.29,717,77,49,54,48,16,130,3.42,93,7,10,6,9,5
vs West Ham,25,38.0,973,25.61,769,59,38,58,43,6,86,2.26,61,8,3,10,3,1
vs Wolves,26,38.0,889,23.39,647,70,55,58,50,9,69,1.82,39,4,6,8,11,1
