Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Arsenal,27,26.9,38,3420,90,100,38.0,418,85,309,107,21,235,1.11,48,61,-13,-0.34,45.7,60.5,-14.9,-0.39
vs Aston Villa,31,26.7,38,3420,90,100,38.0,418,85,311,108,20,232,1.66,54,52,2,0.05,49.0,44.0,4.9,0.13
vs Brentford,29,26.8,38,3420,90,100,38.0,418,84,326,90,19,250,1.61,56,48,8,0.21,48.5,45.8,2.7,0.07
vs Brighton,26,26.9,38,3420,90,100,38.0,418,84,311,108,20,231,1.26,44,42,2,0.05,42.9,46.2,-3.3,-0.09
vs Burnley,23,26.7,38,3420,90,100,38.0,418,86,322,96,18,245,1.71,53,34,19,0.5,57.1,39.7,17.4,0.46
vs Chelsea,26,26.7,38,3420,90,100,38.0,418,84,305,109,20,230,0.76,33,76,-43,-1.13,33.2,63.4,-30.1,-0.79
vs Crystal Palace,24,26.8,38,3420,90,100,38.0,418,85,310,106,21,235,1.34,46,50,-4,-0.11,40.7,46.4,-5.7,-0.15
vs Everton,33,26.8,38,3420,90,100,38.0,418,85,308,111,19,230,1.82,66,43,23,0.61,55.4,41.2,14.2,0.37
vs Leeds United,29,26.9,38,3420,90,100,38.0,418,82,302,114,17,228,1.71,79,42,37,0.97,67.8,44.4,23.5,0.62
vs Leicester City,28,26.8,38,3420,90,100,38.0,418,84,310,108,21,233,1.37,59,62,-3,-0.08,59.3,47.8,11.5,0.3
vs Liverpool,27,26.7,38,3420,90,100,38.0,418,85,311,107,23,235,0.37,26,94,-68,-1.79,33.8,88.7,-54.9,-1.45
vs Manchester City,26,26.9,38,3420,90,100,38.0,418,86,304,111,23,227,0.39,26,99,-73,-1.92,24.6,88.7,-64.0,-1.68
vs Manchester Utd,29,27.0,38,3420,90,100,38.0,418,85,314,103,19,236,1.21,57,57,0,0.0,53.0,55.8,-2.8,-0.07
vs Newcastle Utd,29,26.8,38,3420,90,100,38.0,418,85,306,109,21,233,1.45,62,44,18,0.47,57.1,38.1,19.0,0.5
vs Norwich City,28,26.8,38,3420,90,100,38.0,418,84,307,110,21,228,2.24,84,23,61,1.61,75.5,32.3,43.2,1.14
vs Southampton,25,26.8,38,3420,90,100,38.0,418,85,308,109,19,233,1.61,67,43,24,0.63,60.0,44.8,15.2,0.4
vs Tottenham,25,26.8,38,3420,90,100,38.0,418,85,309,105,18,235,1.0,40,69,-29,-0.76,39.3,61.2,-21.9,-0.58
vs Watford,30,26.8,38,3420,90,100,38.0,418,84,315,103,19,238,2.26,77,34,43,1.13,64.5,40.0,24.5,0.64
vs West Ham,25,26.8,38,3420,90,100,38.0,418,86,316,100,21,237,1.32,51,60,-9,-0.24,53.5,51.4,2.1,0.06
vs Wolves,26,26.7,38,3420,90,100,38.0,418,86,306,111,23,226,1.5,43,38,5,0.13,56.9,37.5,19.4,0.51
