Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Arsenal,1,38.0,88,3,0,13,4,66.6,0.33,-17.4,-0.46,215,604,35.6,960,134,41.4,35.6,339,61.1,44.8,510,38,7.5,37,0.97,12.9
vs Aston Villa,2,38.0,51,3,2,6,2,44.1,0.28,-4.9,-0.13,134,355,37.7,811,173,30.2,32.3,243,45.3,37.7,439,27,6.2,41,1.08,15.1
vs Bournemouth,2,38.0,37,0,0,7,0,34.7,0.28,-2.3,-0.06,109,316,34.5,928,173,26.2,30.7,219,33.3,32.6,401,25,6.2,48,1.26,17.0
vs Brentford,1,38.0,58,7,2,8,2,54.6,0.31,-1.4,-0.04,157,546,28.8,887,183,41.4,36.3,285,62.8,44.7,531,34,6.4,53,1.39,15.7
vs Brighton,2,38.0,72,6,1,3,4,66.8,0.28,-1.2,-0.03,202,663,30.5,1139,170,42.5,35.8,329,54.4,40.6,554,38,6.9,63,1.66,14.2
vs Chelsea,2,38.0,38,3,1,5,1,43.7,0.27,6.7,0.18,169,488,34.6,989,180,36.0,34.0,290,45.5,38.6,549,32,5.8,36,0.95,14.8
vs Crystal Palace,3,38.0,40,1,1,5,2,41.2,0.29,3.2,0.08,139,373,37.3,1030,172,28.3,30.1,250,32.8,31.9,459,27,5.9,50,1.32,15.7
vs Everton,2,38.0,34,3,0,5,2,38.6,0.25,6.6,0.17,122,377,32.4,1012,240,25.9,29.9,270,42.6,36.6,551,39,7.1,53,1.39,14.1
vs Fulham,2,38.0,55,5,1,10,3,52.1,0.31,0.1,0.0,139,430,32.3,1031,174,31.1,31.2,248,44.0,37.5,604,39,6.5,29,0.76,13.3
vs Leeds United,2,38.0,48,1,0,9,3,41.1,0.28,-3.9,-0.1,153,492,31.1,987,204,36.8,33.9,285,45.3,37.8,520,35,6.7,43,1.13,14.1
vs Leicester City,2,38.0,51,3,2,4,2,44.9,0.27,-4.1,-0.11,200,484,41.3,1047,187,34.1,32.6,228,55.7,43.9,380,31,8.2,59,1.55,16.4
vs Liverpool,2,38.0,75,2,1,11,4,66.7,0.32,-4.3,-0.11,213,710,30.0,998,199,49.4,38.9,325,66.8,48.4,651,40,6.1,48,1.26,14.7
vs Manchester City,2,38.0,94,9,2,10,2,74.8,0.31,-17.2,-0.45,223,652,34.2,1183,174,41.0,35.8,323,51.7,40.8,552,32,5.8,23,0.61,13.0
vs Manchester Utd,1,38.0,58,3,0,3,2,63.8,0.3,7.8,0.21,215,556,38.7,1198,189,35.6,32.3,291,44.7,36.9,406,19,4.7,64,1.68,18.2
vs Newcastle Utd,2,38.0,68,6,1,6,4,66.5,0.32,2.5,0.07,222,736,30.2,1064,195,48.9,38.7,316,68.4,48.3,580,55,9.5,51,1.34,14.2
vs Nott'ham Forest,3,38.0,38,3,0,4,2,32.9,0.23,-3.1,-0.08,97,280,34.6,905,192,23.4,28.4,231,29.4,30.0,416,27,6.5,49,1.29,15.4
vs Southampton,2,38.0,36,2,3,5,0,36.1,0.25,0.1,0.0,161,428,37.6,1037,186,30.3,31.3,241,47.3,40.0,475,32,6.7,50,1.32,15.9
vs Tottenham,2,38.0,70,5,1,13,2,56.6,0.27,-11.4,-0.3,184,611,30.1,997,169,45.6,37.3,248,62.9,45.3,530,30,5.7,60,1.58,15.7
vs West Ham,2,38.0,42,6,0,10,1,40.1,0.24,-0.9,-0.02,140,432,32.4,1077,176,29.6,31.1,268,42.2,36.4,595,35,5.9,54,1.42,14.7
vs Wolves,2,38.0,31,3,0,4,3,28.6,0.21,0.6,0.02,158,450,35.1,964,166,35.1,33.2,245,45.7,37.3,509,30,5.9,72,1.89,18.6
