Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Arsenal,26,40.1,38.0,19203,2933,7798,7683,3935,673,19197,588,261,44.4,249,42.3,10265,53996,26091,510,354,147,476,319,11311,901
vs Aston Villa,26,50.6,38.0,22019,2102,7107,9894,5219,870,22013,732,336,45.9,312,42.6,12334,62408,31998,608,425,185,486,320,14144,1306
vs Bournemouth,31,59.9,38.0,26820,2088,7398,11843,7803,1107,26813,705,358,50.8,256,36.3,16187,82880,42849,810,576,211,550,362,18578,1976
vs Brentford,25,56.6,38.0,24215,2369,6891,10624,6902,895,24213,687,344,50.1,253,36.8,13625,72295,37380,741,655,155,547,335,15840,1530
vs Brighton,29,39.5,38.0,19339,2866,7920,7496,4111,711,19331,646,295,45.7,266,41.2,10294,53241,26098,527,367,173,513,350,11532,1012
vs Chelsea,32,41.0,38.0,20668,2640,7410,8359,5105,760,20667,746,323,43.3,333,44.6,11149,58693,30130,593,416,167,545,407,12479,1188
vs Crystal Palace,26,53.9,38.0,24639,2382,7900,10905,6036,947,24635,622,251,40.4,281,45.2,14512,74733,38926,590,485,139,584,409,16193,1581
vs Everton,28,57.4,38.0,25326,2438,8031,11022,6477,1025,25320,702,310,44.2,309,44.0,14668,76116,40740,752,497,212,582,399,16932,1670
vs Fulham,29,51.3,38.0,23236,2494,7912,10258,5262,887,23228,684,289,42.3,299,43.7,13030,65884,33016,559,353,166,541,326,14833,1390
vs Leeds United,29,53.1,38.0,24305,2447,8102,10851,5573,872,24299,980,458,46.7,412,42.0,13327,67254,33932,596,424,189,630,428,14978,1455
vs Leicester City,28,52.4,38.0,24726,2155,7422,11143,6380,917,24721,779,369,47.4,308,39.5,13967,74237,38203,721,547,177,517,391,16476,1560
vs Liverpool,28,38.9,38.0,20606,3079,8404,8219,4188,677,20602,754,370,49.1,281,37.3,10558,53488,26449,506,332,166,586,309,11858,1090
vs Manchester City,24,34.7,38.0,18167,3258,8426,6598,3319,561,18164,531,250,47.1,212,39.9,9794,49417,23538,434,310,125,442,259,11200,853
vs Manchester Utd,26,46.0,38.0,21993,2733,7668,9000,5563,975,21990,720,300,41.7,300,41.7,11694,65364,34500,697,492,206,572,357,13634,1343
vs Newcastle Utd,27,47.6,38.0,20772,2819,7684,8651,4660,722,20766,733,335,45.7,307,41.9,10893,57872,29370,600,367,167,525,300,12338,1188
vs Nott'ham Forest,33,62.8,38.0,26489,2033,7131,12308,7231,1106,26480,702,293,41.7,296,42.2,15880,86570,47256,813,586,216,557,363,18268,1880
vs Southampton,36,55.6,38.0,24922,2333,7919,11070,6171,1055,24919,691,315,45.6,297,43.0,14205,70904,35406,653,447,221,590,418,16240,1717
vs Tottenham,29,50.1,38.0,24011,2364,6699,10897,6627,935,24007,659,299,45.4,275,41.7,13878,69543,33630,685,524,212,541,344,15945,1497
vs West Ham,25,58.2,38.0,27046,2677,8407,12188,6690,975,27040,656,293,44.7,270,41.2,16219,85076,44730,805,613,222,567,338,18737,1709
vs Wolves,32,49.8,38.0,22412,2222,6908,9718,6004,1041,22408,713,331,46.4,285,40.0,12749,69270,35860,703,496,218,570,375,14439,1575
