Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Manchester City,19,14,5,0,51,16,35,47,2.47,40.7,14.0,26.7,1.41,19,14,2,3,45,18,27,44,2.32,39.8,21.6,18.2,0.96
2,Arsenal,19,15,2,2,48,16,32,47,2.47,43.5,13.5,30.0,1.58,19,13,3,3,43,13,30,42,2.21,32.6,14.5,18.2,0.96
3,Liverpool,19,15,3,1,49,17,32,48,2.53,54.7,17.6,37.1,1.95,19,9,7,3,37,24,13,34,1.79,33.0,28.1,4.9,0.26
4,Aston Villa,19,12,4,3,48,28,20,40,2.11,39.0,26.3,12.7,0.67,19,8,4,7,28,33,-5,28,1.47,24.3,33.6,-9.3,-0.49
5,Tottenham,19,13,0,6,38,27,11,39,2.05,39.2,29.3,9.9,0.52,19,7,6,6,36,34,2,27,1.42,28.9,34.1,-5.2,-0.27
6,Chelsea,19,11,4,4,44,26,18,37,1.95,44.2,24.9,19.2,1.01,19,7,5,7,33,37,-4,26,1.37,30.3,33.1,-2.8,-0.15
7,Newcastle Utd,19,12,4,3,49,22,27,40,2.11,46.4,25.0,21.4,1.12,19,6,2,11,36,40,-4,20,1.05,29.6,36.4,-6.7,-0.36
8,Manchester Utd,19,10,3,6,31,28,3,33,1.74,32.3,31.5,0.8,0.04,19,8,3,8,26,30,-4,27,1.42,24.1,37.4,-13.2,-0.7
9,West Ham,19,7,8,4,31,28,3,29,1.53,26.3,29.7,-3.5,-0.18,19,7,2,10,29,46,-17,23,1.21,26.1,41.4,-15.3,-0.8
10,Crystal Palace,19,8,4,7,37,26,11,28,1.47,27.3,20.9,6.5,0.34,19,5,6,8,20,32,-12,21,1.11,21.2,31.1,-9.9,-0.52
11,Brighton,19,8,6,5,30,27,3,30,1.58,32.1,25.4,6.8,0.36,19,4,6,9,25,35,-10,18,0.95,24.7,30.1,-5.4,-0.28
12,Bournemouth,19,7,6,6,27,28,-1,27,1.42,27.4,24.3,3.1,0.17,19,6,3,10,27,39,-12,21,1.11,28.5,33.8,-5.3,-0.28
13,Fulham,19,9,2,8,31,24,7,29,1.53,27.9,27.8,0.1,0.0,19,4,6,9,24,37,-13,18,0.95,22.9,35.1,-12.2,-0.64
14,Wolves,19,8,3,8,26,30,-4,27,1.42,23.2,30.5,-7.2,-0.38,19,5,4,10,24,35,-11,19,1.0,23.5,37.2,-13.7,-0.72
15,Everton,19,8,4,7,22,18,4,28,1.47,32.1,22.5,9.7,0.51,19,5,5,9,18,33,-15,20,1.05,21.9,32.7,-10.8,-0.57
16,Brentford,19,5,7,7,29,34,-5,22,1.16,30.8,29.7,1.1,0.06,19,5,2,12,27,31,-4,17,0.89,27.4,26.3,1.2,0.06
17,Nott'ham Forest,19,5,5,9,27,30,-3,20,1.05,25.0,21.8,3.2,0.17,19,4,4,11,22,37,-15,16,0.84,24.9,31.5,-6.5,-0.34
18,Luton Town,19,4,4,11,28,37,-9,16,0.84,25.8,31.1,-5.3,-0.28,19,2,4,13,24,48,-24,10,0.53,16.6,46.9,-30.2,-1.59
19,Burnley,19,2,4,13,19,43,-24,10,0.53,22.6,29.1,-6.5,-0.34,19,3,5,11,22,35,-13,14,0.74,18.0,41.3,-23.2,-1.22
20,Sheffield Utd,19,2,4,13,19,57,-38,10,0.53,24.3,37.8,-13.5,-0.71,19,1,3,15,16,47,-31,6,0.32,14.0,38.8,-24.8,-1.3
