Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Arsenal,2,38,38,3420,38.0,91,2.39,219,133,63.0,5,5,28,5,13.2,10,10,0,0,0.0
vs Aston Villa,2,38,38,3420,38.0,76,2.0,186,114,61.3,10,8,20,6,15.8,4,4,0,0,0.0
vs Bournemouth,3,38,38,3420,38.0,54,1.42,177,125,70.6,16,9,13,7,18.4,3,2,0,1,0.0
vs Brentford,2,38,38,3420,38.0,56,1.47,162,108,67.3,19,9,10,8,21.1,3,3,0,0,0.0
vs Brighton,2,38,38,3420,38.0,55,1.45,204,153,75.5,14,12,12,10,26.3,6,5,1,0,16.7
vs Burnley,2,38,38,3420,38.0,41,1.08,140,100,72.9,24,9,5,12,31.6,3,3,0,0,0.0
vs Chelsea,2,38,38,3420,38.0,77,2.03,206,129,68.0,11,9,18,6,15.8,12,11,1,0,8.3
vs Crystal Palace,3,38,38,3420,38.0,57,1.5,166,110,68.1,15,10,13,7,18.4,4,4,0,0,0.0
vs Everton,1,38,38,3420,38.0,40,1.05,155,114,75.5,16,9,13,12,31.6,3,2,1,0,33.3
vs Fulham,1,38,38,3420,38.0,55,1.45,177,123,70.1,17,8,13,13,34.2,2,2,0,0,0.0
vs Liverpool,2,38,38,3420,38.0,86,2.26,271,189,70.5,4,10,24,3,7.9,9,6,2,1,25.0
vs Luton Town,2,38,38,3420,38.0,52,1.37,139,90,66.2,24,8,6,5,13.2,5,5,0,0,0.0
vs Manchester City,2,38,38,3420,38.0,96,2.53,273,179,68.1,3,7,28,3,7.9,10,9,0,1,0.0
vs Manchester Utd,1,38,38,3420,38.0,57,1.5,189,131,73.0,14,6,18,9,23.7,7,6,1,0,14.3
vs Newcastle Utd,3,38,38,3420,38.0,85,2.24,205,121,62.4,14,6,18,5,13.2,9,8,1,0,11.1
vs Nott'ham Forest,3,38,38,3420,38.0,49,1.29,144,95,66.7,20,9,9,10,26.3,1,1,0,0,0.0
vs Sheffield Utd,2,38,38,3420,38.0,35,0.92,122,91,75.4,28,7,3,15,39.5,5,5,0,0,0.0
vs Tottenham,1,38,38,3420,38.0,74,1.95,209,140,65.6,12,6,20,4,10.5,2,2,0,0,0.0
vs West Ham,2,38,38,3420,38.0,60,1.58,151,92,62.9,14,10,14,8,21.1,5,4,1,0,20.0
vs Wolves,2,38,38,3420,38.0,50,1.32,157,110,70.7,18,7,13,9,23.7,4,4,0,0,0.0
