Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,25,38.0,64,2,1,391,394,87,670,292,348,9,3,1,1752,503,499,50.2
Aston Villa,31,38.0,94,2,0,412,473,47,651,236,311,4,2,4,1619,334,363,47.9
Bournemouth,30,38.0,79,3,0,507,376,56,709,357,410,3,7,1,2013,582,671,46.4
Brentford,28,38.0,89,2,0,385,419,70,706,378,399,3,2,0,1892,632,607,51.0
Brighton,30,38.0,90,3,0,414,454,84,671,288,366,6,6,2,1751,406,345,54.1
Burnley,31,38.0,77,7,3,429,353,76,550,280,342,3,7,3,1727,561,696,44.6
Chelsea,32,38.0,109,4,2,446,451,85,558,298,376,11,5,3,1846,440,402,52.3
Crystal Palace,26,38.0,73,2,2,457,427,72,583,323,464,4,3,2,1909,553,555,49.9
Everton,26,38.0,82,1,1,457,361,89,752,358,442,2,8,3,1970,676,577,54.0
Fulham,25,38.0,84,4,3,384,364,51,736,371,384,2,8,4,1837,487,509,48.9
Liverpool,30,38.0,69,5,2,463,376,100,817,292,418,8,1,2,2034,583,441,56.9
Luton Town,28,38.0,71,0,0,443,448,67,841,325,368,2,4,4,1868,635,631,50.2
Manchester City,25,38.0,53,2,1,289,410,42,700,233,305,8,3,1,1734,325,288,53.0
Manchester Utd,31,38.0,83,1,1,401,340,91,594,313,409,6,7,1,1851,436,450,49.2
Newcastle Utd,32,38.0,79,1,1,386,469,59,648,285,391,9,5,1,1836,453,418,52.0
Nott'ham Forest,33,38.0,82,3,2,428,371,77,595,331,430,1,4,2,1807,584,557,51.2
Sheffield Utd,35,38.0,101,5,3,423,318,64,428,348,405,3,7,7,1637,586,694,45.8
Tottenham,29,38.0,92,4,2,425,510,83,710,355,451,2,7,3,1907,359,388,48.1
West Ham,26,38.0,82,3,3,390,392,71,661,361,426,4,10,4,1817,576,570,50.3
Wolves,27,38.0,102,4,2,476,405,78,578,284,430,4,8,1,1885,441,491,47.3
