Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Arsenal,25,38.0,28,320,80,25.0,8.42,2.11,0.08,0.33,18.3,12,2,3,27.9,25.7,0.08,0.1,0.3
vs Aston Villa,31,38.0,57,453,171,37.7,11.92,4.5,0.12,0.33,15.7,13,1,2,59.9,58.2,0.13,-2.9,-2.2
vs Bournemouth,30,38.0,66,527,187,35.5,13.87,4.92,0.11,0.32,16.6,9,6,7,58.1,52.5,0.1,7.9,7.5
vs Brentford,28,38.0,65,546,182,33.3,14.37,4.79,0.12,0.35,17.8,10,2,2,56.0,54.4,0.1,9.0,8.6
vs Brighton,30,38.0,60,462,159,34.4,12.16,4.18,0.12,0.34,16.3,15,6,6,55.4,50.7,0.11,4.6,3.3
vs Burnley,31,38.0,75,608,237,39.0,16.0,6.24,0.11,0.29,16.1,16,6,7,70.4,64.9,0.11,4.6,4.1
vs Chelsea,32,38.0,60,551,182,33.0,14.5,4.79,0.1,0.31,16.9,25,3,5,58.1,54.1,0.1,1.9,2.9
vs Crystal Palace,26,38.0,56,457,151,33.0,12.03,3.97,0.12,0.35,15.8,8,3,3,52.0,49.6,0.11,4.0,3.4
vs Everton,26,38.0,48,530,157,29.6,13.95,4.13,0.08,0.25,16.9,12,8,8,55.2,49.1,0.1,-7.2,-9.1
vs Fulham,25,38.0,57,515,182,35.3,13.55,4.79,0.1,0.27,16.6,16,8,8,62.9,56.9,0.11,-5.9,-7.9
vs Liverpool,30,38.0,39,413,146,35.4,10.87,3.84,0.09,0.26,17.3,17,1,1,45.7,45.0,0.11,-6.7,-7.0
vs Luton Town,28,38.0,81,656,219,33.4,17.26,5.76,0.12,0.35,16.6,18,4,4,78.0,74.9,0.12,3.0,2.1
vs Manchester City,25,38.0,33,291,106,36.4,7.66,2.79,0.1,0.28,16.2,6,3,3,35.6,33.2,0.12,-2.6,-3.2
vs Manchester Utd,31,38.0,57,660,196,29.7,17.37,5.16,0.08,0.26,16.7,17,7,7,68.9,63.4,0.1,-11.9,-13.4
vs Newcastle Utd,32,38.0,61,529,190,35.9,13.92,5.0,0.11,0.3,16.9,13,4,5,61.4,57.4,0.11,-0.4,-0.4
vs Nott'ham Forest,33,38.0,65,505,159,31.5,13.29,4.18,0.12,0.38,17.1,21,4,4,53.3,50.1,0.1,11.7,10.9
vs Sheffield Utd,35,38.0,97,671,258,38.5,17.66,6.79,0.14,0.36,16.6,14,5,7,76.6,71.2,0.11,20.4,20.8
vs Tottenham,29,38.0,58,478,160,33.5,12.58,4.21,0.11,0.32,15.9,12,7,7,63.4,58.4,0.13,-5.4,-7.4
vs West Ham,26,38.0,70,642,231,36.0,16.89,6.08,0.1,0.27,17.5,16,8,10,71.1,63.2,0.1,-1.1,-1.2
vs Wolves,27,38.0,64,568,195,34.3,14.95,5.13,0.1,0.29,16.6,13,8,8,67.7,61.4,0.11,-3.7,-5.4
