Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Arsenal,7,5,1,1,14,3,11,16,2.29,11.9,4.3,7.5,1.08,L W D W W,60155,Viktor Gyökeres - 3,David Raya,
2,Liverpool,7,5,0,2,13,9,4,15,2.14,10.9,7.9,3.0,0.43,W W W L L,60371,Hugo Ekitike - 3,Alisson,
3,Tottenham,7,4,2,1,13,5,8,14,2.0,7.4,8.7,-1.4,-0.2,L W D D W,60955,Richarlison - 3,Guglielmo Vicario,
4,Bournemouth,7,4,2,1,11,8,3,14,2.0,8.4,6.3,2.0,0.29,W W D D W,11154,Antoine Semenyo - 6,Đorđe Petrović,
5,Manchester City,7,4,1,2,15,6,9,13,1.86,12.1,7.1,5.0,0.71,L W D W W,52249,Erling Haaland - 9,Gianluigi Donnarumma,
6,Crystal Palace,7,3,3,1,9,5,4,12,1.71,12.7,8.7,4.0,0.57,W D W W L,25049,Ismaila Sarr - 3,Dean Henderson,
7,Chelsea,7,3,2,2,13,9,4,11,1.57,10.9,9.7,1.2,0.17,W D L L W,39640,"Enzo Fernández, Moisés Caicedo - 3",Robert Sánchez,
8,Everton,7,3,2,2,9,7,2,11,1.57,9.7,9.5,0.2,0.03,W D L D W,51883,Iliman Ndiaye - 3,Jordan Pickford,
9,Sunderland,7,3,2,2,7,6,1,11,1.57,6.7,8.7,-2.0,-0.28,W D D W L,46254,Wilson Isidor - 3,Robin Roefs,
10,Manchester Utd,7,3,1,3,9,11,-2,10,1.43,13.6,9.9,3.7,0.53,W L W L W,73965,"Bruno Fernandes, Benjamin Šeško - 2",Altay Bayındır,
11,Newcastle Utd,7,2,3,2,6,5,1,9,1.29,8.4,4.7,3.6,0.52,D W D L W,52191,Nick Woltemade - 3,Nick Pope,
12,Brighton,7,2,3,2,10,10,0,9,1.29,11.2,9.1,2.1,0.3,W L D W D,31484,Danny Welbeck - 2,Bart Verbruggen,
13,Aston Villa,7,2,3,2,6,7,-1,9,1.29,5.9,9.7,-3.8,-0.54,L D D W W,41055,Donyell Malen - 2,Emiliano Martínez,
14,Fulham,7,2,2,3,8,11,-3,8,1.14,7.3,8.9,-1.7,-0.24,L W W L L,26984,"Raúl Jiménez, Alex Iwobi... - 1",Bernd Leno,
15,Leeds United,7,2,2,3,7,11,-4,8,1.14,7.6,7.9,-0.3,-0.04,D L W D L,36706,Noah Okafor - 2,Karl Darlow,
16,Brentford,7,2,1,4,9,12,-3,7,1.0,8.4,9.6,-1.2,-0.18,L D L W L,16964,Thiago - 4,Caoimhín Kelleher,
17,Nott'ham Forest,7,1,2,4,5,12,-7,5,0.71,6.6,12.4,-5.9,-0.84,L L D L L,30130,Chris Wood - 2,Matz Sels,
18,Burnley,7,1,1,5,7,15,-8,4,0.57,4.9,13.4,-8.5,-1.21,L L D L L,21479,Jaidon Anthony - 4,Martin Dúbravka,
19,West Ham,7,1,1,5,6,16,-10,4,0.57,6.6,11.1,-4.5,-0.64,W L L D L,62459,Jarrod Bowen - 3,Mads Hermansen,
20,Wolves,7,0,2,5,5,14,-9,2,0.29,6.1,9.4,-3.3,-0.47,L L L D D,30510,"Hwang Hee-chan, Santiago Bueno... - 1",José Sá,
