Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,1,7,7,630,7.0,3,0.43,18,15,83.3,5,1,1,4,57.1,0,0,0,0,
Aston Villa,2,7,7,630,7.0,7,1.0,20,13,70.0,2,3,2,2,28.6,1,1,0,0,0.0
Bournemouth,1,7,7,630,7.0,8,1.14,27,19,70.4,4,2,1,3,42.9,0,0,0,0,
Brentford,1,7,7,630,7.0,12,1.71,29,17,62.1,2,1,4,1,14.3,2,1,1,0,50.0
Brighton,1,7,7,630,7.0,10,1.43,22,14,59.1,2,3,2,0,0.0,1,1,0,0,0.0
Burnley,1,7,7,630,7.0,15,2.14,40,28,67.5,1,1,5,1,14.3,2,2,0,0,0.0
Chelsea,2,7,7,628,7.0,9,1.29,22,13,59.1,3,2,2,2,28.6,0,0,0,0,
Crystal Palace,1,7,7,630,7.0,5,0.71,21,16,81.0,3,3,1,3,42.9,1,1,0,0,0.0
Everton,1,7,7,630,7.0,7,1.0,24,16,75.0,3,2,2,2,28.6,2,1,1,0,50.0
Fulham,1,7,7,630,7.0,11,1.57,29,19,69.0,2,2,3,1,14.3,3,2,0,1,0.0
Leeds United,2,7,7,630,7.0,11,1.57,25,15,60.0,2,2,3,2,28.6,1,1,0,0,0.0
Liverpool,2,7,7,630,7.0,9,1.29,22,13,59.1,5,0,2,2,28.6,0,0,0,0,
Manchester City,2,7,7,630,7.0,6,0.86,23,17,78.3,4,1,2,3,42.9,1,1,0,0,0.0
Manchester Utd,2,7,7,630,7.0,11,1.57,27,16,59.3,3,1,3,1,14.3,0,0,0,0,
Newcastle Utd,1,7,7,630,7.0,5,0.71,24,19,79.2,2,3,2,5,71.4,0,0,0,0,
Nott'ham Forest,1,7,7,630,7.0,12,1.71,37,25,75.7,1,2,4,0,0.0,3,3,0,0,0.0
Sunderland,1,7,7,630,7.0,6,0.86,29,22,79.3,3,2,2,3,42.9,1,0,1,0,100.0
Tottenham,1,7,7,630,7.0,5,0.71,29,24,82.8,4,2,1,3,42.9,0,0,0,0,
West Ham,2,7,7,630,7.0,16,2.29,34,18,55.9,1,1,5,1,14.3,1,1,0,0,0.0
Wolves,2,7,7,630,7.0,14,2.0,29,15,51.7,0,2,5,0,0.0,0,0,0,0,
