Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Arsenal,21,7.0,3699,3398,292,73,24,13,145,126,53,41,7,0,3071,9,53
Aston Villa,23,7.0,3536,3187,337,108,20,9,126,113,38,19,6,0,2935,12,66
Bournemouth,23,7.0,3319,2963,341,81,13,8,144,150,40,32,3,0,2577,15,72
Brentford,20,7.0,2511,2207,295,69,5,3,110,124,33,14,11,3,1879,9,32
Brighton,20,7.0,2990,2664,311,86,6,20,99,122,30,18,3,0,2407,15,50
Burnley,21,7.0,2453,2143,295,68,8,27,81,98,21,16,1,1,1795,15,57
Chelsea,25,7.0,4037,3685,337,93,14,17,123,131,45,27,3,0,3419,15,47
Crystal Palace,20,7.0,2781,2469,303,76,20,16,100,118,23,20,1,0,2143,9,53
Everton,19,7.0,3016,2655,355,104,16,19,119,156,25,18,1,1,2316,6,56
Fulham,21,7.0,3384,3028,342,96,12,25,144,139,32,21,9,0,2730,14,71
Leeds United,21,7.0,3084,2769,307,90,6,8,105,111,28,14,12,1,2444,8,65
Liverpool,22,7.0,4001,3663,330,80,22,9,126,151,36,15,14,0,3332,8,50
Manchester City,22,7.0,4041,3709,326,91,19,15,82,145,29,11,14,1,3474,6,77
Manchester Utd,20,7.0,3453,3122,320,95,20,33,125,142,29,24,0,2,2733,11,60
Newcastle Utd,21,7.0,3195,2843,347,92,14,17,155,157,44,19,20,1,2447,5,62
Nott'ham Forest,24,7.0,3893,3569,316,78,10,17,184,136,33,21,7,0,3230,8,64
Sunderland,23,7.0,2992,2685,300,75,8,15,127,127,27,22,0,1,2318,7,67
Tottenham,19,7.0,3497,3151,334,72,4,22,163,139,42,38,1,0,2836,12,60
West Ham,24,7.0,3068,2733,327,72,11,22,120,135,39,24,12,0,2470,8,62
Wolves,23,7.0,3156,2815,332,75,8,18,133,159,28,24,2,0,2459,9,57
