Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Alavés,30,38.0,706,18.58,515,63,42,32,42,12,102,2.68,76,4,9,5,5,3
vs Athletic Club,27,38.0,671,17.66,499,62,40,24,39,7,74,1.95,50,9,2,3,8,2
vs Atlético Madrid,25,38.0,634,16.68,454,70,27,34,42,7,38,1.0,30,4,0,1,1,2
vs Barcelona,25,38.0,564,14.84,405,46,40,31,27,15,61,1.61,38,5,5,3,7,3
vs Betis,25,38.0,640,16.84,449,65,43,29,43,11,80,2.11,59,3,5,7,5,1
vs Cádiz,34,38.0,803,21.13,603,63,45,37,39,16,101,2.66,74,4,6,5,9,3
vs Celta Vigo,30,38.0,715,18.82,486,71,58,31,56,13,93,2.45,63,4,5,9,8,4
vs Eibar,30,38.0,598,15.74,425,57,38,39,30,9,91,2.39,72,1,10,5,3,0
vs Elche,30,38.0,849,22.34,624,71,56,30,56,12,98,2.58,70,7,9,7,5,0
vs Getafe,31,38.0,550,14.47,381,68,30,22,45,4,67,1.76,47,6,3,3,8,0
vs Granada,34,38.0,844,22.21,604,76,44,61,51,8,109,2.87,80,5,8,10,6,0
vs Huesca,27,38.0,757,19.92,528,80,54,38,49,8,87,2.29,56,7,8,10,6,0
vs Levante,29,38.0,805,21.18,574,79,46,44,40,22,94,2.47,69,7,6,4,4,4
vs Osasuna,28,38.0,787,20.71,623,51,36,34,42,1,84,2.21,63,5,4,6,6,0
vs Real Madrid,30,38.0,618,16.26,465,41,38,24,35,15,44,1.16,28,6,2,2,5,1
vs Real Sociedad,30,38.0,583,15.34,401,66,32,31,44,9,63,1.66,42,5,5,6,4,1
vs Sevilla,26,38.0,599,15.76,411,63,37,38,47,3,51,1.34,33,6,2,5,5,0
vs Valencia,30,38.0,959,25.24,688,84,60,65,50,12,80,2.11,50,5,7,10,6,2
vs Valladolid,32,38.0,815,21.45,584,90,47,38,47,9,94,2.47,65,5,9,7,6,2
vs Villarreal,29,38.0,696,18.32,520,51,38,32,41,14,67,1.76,41,8,5,5,6,2
