Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Alavés,33,38.0,14175,12142,1961,543,27,188,758,825,139,54,63,1,9676,72,310
Athletic Club,26,38.0,17283,15195,1999,552,42,184,798,880,224,52,102,0,12947,89,332
Atlético Madrid,26,38.0,19098,17082,1931,534,80,228,703,832,201,72,83,0,15076,85,298
Barcelona,38,38.0,25006,23093,1814,567,90,193,798,712,219,70,82,0,21489,99,309
Betis,31,38.0,19444,17513,1860,586,66,181,547,749,174,56,78,0,15702,71,310
Cádiz,33,38.0,14415,12460,1886,511,37,183,865,795,181,79,63,1,10136,69,312
Celta Vigo,25,38.0,20591,18578,1930,501,60,169,768,898,167,81,60,1,16007,83,360
Elche,28,38.0,16836,14819,1943,591,34,180,720,763,155,63,70,1,12948,74,335
Espanyol,34,38.0,16919,15003,1846,590,29,196,627,659,172,65,67,1,13360,70,287
Getafe,31,38.0,14607,12625,1929,579,17,194,621,842,136,65,58,0,10278,53,299
Granada,32,38.0,14889,12856,1971,544,28,142,691,791,159,70,60,1,10582,62,295
Levante,31,38.0,16422,14508,1837,477,50,183,624,769,168,58,76,3,12584,77,311
Mallorca,33,38.0,15023,13022,1934,575,44,113,597,788,159,64,34,5,11046,67,311
Osasuna,29,38.0,16522,14470,1986,473,16,195,864,932,179,61,99,4,11904,66,309
Rayo Vallecano,28,38.0,16933,14830,2020,553,38,161,862,906,190,76,76,4,12747,83,321
Real Madrid,31,38.0,24517,22705,1706,491,71,309,611,639,218,81,50,0,21373,106,313
Real Sociedad,32,38.0,19304,17333,1895,537,45,96,638,829,186,79,79,1,15403,76,352
Sevilla,33,38.0,22234,20265,1889,526,37,312,787,844,175,11,124,2,18327,80,305
Valencia,34,38.0,13777,11686,2039,664,32,227,765,811,175,73,63,3,9627,52,289
Villarreal,29,38.0,20401,18435,1875,582,90,166,574,737,200,92,44,2,16679,91,396
