Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Alavés,2,38.0,46,8,0,4,2,44.8,0.25,0.8,0.02,315,778,40.5,886,125,62.2,41.7,335,67.8,48.4,530,29,5.5,37,0.97,15.2
Almería,3,38.0,75,6,0,8,0,70.3,0.32,-4.7,-0.12,181,615,29.4,1115,180,39.5,24.1,330,53.0,41.7,629,29,4.6,47,1.24,22.7
Athletic Club,2,38.0,37,1,0,2,4,40.4,0.28,7.4,0.2,238,728,32.7,1050,164,48.0,32.4,272,82.4,59.3,491,33,6.7,49,1.29,15.3
Atlético Madrid,1,38.0,43,1,0,3,0,39.8,0.28,-3.2,-0.08,114,336,33.9,725,180,27.2,31.5,298,46.6,39.0,579,36,6.2,22,0.58,11.8
Barcelona,2,38.0,44,2,0,1,0,41.6,0.28,-2.4,-0.06,113,216,52.3,1076,161,14.7,26.3,255,22.7,27.9,450,15,3.3,36,0.95,15.6
Betis,3,38.0,45,7,3,3,3,47.5,0.26,5.5,0.15,180,510,35.3,1022,167,35.2,30.6,279,53.8,42.6,541,38,7.0,42,1.11,12.6
Cádiz,2,38.0,55,2,0,6,1,51.7,0.3,-2.3,-0.06,364,910,40.0,991,123,62.8,49.3,342,84.2,60.7,617,60,9.7,45,1.18,7.0
Celta Vigo,2,38.0,57,6,0,7,3,56.0,0.31,2.0,0.05,176,494,35.6,811,182,38.3,35.5,312,58.7,45.4,556,28,5.0,36,0.95,13.3
Getafe,2,38.0,54,5,0,7,0,55.2,0.29,1.2,0.03,341,915,37.3,977,124,66.6,39.2,322,82.0,56.2,463,18,3.9,62,1.63,10.7
Girona,1,38.0,46,5,0,8,0,51.0,0.28,5.0,0.13,155,420,36.9,1074,178,27.1,30.0,312,41.3,37.9,534,41,7.7,33,0.87,13.2
Granada,4,38.0,79,5,0,12,2,70.2,0.33,-6.8,-0.18,231,626,36.9,1096,185,40.1,35.7,293,63.8,47.9,536,33,6.2,52,1.37,17.3
Las Palmas,2,38.0,47,5,0,5,3,51.2,0.29,7.2,0.19,146,473,30.9,1733,204,23.3,27.3,265,26.4,27.1,545,30,5.5,100,2.63,17.8
Mallorca,3,38.0,44,4,1,4,1,43.6,0.26,0.6,0.02,333,824,40.4,981,128,61.0,33.0,332,68.1,51.3,520,34,6.5,29,0.76,7.0
Osasuna,2,38.0,56,1,0,8,0,51.8,0.33,-4.2,-0.11,329,771,42.7,1071,119,55.2,42.5,308,58.4,43.4,537,30,5.6,58,1.53,24.8
Rayo Vallecano,2,38.0,48,1,1,5,2,47.8,0.31,1.8,0.05,170,613,27.7,915,176,46.3,39.4,320,59.1,47.8,534,23,4.3,40,1.05,14.6
Real Madrid,3,38.0,26,1,0,2,1,34.4,0.29,9.4,0.25,79,210,37.6,952,177,17.1,25.2,291,16.2,24.3,487,35,7.2,38,1.0,12.2
Real Sociedad,2,38.0,39,6,0,5,1,40.8,0.27,2.8,0.07,192,465,41.3,1099,116,31.8,37.0,199,58.3,45.6,410,19,4.6,58,1.53,20.1
Sevilla,3,38.0,54,5,1,4,2,53.4,0.28,1.4,0.04,224,613,36.5,920,182,43.8,39.4,288,72.9,53.4,520,31,6.0,32,0.84,13.5
Valencia,3,38.0,45,3,1,7,2,51.4,0.29,8.4,0.22,191,696,27.4,883,148,58.2,29.1,275,66.2,49.9,561,46,8.2,32,0.84,8.3
Villarreal,2,38.0,65,6,1,9,1,61.7,0.27,-2.3,-0.06,150,378,39.7,1015,190,26.8,30.2,354,29.9,29.8,688,35,5.1,36,0.95,5.3
