Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Alavés,2,38,38,3417,38.0,36,0.95,142,106,76.8,16,10,12,15,39.5,7,3,3,1,50.0
vs Almería,3,38,38,3420,38.0,43,1.13,165,123,75.2,23,12,3,12,31.6,2,2,0,0,0.0
vs Athletic Club,2,38,38,3420,38.0,61,1.61,167,107,65.3,8,11,19,9,23.7,5,3,1,1,25.0
vs Atlético Madrid,1,38,38,3417,38.0,70,1.84,203,134,68.0,10,4,24,8,21.1,6,5,1,0,16.7
vs Barcelona,2,38,38,3416,38.0,79,2.08,226,149,67.7,5,7,26,2,5.3,7,6,1,0,14.3
vs Betis,3,38,38,3420,38.0,48,1.26,153,106,69.9,9,15,14,8,21.1,3,2,1,0,33.3
vs Cádiz,2,38,38,3420,38.0,26,0.68,123,98,81.3,17,15,6,18,47.4,3,3,0,0,0.0
vs Celta Vigo,2,38,38,3420,38.0,46,1.21,156,109,72.4,17,11,10,13,34.2,5,3,2,0,40.0
vs Getafe,2,38,38,3420,38.0,42,1.11,157,114,77.1,15,13,10,15,39.5,7,6,1,0,14.3
vs Girona,1,38,38,3420,38.0,85,2.24,186,101,58.1,7,6,25,7,18.4,8,7,1,0,12.5
vs Granada,4,38,38,3420,38.0,38,1.0,129,93,74.4,25,9,4,16,42.1,8,5,1,2,16.7
vs Las Palmas,2,38,38,3420,38.0,33,0.87,125,90,76.0,18,10,10,17,44.7,5,3,2,0,40.0
vs Mallorca,3,38,38,3420,38.0,33,0.87,132,99,75.8,14,16,8,15,39.5,3,1,0,2,0.0
vs Osasuna,2,38,38,3420,38.0,45,1.18,129,83,68.2,17,9,12,10,26.3,5,4,1,0,20.0
vs Rayo Vallecano,2,38,38,3420,38.0,29,0.76,166,137,86.1,16,14,8,19,50.0,6,6,0,0,0.0
vs Real Madrid,3,38,38,3420,38.0,87,2.29,246,159,65.4,1,8,29,2,5.3,5,2,2,1,50.0
vs Real Sociedad,2,38,38,3420,38.0,51,1.34,151,103,68.9,10,12,16,10,26.3,4,4,0,0,0.0
vs Sevilla,3,38,38,3420,38.0,48,1.26,162,116,71.6,17,11,10,10,26.3,2,2,0,0,0.0
vs Valencia,3,38,38,3420,38.0,40,1.05,131,92,75.6,15,10,13,13,34.2,9,8,0,1,0.0
vs Villarreal,2,38,38,3420,38.0,65,1.71,169,104,64.5,13,11,14,4,10.5,7,5,1,1,16.7
