Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Alavés,29,26.6,38,3420,90,100,38.0,418,82,254,161,21,275,1.11,38,48,-10,-0.26,42.8,47.0,-4.2,-0.11
Athletic Club,31,26.9,38,3420,90,100,38.0,418,80,226,189,23,253,1.84,54,29,25,0.66,53.0,37.8,15.2,0.4
Atlético Madrid,24,28.4,38,3420,90,100,38.0,418,78,228,188,27,242,2.0,68,30,38,1.0,64.6,33.4,31.2,0.82
Barcelona,28,24.7,38,3420,90,100,38.0,418,80,237,180,22,254,2.32,102,39,63,1.66,91.5,41.9,49.5,1.3
Betis,36,27.5,38,3420,90,100,38.0,418,80,237,179,22,230,1.58,57,50,7,0.18,54.7,50.6,4.1,0.11
Celta Vigo,30,26.8,38,3420,90,100,38.0,418,79,227,189,23,265,1.45,59,57,2,0.05,54.2,43.4,10.9,0.29
Espanyol,27,25.2,38,3420,90,100,38.0,418,81,238,180,21,270,1.11,40,51,-11,-0.29,34.4,53.8,-19.4,-0.51
Getafe,30,27.7,38,3420,90,100,38.0,418,81,251,164,21,247,1.11,34,39,-5,-0.13,36.8,46.2,-9.4,-0.25
Girona,30,27.5,38,3420,90,100,38.0,418,81,245,172,22,249,1.08,44,60,-16,-0.42,42.5,50.4,-8.0,-0.21
Las Palmas,34,26.8,38,3420,90,100,38.0,418,80,226,189,21,246,0.84,40,61,-21,-0.55,36.3,66.8,-30.5,-0.8
Leganés,26,27.8,38,3420,90,100,38.0,418,81,247,167,21,250,1.05,39,56,-17,-0.45,36.0,59.4,-23.4,-0.62
Mallorca,28,28.7,38,3420,90,100,38.0,418,82,233,179,18,260,1.26,35,44,-9,-0.24,38.8,46.8,-8.1,-0.21
Osasuna,25,27.4,38,3420,90,100,38.0,418,82,239,183,18,256,1.37,48,52,-4,-0.11,44.0,53.7,-9.7,-0.25
Rayo Vallecano,26,29.3,38,3420,90,100,38.0,418,80,227,188,22,256,1.37,41,45,-4,-0.11,45.4,49.0,-3.5,-0.09
Real Madrid,30,26.6,38,3420,90,100,38.0,418,83,270,144,18,213,2.21,78,38,40,1.05,75.3,42.8,32.5,0.86
Real Sociedad,31,25.1,38,3420,90,100,38.0,418,79,233,181,25,268,1.21,35,46,-11,-0.29,42.5,43.9,-1.5,-0.04
Sevilla,35,26.1,38,3420,90,100,38.0,418,82,240,174,18,266,1.08,42,55,-13,-0.34,42.7,47.4,-4.7,-0.12
Valencia,32,24.7,38,3420,90,100,38.0,418,82,238,179,19,264,1.21,44,54,-10,-0.26,43.3,51.9,-8.6,-0.23
Valladolid,38,25.6,38,3420,90,100,38.0,418,79,238,177,25,264,0.42,26,90,-64,-1.68,34.6,67.6,-33.0,-0.87
Villarreal,31,26.7,38,3420,90,100,38.0,418,81,239,177,21,179,1.84,71,51,20,0.53,64.8,44.4,20.4,0.54
