Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Alavés,29,54.7,38.0,22689,2367,7584,10446,4876,659,22678,810,378,46.7,348,43.0,11958,63721,33531,573,440,137,645,389,14127,1309
vs Athletic Club,31,51.6,38.0,23225,2765,9110,10141,4156,588,23220,633,283,44.7,296,46.8,12464,60243,29674,468,345,111,608,281,14809,1168
vs Atlético Madrid,24,47.4,38.0,23851,2405,6916,11439,5686,619,23846,694,308,44.4,319,46.0,13506,67569,34768,581,479,100,577,300,16092,1533
vs Barcelona,28,31.7,38.0,16221,2896,7293,6081,3011,566,16217,572,249,43.5,271,47.4,7646,39978,19702,406,246,147,545,267,8434,769
vs Betis,36,47.6,38.0,22048,2459,7355,9895,5002,750,22044,702,302,43.0,342,48.7,11838,60140,30507,611,421,165,564,303,13770,1394
vs Celta Vigo,30,46.4,38.0,22435,2437,7311,10538,4807,676,22431,638,290,45.5,286,44.8,12857,65278,31170,564,463,144,527,269,14814,1209
vs Espanyol,27,60.2,38.0,25692,1881,6559,12682,6675,1016,25686,686,300,43.7,310,45.2,15118,83083,44099,838,604,195,585,330,17827,1808
vs Getafe,30,58.2,38.0,22942,2431,8144,10481,4497,630,22933,740,332,44.9,333,45.0,11645,58255,30057,499,343,123,641,312,13820,1269
vs Girona,30,43.7,38.0,20788,2333,7034,8948,5006,779,20782,620,265,42.7,292,47.1,11640,59568,29907,582,402,202,476,277,13689,1174
vs Las Palmas,34,49.3,38.0,22205,2110,6608,10200,5612,931,22195,654,285,43.6,307,46.9,11832,64867,34121,684,471,197,638,312,13983,1457
vs Leganés,26,57.4,38.0,24252,1859,6747,11160,6562,957,24244,683,304,44.5,295,43.2,13277,70117,38008,754,561,191,609,338,16152,1661
vs Mallorca,28,53.2,38.0,22970,2030,6645,10519,6025,901,22967,549,243,44.3,257,46.8,12758,66974,35251,693,462,189,577,327,14846,1572
vs Osasuna,25,53.9,38.0,23180,2310,7397,10374,5622,821,23173,671,307,45.8,311,46.3,12868,68588,36262,647,491,168,674,303,15079,1535
vs Rayo Vallecano,26,48.3,38.0,21249,2413,7416,9160,4906,774,21241,740,355,48.0,309,41.8,10729,60783,31944,613,434,161,630,318,12661,1318
vs Real Madrid,30,39.6,38.0,19910,2621,7172,8356,4578,643,19907,521,222,42.6,264,50.7,11509,60630,31994,648,470,160,476,322,12876,1155
vs Real Sociedad,31,46.2,38.0,20816,2394,7200,8796,5046,752,20809,643,271,42.1,308,47.9,10345,51781,25476,538,384,168,618,341,12516,1128
vs Sevilla,35,49.5,38.0,22206,2259,7100,10193,5095,670,22200,637,251,39.4,312,49.0,12283,61270,31116,551,423,139,527,336,14188,1249
vs Valencia,32,51.6,38.0,23232,2269,7471,10614,5323,743,23223,633,252,39.8,321,50.7,12610,64537,31522,589,414,156,581,326,15181,1403
vs Valladolid,38,57.2,38.0,24328,1805,5842,11908,6783,982,24321,616,290,47.1,276,44.8,14005,73671,39730,724,592,199,547,320,16996,1741
vs Villarreal,31,52.4,38.0,23983,2415,7431,10422,6344,822,23975,689,292,42.4,336,48.8,14128,70607,37444,720,563,183,519,313,16496,1586
