Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Real Madrid,4,4,0,0,8,2,6,12,3.0,8.1,3.0,5.0,1.26,4,3,0,1,11,7,4,9,2.25,9.6,6.5,3.0,0.76
2,Barcelona,3,3,0,0,11,1,10,9,3.0,8.0,1.4,6.6,2.21,5,3,1,1,11,8,3,10,2.0,10.0,7.7,2.3,0.46
3,Villarreal,4,4,0,0,10,1,9,12,3.0,8.3,4.1,4.1,1.03,4,1,1,2,4,7,-3,4,1.0,5.0,6.4,-1.4,-0.34
4,Betis,4,3,0,1,7,3,4,9,2.25,5.5,3.7,1.8,0.45,4,1,3,0,6,5,1,6,1.5,5.6,4.5,1.1,0.27
5,Espanyol,5,3,1,1,9,7,2,10,2.0,9.6,6.8,2.8,0.56,4,1,2,1,4,4,0,5,1.25,7.5,4.1,3.4,0.86
6,Atlético Madrid,4,3,1,0,11,5,6,10,2.5,8.6,3.9,4.7,1.18,4,0,3,1,4,5,-1,3,0.75,4.7,4.7,0.0,-0.01
7,Sevilla,4,1,1,2,8,7,1,4,1.0,4.6,5.8,-1.2,-0.3,4,3,0,1,7,4,3,9,2.25,3.3,7.6,-4.2,-1.06
8,Elche,4,3,1,0,6,2,4,10,2.5,6.8,4.4,2.4,0.59,4,0,3,1,5,7,-2,3,0.75,2.7,5.3,-2.5,-0.63
9,Athletic Club,5,3,1,1,7,5,2,10,2.0,8.9,2.6,6.3,1.26,3,1,0,2,2,4,-2,3,1.0,2.9,3.7,-0.8,-0.27
10,Alavés,4,2,1,1,7,5,2,7,1.75,5.3,2.8,2.6,0.64,4,1,1,2,2,3,-1,4,1.0,2.6,4.0,-1.4,-0.35
11,Getafe,3,1,2,0,4,2,2,5,1.67,1.5,2.1,-0.6,-0.19,5,2,0,3,5,9,-4,6,1.2,4.0,4.7,-0.7,-0.15
12,Osasuna,4,3,1,0,6,2,4,10,2.5,3.7,3.2,0.6,0.14,4,0,0,4,1,6,-5,0,0.0,4.2,6.0,-1.8,-0.45
13,Levante,3,0,1,2,5,9,-4,1,0.33,4.2,7.9,-3.7,-1.24,5,2,1,2,8,5,3,7,1.4,7.6,4.6,3.0,0.6
14,Rayo Vallecano,3,0,2,1,2,3,-1,2,0.67,4.8,3.3,1.5,0.5,5,2,0,3,6,7,-1,6,1.2,7.2,8.0,-0.8,-0.16
15,Valencia,4,2,1,1,7,3,4,7,1.75,6.4,2.8,3.6,0.91,4,0,1,3,3,11,-8,1,0.25,2.5,8.2,-5.7,-1.43
16,Celta Vigo,5,0,4,1,4,6,-2,4,0.8,6.9,3.8,3.1,0.62,3,0,2,1,3,4,-1,2,0.67,2.4,5.3,-2.9,-0.95
17,Girona,5,1,1,3,3,10,-7,4,0.8,5.0,9.8,-4.7,-0.95,3,0,2,1,2,7,-5,2,0.67,1.6,6.2,-4.6,-1.54
18,Oviedo,5,1,0,4,2,10,-8,3,0.6,4.0,11.2,-7.2,-1.44,4,1,0,3,2,6,-4,3,0.75,3.1,6.1,-3.0,-0.75
19,Real Sociedad,4,1,1,2,4,5,-1,4,1.0,6.7,5.7,1.0,0.26,4,0,1,3,3,7,-4,1,0.25,3.7,6.9,-3.2,-0.81
20,Mallorca,4,1,2,1,3,5,-2,5,1.25,2.3,5.8,-3.5,-0.89,4,0,0,4,4,8,-4,0,0.0,4.0,8.9,-4.9,-1.23
