Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Alavés,22,8.0,2860,3701,77.3,50086,18765,1364,1535,88.9,1140,1378,82.7,273,568,48.1,4,4.1,4.7,-0.1,59,251,41,19,250
Athletic Club,24,8.0,3258,4077,79.9,58706,19931,1399,1583,88.4,1480,1726,85.7,327,589,55.5,2,6.5,6.9,-4.5,76,307,72,23,381
Atlético Madrid,21,8.0,3893,4615,84.4,67368,22168,1811,1973,91.8,1613,1799,89.7,367,617,59.5,8,9.5,9.7,-1.5,78,322,95,24,370
Barcelona,24,8.0,4841,5487,88.2,79340,25474,2338,2525,92.6,2148,2352,91.3,266,418,63.6,16,13.1,15.4,2.9,125,502,112,12,468
Betis,25,8.0,3429,4128,83.1,57807,20552,1654,1801,91.8,1290,1485,86.9,338,584,57.9,11,9.2,8.2,1.8,92,253,70,18,300
Celta Vigo,24,8.0,4003,4694,85.3,69306,22760,1711,1854,92.3,1923,2107,91.3,279,509,54.8,4,7.3,9.0,-3.3,79,364,85,14,418
Elche,26,8.0,3870,4524,85.5,62623,22496,1988,2124,93.6,1471,1629,90.3,284,528,53.8,7,7.0,6.6,0.0,66,299,53,16,276
Espanyol,22,9.0,2838,3656,77.6,51080,20186,1237,1405,88.0,1264,1474,85.8,284,625,45.4,9,12.3,12.1,-3.3,95,224,69,33,305
Getafe,23,8.0,1875,2700,69.4,35672,14362,862,1004,85.9,682,884,77.1,276,635,43.5,9,4.2,4.3,4.8,45,183,25,9,186
Girona,27,8.0,2877,3542,81.2,50458,16263,1280,1405,91.1,1291,1445,89.3,245,514,47.7,3,5.1,5.1,-2.1,53,190,49,9,267
Levante,24,8.0,2243,2924,76.7,41261,16512,1005,1157,86.9,897,1043,86.0,286,569,50.3,7,7.3,6.8,-0.3,60,177,49,20,200
Mallorca,24,8.0,2576,3291,78.3,49260,19073,1051,1200,87.6,1156,1336,86.5,329,607,54.2,5,4.3,5.3,0.7,58,231,43,22,241
Osasuna,20,8.0,2658,3444,77.2,47075,18480,1232,1381,89.2,1052,1276,82.4,290,584,49.7,5,5.6,6.3,-0.6,55,185,44,18,228
Oviedo,26,9.0,3095,3831,80.8,58459,19857,1234,1397,88.3,1443,1631,88.5,363,634,57.3,2,4.1,5.8,-2.1,51,180,43,14,255
Rayo Vallecano,23,8.0,3256,4047,80.5,61368,22278,1292,1444,89.5,1557,1754,88.8,368,687,53.6,6,8.3,7.7,-2.3,77,276,48,20,306
Real Madrid,22,8.0,4668,5257,88.8,77156,22755,2330,2471,94.3,1820,1967,92.5,383,578,66.3,15,12.4,11.5,2.6,118,442,79,9,458
Real Sociedad,25,8.0,3170,3952,80.2,55368,20123,1417,1586,89.3,1412,1629,86.7,278,531,52.4,5,8.6,9.1,-3.6,92,263,59,16,345
Sevilla,28,8.0,2895,3634,79.7,54321,19618,1179,1334,88.4,1340,1535,87.3,325,582,55.8,11,6.3,6.1,4.7,67,238,56,20,256
Valencia,20,8.0,2775,3499,79.3,50076,17764,1177,1332,88.4,1276,1477,86.4,278,531,52.4,10,7.0,6.6,3.0,56,187,40,9,252
Villarreal,25,8.0,3187,3813,83.6,54237,17977,1538,1674,91.9,1346,1534,87.7,250,468,53.4,11,10.8,11.3,0.2,92,262,72,17,336
