Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Angers,31,27.9,38,3420,90,100,38.0,418,81,247,170,21,168,1.16,40,58,-18,-0.47,41.6,52.3,-10.7,-0.28
Bordeaux,28,27.6,38,3420,90,100,38.0,418,81,245,169,22,172,1.18,42,56,-14,-0.37,43.5,54.9,-11.4,-0.3
Brest,26,24.9,38,3420,90,100,38.0,418,84,269,146,17,194,1.08,50,66,-16,-0.42,50.0,58.1,-8.1,-0.21
Dijon,33,25.7,38,3420,90,100,38.0,418,82,265,150,21,179,0.55,25,73,-48,-1.26,33.7,72.5,-38.8,-1.02
Lens,27,26.4,38,3420,90,100,38.0,418,83,249,164,18,178,1.5,55,54,1,0.03,56.4,46.8,9.6,0.25
Lille,21,25.4,38,3420,90,100,38.0,418,83,247,169,18,170,2.18,64,23,41,1.08,48.5,29.8,18.7,0.49
Lorient,27,26.8,38,3420,90,100,38.0,418,82,253,163,19,179,1.11,50,68,-18,-0.47,48.6,52.5,-4.0,-0.1
Lyon,29,25.8,38,3420,90,100,38.0,418,81,237,175,20,161,2.0,81,43,38,1.0,81.4,41.5,40.0,1.05
Marseille,31,27.2,38,3420,90,100,38.0,418,82,258,153,21,188,1.58,54,47,7,0.18,47.0,47.4,-0.4,-0.01
Metz,27,25.7,38,3420,90,100,38.0,418,83,281,133,22,205,1.24,44,48,-4,-0.11,44.1,49.2,-5.2,-0.14
Monaco,30,24.8,38,3420,90,100,38.0,418,81,235,180,21,160,2.05,76,42,34,0.89,68.7,34.6,34.1,0.9
Montpellier,25,28.0,38,3420,90,100,38.0,418,82,249,162,18,177,1.42,60,62,-2,-0.05,51.9,66.2,-14.3,-0.38
Nantes,25,25.8,38,3420,90,100,38.0,418,83,275,139,19,202,1.05,47,55,-8,-0.21,49.0,53.7,-4.7,-0.12
Nice,31,23.5,38,3420,90,100,38.0,418,83,277,137,21,196,1.37,50,53,-3,-0.08,47.9,55.6,-7.6,-0.2
Nîmes,33,25.8,38,3420,90,100,38.0,418,83,269,148,19,190,0.92,40,71,-31,-0.82,43.3,64.2,-20.9,-0.55
Paris S-G,33,26.7,38,3420,90,100,38.0,418,82,254,160,20,179,2.16,86,28,58,1.53,80.1,40.6,39.5,1.04
Reims,29,24.6,38,3420,90,100,38.0,418,82,266,145,21,195,1.11,42,50,-8,-0.21,32.7,59.0,-26.3,-0.69
Rennes,32,25.5,38,3420,90,100,38.0,418,82,259,154,20,187,1.53,52,40,12,0.32,47.8,38.1,9.7,0.26
Saint-Étienne,40,25.4,38,3420,90,100,38.0,418,80,242,176,23,164,1.21,42,54,-12,-0.32,48.7,50.1,-1.4,-0.04
Strasbourg,26,26.8,38,3420,90,100,38.0,418,84,271,144,17,196,1.11,49,58,-9,-0.24,52.8,50.7,2.1,0.06
