Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Angers,31,53.8,38.0,25939,2035,7724,13295,5177,646,25931,754,440,58.4,314,41.6,15510,81252,42651,731,532,136,611,312,17693,1625
vs Bordeaux,28,50.3,38.0,23575,1945,6841,11483,5488,729,23567,623,370,59.4,253,40.6,13650,72085,37848,756,559,182,552,314,15742,1555
vs Brest,26,50.7,38.0,24340,2182,6901,11726,5922,804,24328,633,349,55.1,284,44.9,13907,73304,37566,730,530,162,693,326,16326,1706
vs Dijon,33,53.8,38.0,25040,1891,7251,12426,5611,893,25030,662,383,57.9,278,42.0,14623,73487,37926,720,510,195,671,323,16857,1673
vs Lens,27,48.6,38.0,22302,2201,7302,10479,4740,626,22291,533,296,55.5,237,44.5,12552,64058,31928,569,404,118,597,364,14142,1206
vs Lille,21,46.1,38.0,22989,2403,8505,10486,4269,545,22987,707,402,56.9,305,43.1,12984,64757,31278,607,447,135,628,348,14751,1248
vs Lorient,27,55.4,38.0,25413,1964,7488,12625,5529,745,25402,812,479,59.0,333,41.0,14683,75142,38845,679,538,141,646,389,17269,1549
vs Lyon,29,45.1,38.0,22032,2731,8140,9623,4499,633,22025,639,375,58.7,264,41.3,12701,65601,34346,660,506,147,623,319,13876,1180
vs Marseille,31,46.1,38.0,21883,2090,6778,10300,5073,687,21880,667,354,53.1,313,46.9,12306,66609,33923,659,509,145,625,342,13651,1317
vs Metz,27,54.7,38.0,24424,2097,7357,11956,5346,778,24411,675,370,54.8,305,45.2,14205,75775,40290,689,441,171,618,380,16262,1561
vs Monaco,30,44.0,38.0,21656,2514,7922,9965,3974,487,21651,696,364,52.3,332,47.7,12180,59634,28757,536,413,94,667,401,13378,1169
vs Montpellier,25,54.7,38.0,24235,2047,6783,12204,5525,833,24223,707,423,59.8,284,40.2,14370,79741,44746,847,624,169,601,245,16220,1711
vs Nantes,25,56.3,38.0,25769,2239,8231,12424,5352,720,25757,777,409,52.6,368,47.4,14592,70452,34705,597,426,149,683,328,17069,1588
vs Nice,31,45.5,38.0,22279,2162,6805,10476,5211,786,22273,629,372,59.1,256,40.7,12979,65486,33008,667,483,183,596,343,14650,1371
vs Nîmes,33,55.6,38.0,25381,1983,7039,12771,5801,833,25371,710,399,56.2,310,43.7,14860,75801,40757,742,538,165,670,315,17008,1763
vs Paris S-G,33,36.5,38.0,19397,2619,7615,8113,3909,586,19395,700,407,58.1,293,41.9,10644,58026,30153,625,446,142,547,316,12034,1057
vs Reims,29,55.2,38.0,25081,1969,7105,12184,6034,809,25073,645,369,57.2,276,42.8,15095,84079,45801,840,660,148,586,380,17332,1608
vs Rennes,32,40.5,38.0,20654,2339,7327,9637,3946,549,20650,564,330,58.5,234,41.5,11863,59268,29871,513,373,120,604,353,12687,1180
vs Saint-Étienne,40,51.7,38.0,23358,2227,7293,11224,5069,682,23349,700,374,53.4,326,46.6,12842,66780,34106,588,449,130,686,390,14746,1489
vs Strasbourg,26,54.4,38.0,24606,2033,7019,12767,5033,660,24598,615,335,54.5,280,45.5,14261,75754,40503,734,521,131,606,353,16588,1572
