Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Angers,30,38.0,619,370,301,253,65,284,659,43.1,375,384,99,285,423,1042,631,9
Bordeaux,39,38.0,642,377,321,243,78,323,741,43.6,418,357,104,253,454,1096,688,19
Brest,25,38.0,682,400,342,249,91,310,655,47.3,345,369,108,261,469,1151,707,4
Clermont Foot,28,38.0,622,361,285,262,75,291,665,43.8,374,372,99,273,386,1008,527,9
Lens,28,38.0,591,359,273,243,75,266,602,44.2,336,360,99,261,455,1046,616,7
Lille,26,38.0,653,359,310,274,69,305,619,49.3,314,351,111,240,377,1030,672,6
Lorient,29,38.0,696,412,337,292,67,383,811,47.2,428,405,115,290,412,1108,776,9
Lyon,30,38.0,632,367,264,270,98,279,614,45.4,335,385,91,294,396,1028,621,17
Marseille,27,38.0,556,319,252,238,66,232,501,46.3,269,263,65,198,327,883,437,10
Metz,36,38.0,711,442,395,275,41,300,649,46.2,349,452,139,313,507,1218,782,11
Monaco,27,38.0,745,435,292,368,85,324,701,46.2,377,378,103,275,424,1169,487,10
Montpellier,27,38.0,625,380,340,210,75,309,723,42.7,414,363,134,229,356,981,675,13
Nantes,26,38.0,685,405,331,262,92,353,774,45.6,421,419,136,283,415,1100,680,9
Nice,27,38.0,610,369,291,253,66,314,590,53.2,276,392,119,273,441,1051,595,7
Paris S-G,36,38.0,607,360,229,276,102,290,599,48.4,309,330,106,224,303,910,437,14
Reims,35,38.0,615,365,328,221,66,286,629,45.5,343,460,154,306,493,1108,753,7
Rennes,28,38.0,546,318,234,215,97,261,550,47.5,289,347,92,255,315,861,646,12
Saint-Étienne,39,38.0,695,397,341,265,89,295,638,46.2,343,398,93,305,452,1147,563,10
Strasbourg,26,38.0,660,392,302,257,101,293,626,46.8,333,380,93,287,433,1093,563,6
Troyes,35,38.0,636,351,351,221,64,285,625,45.6,340,375,107,268,430,1066,656,8
