Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Angers,30,38.0,760,20.0,539,82,37,37,48,17,92,2.42,68,6,5,6,7,0
vs Bordeaux,39,38.0,909,23.92,658,74,64,53,44,16,157,4.13,118,8,9,9,10,3
vs Brest,25,38.0,877,23.08,636,75,63,49,44,10,96,2.53,53,8,14,15,6,0
vs Clermont Foot,28,38.0,777,20.45,540,75,50,53,39,20,117,3.08,75,11,9,10,11,1
vs Lens,28,38.0,698,18.37,506,50,51,43,34,14,79,2.08,57,3,4,9,5,1
vs Lille,26,38.0,766,20.16,545,76,38,49,46,12,79,2.08,55,7,3,7,7,0
vs Lorient,29,38.0,814,21.42,567,82,70,33,51,11,107,2.82,69,6,12,8,11,1
vs Lyon,30,38.0,797,20.97,563,75,44,60,31,24,78,2.05,55,6,3,7,4,3
vs Marseille,27,38.0,572,15.05,396,59,34,30,33,20,63,1.66,44,9,1,4,3,2
vs Metz,36,38.0,952,25.05,658,101,57,68,52,16,110,2.89,76,7,12,8,6,1
vs Monaco,27,38.0,718,18.89,508,63,54,36,39,18,70,1.84,43,4,8,5,9,1
vs Montpellier,27,38.0,1062,27.95,804,60,83,55,46,14,107,2.82,79,3,10,7,7,1
vs Nantes,26,38.0,825,21.71,572,72,59,63,45,14,84,2.21,57,6,7,10,3,1
vs Nice,27,38.0,763,20.08,566,74,26,48,41,8,63,1.66,43,4,3,6,7,0
vs Paris S-G,36,38.0,690,18.16,516,52,37,38,28,19,57,1.5,48,2,1,3,2,1
vs Reims,35,38.0,885,23.29,658,68,50,63,36,10,76,2.0,47,6,4,13,6,0
vs Rennes,28,38.0,619,16.29,451,59,33,36,29,11,68,1.79,53,1,3,7,3,1
vs Saint-Étienne,39,38.0,824,21.68,591,76,43,52,49,13,134,3.53,99,11,7,3,14,0
vs Strasbourg,26,38.0,718,18.89,508,78,38,38,41,15,73,1.92,53,5,4,5,5,1
vs Troyes,35,38.0,810,21.32,613,62,38,43,42,12,90,2.37,63,4,4,8,11,0
