Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Angers,3,38.0,44,9,0,5,3,44.7,0.28,3.7,0.1,177,441,40.1,869,164,34.5,33.1,268,52.6,40.5,440,19,4.3,40,1.05,15.4
vs Bordeaux,2,38.0,52,2,0,8,2,43.0,0.26,-7.0,-0.19,131,402,32.6,823,190,33.7,33.3,272,46.0,39.1,458,28,6.1,46,1.21,14.9
vs Brest,1,38.0,49,7,1,7,1,44.6,0.25,-3.4,-0.09,116,315,36.8,842,202,24.8,29.5,268,39.6,37.3,538,22,4.1,38,1.0,13.9
vs Clermont Foot,2,38.0,38,2,0,5,2,40.1,0.28,4.1,0.11,153,406,37.7,908,187,30.2,31.1,292,45.2,38.4,541,30,5.5,43,1.13,15.4
vs Lens,2,38.0,62,5,2,6,2,52.1,0.26,-7.9,-0.21,174,501,34.7,970,199,33.6,33.2,292,59.9,45.3,519,23,4.4,61,1.61,16.3
vs Lille,2,38.0,48,4,0,5,3,45.4,0.27,0.4,0.01,186,550,33.8,841,171,39.8,35.3,314,68.5,48.2,491,25,5.1,47,1.24,16.5
vs Lorient,2,38.0,35,3,1,3,0,34.2,0.21,-0.8,-0.02,170,378,45.0,889,187,27.1,29.9,273,50.2,40.0,440,24,5.5,74,1.95,17.2
vs Lyon,2,38.0,66,8,0,6,2,63.8,0.29,-0.2,-0.01,201,517,38.9,906,172,38.7,34.2,286,58.0,43.7,455,24,5.3,48,1.26,15.5
vs Marseille,2,38.0,63,10,2,9,2,55.5,0.28,-5.5,-0.15,152,415,36.6,679,144,38.4,34.9,323,47.7,39.8,494,24,4.9,39,1.03,14.0
vs Metz,2,38.0,35,1,2,7,2,31.9,0.27,-1.1,-0.03,112,300,37.3,930,213,23.0,28.9,231,37.2,35.9,454,30,6.6,47,1.24,15.8
vs Monaco,1,38.0,65,9,1,2,3,59.4,0.31,-2.6,-0.07,179,581,30.8,986,229,38.4,35.0,309,65.4,48.0,566,43,7.6,48,1.26,14.8
vs Montpellier,2,38.0,49,3,3,5,1,46.9,0.28,-1.1,-0.03,194,494,39.3,865,202,36.8,34.5,280,62.9,46.0,539,21,3.9,59,1.55,16.0
vs Nantes,1,38.0,55,5,3,7,2,41.3,0.25,-11.7,-0.31,155,466,33.3,986,170,32.3,31.6,272,54.4,42.5,555,25,4.5,54,1.42,17.0
vs Nice,2,38.0,52,8,2,5,0,49.2,0.28,-2.8,-0.07,177,489,36.2,832,172,34.6,33.8,330,60.9,44.8,597,35,5.9,33,0.87,13.6
vs Paris S-G,4,38.0,90,7,0,9,2,74.8,0.33,-13.2,-0.35,153,398,38.4,699,154,35.8,33.9,317,46.7,40.1,356,27,7.6,25,0.66,12.4
vs Reims,1,38.0,43,4,0,5,1,39.2,0.24,-2.8,-0.07,175,412,42.5,1016,198,29.1,30.7,264,43.9,37.2,489,30,6.1,54,1.42,16.0
vs Rennes,3,38.0,82,4,1,12,1,64.0,0.31,-17.0,-0.45,222,569,39.0,864,156,41.2,35.2,342,62.3,46.3,538,20,3.7,29,0.76,13.5
vs Saint-Étienne,3,38.0,42,5,1,11,1,38.7,0.23,-2.3,-0.06,198,517,38.3,850,185,38.6,35.0,309,61.2,44.4,523,31,5.9,32,0.84,12.1
vs Strasbourg,2,38.0,60,6,1,6,4,54.1,0.31,-1.9,-0.05,200,597,33.5,1080,204,36.0,35.0,313,66.5,48.2,635,26,4.1,56,1.47,15.6
vs Troyes,2,38.0,37,6,0,6,2,40.2,0.27,5.2,0.14,114,299,38.1,872,178,24.5,29.4,249,34.1,34.6,562,38,6.8,58,1.53,15.4
