Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Angers,3,38,38,3420,38.0,44,1.16,132,91,73.5,17,11,10,11,28.9,9,9,0,0,0.0
vs Bordeaux,2,38,38,3420,38.0,52,1.37,149,97,66.4,19,13,6,12,31.6,4,2,2,0,50.0
vs Brest,1,38,38,3417,38.0,49,1.29,146,97,71.2,16,9,13,7,18.4,8,7,1,0,12.5
vs Clermont Foot,2,38,38,3420,38.0,38,1.0,137,100,73.7,20,9,9,12,31.6,3,2,1,0,33.3
vs Lens,2,38,38,3420,38.0,62,1.63,188,128,69.7,10,11,17,8,21.1,5,5,0,0,0.0
vs Lille,2,38,38,3420,38.0,48,1.26,155,109,71.6,11,13,14,9,23.7,5,4,1,0,20.0
vs Lorient,2,38,38,3420,38.0,35,0.92,149,114,78.5,18,12,8,13,34.2,3,3,0,0,0.0
vs Lyon,2,38,38,3420,38.0,66,1.74,200,136,71.0,10,11,17,5,13.2,8,8,0,0,0.0
vs Marseille,2,38,38,3420,38.0,63,1.66,167,106,68.3,9,8,21,8,21.1,10,10,0,0,0.0
vs Metz,2,38,38,3420,38.0,35,0.92,113,80,69.9,19,13,6,16,42.1,1,1,0,0,0.0
vs Monaco,1,38,38,3417,38.0,65,1.71,162,100,65.4,9,9,20,10,26.3,9,9,0,0,0.0
vs Montpellier,2,38,38,3420,38.0,49,1.29,155,106,70.3,19,7,12,12,31.6,4,3,1,0,25.0
vs Nantes,1,38,38,3415,38.0,55,1.45,150,97,66.7,13,10,15,10,26.3,5,5,0,0,0.0
vs Nice,2,38,38,3420,38.0,52,1.37,152,100,71.1,11,7,20,13,34.2,10,8,0,2,0.0
vs Paris S-G,4,38,38,3420,38.0,90,2.37,210,121,60.5,4,8,26,5,13.2,8,7,1,0,12.5
vs Reims,1,38,38,3420,38.0,43,1.13,143,99,72.7,14,13,11,13,34.2,6,4,2,0,33.3
vs Rennes,3,38,38,3420,38.0,82,2.16,198,117,60.6,12,6,20,5,13.2,4,4,0,0,0.0
vs Saint-Étienne,3,38,38,3418,38.0,42,1.11,146,105,74.7,20,11,7,9,23.7,5,5,0,0,0.0
vs Strasbourg,2,38,38,3420,38.0,60,1.58,157,100,65.6,9,12,17,7,18.4,8,6,1,1,14.3
vs Troyes,2,38,38,3420,38.0,37,0.97,127,91,75.6,18,11,9,9,23.7,7,6,1,0,14.3
