Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Angers,30,38.0,18797,16901,1850,548,30,147,572,717,186,60,81,2,15307,46,292
Bordeaux,39,38.0,17385,15441,1886,464,52,176,611,815,150,80,47,1,13552,58,315
Brest,25,38.0,16506,14535,1924,484,20,156,710,846,171,95,56,0,12684,47,288
Clermont Foot,28,38.0,19560,17599,1908,526,28,156,713,828,179,76,60,1,15713,53,332
Lens,28,38.0,20178,18428,1692,388,51,172,699,718,213,70,106,0,16573,58,295
Lille,26,38.0,18926,16958,1879,471,47,186,621,828,201,79,90,0,15086,89,354
Lorient,29,38.0,16818,14950,1813,441,40,163,588,803,162,63,55,2,13156,55,291
Lyon,30,38.0,23388,21522,1804,491,95,139,571,782,188,85,60,2,19787,62,313
Marseille,27,38.0,24524,22709,1755,538,57,176,619,692,217,100,81,0,21253,60,306
Metz,36,38.0,15688,13854,1786,476,34,137,581,729,142,43,76,0,12069,48,299
Monaco,27,38.0,20559,18632,1833,448,77,150,705,805,220,99,78,0,16300,94,331
Montpellier,27,38.0,17804,15757,1994,484,36,155,697,868,178,62,74,2,13951,53,313
Nantes,26,38.0,16481,14568,1858,422,20,140,731,864,198,75,97,1,12580,55,280
Nice,27,38.0,19832,18037,1742,440,37,101,742,766,196,94,75,1,16159,53,305
Paris S-G,36,38.0,26660,24940,1627,488,94,170,459,623,201,80,34,2,23831,93,278
Reims,35,38.0,15811,13914,1821,498,14,181,629,780,166,63,77,1,12097,76,315
Rennes,28,38.0,21263,19478,1726,436,41,199,698,766,222,61,132,0,17605,59,308
Saint-Étienne,39,38.0,17876,15857,1968,520,39,214,697,868,178,82,65,3,13880,51,329
Strasbourg,26,38.0,18653,16798,1794,449,47,212,797,807,180,37,121,2,14576,61,296
Troyes,35,38.0,16828,14916,1859,534,26,163,708,750,161,113,35,0,13093,53,313
