Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Angers,30,38.0,52,426,150,35.2,11.21,3.95,0.11,0.31,17.9,21,5,5,50.0,46.2,0.11,2.0,0.8
vs Bordeaux,39,38.0,88,513,185,36.1,13.5,4.87,0.16,0.44,18.0,19,7,9,66.8,59.7,0.12,21.2,21.3
vs Brest,25,38.0,55,490,166,33.9,12.89,4.37,0.1,0.31,17.4,16,4,4,56.3,53.1,0.11,-1.3,-2.1
vs Clermont Foot,28,38.0,66,435,160,36.8,11.45,4.21,0.14,0.38,16.8,10,5,5,52.4,48.4,0.12,13.6,12.6
vs Lens,28,38.0,48,408,140,34.3,10.74,3.68,0.11,0.31,18.9,16,4,5,42.7,38.7,0.1,5.3,5.3
vs Lille,26,38.0,46,442,145,32.8,11.63,3.82,0.09,0.28,18.9,20,6,6,39.9,35.4,0.08,6.1,4.6
vs Lorient,29,38.0,60,459,143,31.2,12.08,3.76,0.12,0.38,17.6,17,5,6,50.5,45.8,0.1,9.5,9.2
vs Lyon,30,38.0,48,456,165,36.2,12.0,4.34,0.09,0.25,17.9,14,7,8,54.6,48.2,0.11,-6.6,-7.2
vs Marseille,27,38.0,37,328,108,32.9,8.63,2.84,0.1,0.31,18.0,17,4,4,39.0,35.9,0.11,-2.0,-2.9
vs Metz,36,38.0,67,558,173,31.0,14.68,4.55,0.11,0.36,17.5,18,5,5,62.5,58.6,0.11,4.5,3.4
vs Monaco,27,38.0,37,409,133,32.5,10.76,3.5,0.07,0.22,18.7,16,8,9,40.3,33.4,0.08,-3.3,-4.4
vs Montpellier,27,38.0,60,596,209,35.1,15.68,5.5,0.09,0.26,18.8,19,5,6,57.1,52.4,0.09,2.9,2.6
vs Nantes,26,38.0,47,468,148,31.6,12.32,3.89,0.09,0.29,17.5,22,4,7,52.7,47.3,0.1,-5.7,-4.3
vs Nice,27,38.0,36,429,141,32.9,11.29,3.71,0.07,0.23,18.0,15,4,5,42.5,38.5,0.09,-6.5,-6.5
vs Paris S-G,36,38.0,35,408,139,34.1,10.74,3.66,0.08,0.23,19.1,12,3,3,39.8,37.4,0.09,-4.8,-5.4
vs Reims,35,38.0,44,506,155,30.6,13.32,4.08,0.08,0.25,18.8,22,5,7,46.4,40.9,0.08,-2.4,-1.9
vs Rennes,28,38.0,39,350,100,28.6,9.21,2.63,0.1,0.34,17.4,14,5,6,42.9,38.3,0.11,-3.9,-4.3
vs Saint-Étienne,39,38.0,73,452,181,40.0,11.89,4.76,0.14,0.36,16.8,21,8,8,58.3,52.1,0.12,14.7,12.9
vs Strasbourg,26,38.0,42,409,127,31.1,10.76,3.34,0.09,0.3,17.9,17,4,4,43.5,40.4,0.1,-1.5,-2.4
vs Troyes,35,38.0,51,452,149,33.0,11.89,3.92,0.09,0.28,18.4,23,10,10,50.8,42.9,0.1,0.2,-1.9
