Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Brest,2,34,34,3057,34.0,34,1.0,133,98,75.9,17,10,7,15,44.1,3,2,1,0,33.3
Clermont Foot,2,34,34,3060,34.0,60,1.76,212,152,75.0,5,10,19,5,14.7,9,7,1,1,12.5
Le Havre,2,34,34,3060,34.0,45,1.32,158,114,72.8,7,11,16,7,20.6,4,2,1,1,33.3
Lens,2,34,34,3060,34.0,37,1.09,138,101,77.5,14,9,11,14,41.2,8,6,1,1,14.3
Lille,2,34,34,3060,34.0,34,1.0,128,94,75.8,16,11,7,15,44.1,5,3,2,0,40.0
Lorient,1,34,34,3060,34.0,66,1.94,207,142,72.0,7,8,19,4,11.8,8,8,0,0,0.0
Lyon,2,34,34,3060,34.0,55,1.62,169,114,69.8,16,5,13,10,29.4,6,4,1,1,20.0
Marseille,2,34,34,3060,34.0,41,1.21,130,90,70.8,13,11,10,7,20.6,3,3,0,0,0.0
Metz,2,34,34,3060,34.0,58,1.71,188,130,72.3,8,5,21,6,17.6,6,6,0,0,0.0
Monaco,2,34,34,3060,34.0,42,1.24,151,110,75.5,20,7,7,12,35.3,6,5,1,0,16.7
Montpellier,2,34,34,3060,34.0,48,1.41,171,125,74.3,10,12,12,10,29.4,5,4,1,0,20.0
Nantes,3,34,34,3060,34.0,55,1.62,156,101,70.5,9,6,19,8,23.5,10,9,0,1,0.0
Nice,1,34,34,3060,34.0,29,0.85,105,74,77.1,15,10,9,17,50.0,8,5,3,0,37.5
Paris S-G,3,34,34,3058,34.0,33,0.97,147,113,80.3,22,10,2,12,35.3,5,4,1,0,20.0
Reims,1,34,34,3060,34.0,47,1.38,137,90,70.1,13,8,13,8,23.5,7,6,1,0,14.3
Rennes,1,34,34,3060,34.0,46,1.35,147,104,70.7,12,10,12,7,20.6,3,3,0,0,0.0
Strasbourg,2,34,34,3060,34.0,50,1.47,125,77,63.2,10,9,15,5,14.7,5,4,1,0,20.0
Toulouse,1,34,34,3060,34.0,46,1.35,139,93,69.8,11,10,13,6,17.6,4,4,0,0,0.0
