Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Angers,30,25.9,34,3060,90,100,34.0,374,81,218,151,20,155,1.76,53,32,21,0.62,57.8,36.0,21.8,0.64
vs Auxerre,29,25.9,34,3060,90,100,34.0,374,83,214,158,20,148,1.5,51,48,3,0.09,58.6,41.0,17.6,0.52
vs Brest,30,25.7,34,3060,90,100,34.0,374,82,225,150,19,155,1.38,59,52,7,0.21,57.4,45.4,12.0,0.35
vs Le Havre,31,25.9,34,3060,90,100,34.0,374,82,217,153,20,153,1.88,71,40,31,0.91,62.8,41.4,21.4,0.63
vs Lens,33,25.9,34,3060,90,100,34.0,374,81,233,140,19,165,1.26,39,42,-3,-0.09,45.3,51.8,-6.5,-0.19
vs Lille,27,25.9,34,3060,90,100,34.0,374,82,216,152,19,152,0.97,36,52,-16,-0.47,42.5,54.7,-12.2,-0.36
vs Lyon,31,25.7,34,3060,90,100,34.0,374,83,217,156,17,146,1.15,46,65,-19,-0.56,45.7,60.3,-14.6,-0.43
vs Marseille,32,25.9,34,3060,90,100,34.0,374,81,229,143,18,161,0.94,47,74,-27,-0.79,45.2,63.8,-18.6,-0.55
vs Monaco,28,26.1,34,3060,90,100,34.0,374,82,231,140,19,166,1.0,41,63,-22,-0.65,34.8,72.8,-38.0,-1.12
vs Montpellier,35,25.7,34,3060,90,100,34.0,374,81,221,153,18,153,2.41,79,23,56,1.65,63.3,33.5,29.9,0.88
vs Nantes,30,25.6,34,3060,90,100,34.0,374,83,236,136,20,169,1.59,52,39,13,0.38,55.5,39.1,16.4,0.48
vs Nice,31,25.8,34,3060,90,100,34.0,374,83,221,150,21,154,0.97,41,66,-25,-0.74,40.2,61.6,-21.4,-0.63
vs Paris S-G,28,25.8,34,3060,90,100,34.0,374,81,220,153,18,153,0.35,35,92,-57,-1.68,31.2,88.9,-57.7,-1.7
vs Reims,34,25.9,34,3060,90,100,34.0,374,82,226,145,19,159,1.76,47,33,14,0.41,57.4,37.4,19.9,0.59
vs Rennes,35,25.8,34,3060,90,100,34.0,374,82,224,149,19,153,1.74,50,51,-1,-0.03,46.0,48.6,-2.6,-0.08
vs Saint-Étienne,32,25.8,34,3060,90,100,34.0,374,82,222,154,20,149,1.94,77,39,38,1.12,74.3,36.4,37.9,1.12
vs Strasbourg,30,25.9,34,3060,90,100,34.0,374,84,231,142,18,163,1.06,44,56,-12,-0.35,56.1,49.3,6.9,0.2
vs Toulouse,27,25.8,34,3060,90,100,34.0,374,83,218,155,19,149,1.5,43,44,-1,-0.03,36.8,49.1,-12.4,-0.36
