Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arminia,1,34.0,52,5,0,5,1,54.1,0.29,3.1,0.09,436,938,46.5,1698,121,45.9,38.6,250,63.2,49.1,525,17,3.2,44,1.29,16.8
Augsburg,1,34.0,54,6,0,2,3,53.2,0.26,2.2,0.07,193,565,34.2,1087,214,36.6,34.1,297,56.2,44.7,619,33,5.3,36,1.06,16.0
Bayern Munich,2,34.0,44,1,0,6,0,45.4,0.35,1.4,0.04,124,259,47.9,1159,190,20.3,28.8,194,12.4,26.9,361,6,1.7,105,3.09,23.6
Dortmund,2,34.0,46,6,0,7,1,43.4,0.28,-1.6,-0.05,137,321,42.7,945,179,24.3,29.5,233,39.1,37.3,363,12,3.3,21,0.62,16.3
Eint Frankfurt,2,34.0,53,4,1,5,2,45.4,0.26,-5.6,-0.17,226,591,38.2,1118,172,41.3,34.4,278,46.4,40.9,473,15,3.2,53,1.56,15.7
Freiburg,2,34.0,52,4,2,3,2,52.6,0.28,2.6,0.08,194,615,31.5,1156,161,34.2,37.1,298,73.8,55.9,464,7,1.5,38,1.12,11.9
Gladbach,2,34.0,56,6,0,6,0,45.0,0.26,-11.0,-0.32,145,373,38.9,1124,133,25.3,28.7,258,34.5,33.3,468,8,1.7,35,1.03,16.5
Hertha BSC,2,34.0,52,7,1,4,1,46.9,0.28,-4.1,-0.12,181,429,42.2,905,155,30.2,38.7,293,53.2,43.6,497,12,2.4,22,0.65,12.0
Hoffenheim,2,34.0,54,6,1,4,2,53.5,0.32,1.5,0.04,143,427,33.5,1232,195,28.7,26.5,224,33.0,31.2,443,14,3.2,56,1.65,22.0
Köln,2,34.0,60,8,1,5,0,54.9,0.29,-5.1,-0.15,240,541,44.4,1102,124,40.2,35.5,252,38.9,34.5,484,15,3.1,30,0.88,15.2
Leverkusen,3,34.0,39,1,1,0,2,37.9,0.33,0.9,0.03,162,454,35.7,1377,219,28.2,31.5,232,28.0,30.0,378,21,5.6,67,1.97,18.2
Mainz 05,2,34.0,56,6,1,4,1,49.5,0.27,-5.5,-0.16,136,472,28.8,883,215,37.3,35.4,277,51.6,43.8,519,35,6.7,41,1.21,14.5
RB Leipzig,2,34.0,32,3,0,2,0,27.7,0.3,-4.3,-0.13,99,235,42.1,1047,176,19.6,27.7,174,17.2,25.3,328,15,4.6,67,1.97,19.7
Schalke 04,3,34.0,86,7,1,17,5,69.8,0.28,-11.2,-0.33,146,500,29.2,969,194,33.1,33.5,304,58.9,43.4,548,20,3.6,38,1.12,12.6
Stuttgart,2,34.0,55,5,1,3,1,55.3,0.3,1.3,0.04,128,325,39.4,970,213,27.6,29.4,289,19.7,25.2,490,18,3.7,42,1.24,8.8
Union Berlin,2,34.0,43,4,0,5,2,40.7,0.27,-0.3,-0.01,197,528,37.3,1000,117,38.2,40.4,236,61.9,43.8,423,20,4.7,21,0.62,8.6
Werder Bremen,1,34.0,57,4,0,7,3,48.7,0.28,-5.3,-0.16,211,461,45.8,863,168,37.9,33.9,281,47.7,40.8,567,17,3.0,30,0.88,14.4
Wolfsburg,2,34.0,37,3,1,4,1,36.1,0.26,0.1,0.0,202,490,41.2,1101,171,32.0,32.6,220,62.7,48.4,485,25,5.2,57,1.68,17.3
