Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Arminia,26,34.0,20180,18429,1675,418,19,157,713,786,186,86,68,1,16172,76,331
vs Augsburg,25,34.0,20111,18291,1727,433,20,131,846,804,186,68,89,2,16032,93,356
vs Bayern Munich,29,34.0,14425,12726,1596,369,38,132,451,632,119,50,41,0,10814,103,338
vs Dortmund,26,34.0,15088,13550,1497,406,14,113,456,579,127,50,48,3,11643,41,310
vs Eint Frankfurt,25,34.0,15827,13975,1773,506,23,149,599,713,160,75,64,0,11768,79,335
vs Freiburg,24,34.0,17984,16318,1625,461,16,119,604,693,151,65,68,0,14286,41,291
vs Gladbach,23,34.0,17721,16050,1603,457,18,92,607,680,140,57,60,0,13907,68,342
vs Hertha BSC,32,34.0,16634,14896,1695,516,16,140,640,707,160,70,64,1,12941,43,350
vs Hoffenheim,30,34.0,17328,15536,1682,458,27,139,579,715,159,49,70,0,13485,110,321
vs Köln,28,34.0,18677,16928,1696,448,20,117,616,784,159,70,67,0,14912,53,323
vs Leverkusen,30,34.0,14689,13044,1576,481,19,91,500,623,121,57,49,0,10912,69,322
vs Mainz 05,31,34.0,20270,18410,1808,527,15,130,652,807,162,64,70,0,16142,52,347
vs RB Leipzig,25,34.0,14505,12704,1725,494,11,87,440,700,123,61,46,0,10611,76,309
vs Schalke 04,42,34.0,18465,16697,1690,454,31,117,681,780,204,81,87,0,14720,78,334
vs Stuttgart,29,34.0,16812,15135,1633,451,13,98,660,681,162,68,70,0,12966,44,322
vs Union Berlin,27,34.0,19632,17834,1749,500,14,126,531,771,141,54,70,0,15603,49,315
vs Werder Bremen,27,34.0,19910,18159,1670,438,13,148,740,778,170,71,59,0,15964,81,324
vs Wolfsburg,26,34.0,16502,14533,1914,497,18,135,610,868,178,83,75,1,12302,55,427
