Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Arminia,26,26.0,34,3060,90,100,34.0,374,83,227,147,17,157,1.03,26,52,-26,-0.76,32.9,56.8,-23.9,-0.7
Augsburg,25,27.0,34,3060,90,100,34.0,374,82,231,141,21,159,1.06,36,54,-18,-0.53,37.3,57.3,-20.0,-0.59
Bayern Munich,29,27.3,34,3060,90,100,34.0,374,82,237,137,21,163,2.29,99,44,55,1.62,75.9,40.2,35.8,1.05
Dortmund,26,25.6,34,3060,90,100,34.0,374,83,234,139,19,163,1.88,75,46,29,0.85,66.2,41.6,24.6,0.72
Eint Frankfurt,25,27.2,34,3060,90,100,34.0,374,84,238,136,18,165,1.76,69,53,16,0.47,58.5,46.9,11.6,0.34
Freiburg,24,26.2,34,3060,90,100,34.0,374,82,223,152,19,151,1.32,52,52,0,0.0,45.5,52.4,-6.9,-0.2
Gladbach,23,26.9,34,3060,90,100,34.0,374,83,230,142,18,159,1.44,64,56,8,0.24,54.9,45.7,9.2,0.27
Hertha BSC,32,25.4,34,3060,90,100,34.0,374,81,227,149,22,157,1.03,41,52,-11,-0.32,41.9,47.4,-5.6,-0.16
Hoffenheim,30,25.7,34,3060,90,100,34.0,374,83,241,130,21,166,1.26,52,54,-2,-0.06,51.9,53.1,-1.2,-0.04
Köln,28,24.9,34,3060,90,100,34.0,374,82,225,148,20,157,0.97,34,60,-26,-0.76,40.5,53.6,-13.0,-0.38
Leverkusen,30,25.4,34,3060,90,100,34.0,374,83,253,123,23,174,1.53,53,39,14,0.41,46.3,39.2,7.1,0.21
Mainz 05,31,25.8,34,3060,90,100,34.0,374,83,223,150,18,152,1.15,39,56,-17,-0.5,49.9,52.1,-2.2,-0.06
RB Leipzig,25,25.0,34,3060,90,100,34.0,374,81,222,154,22,143,1.91,60,32,28,0.82,64.4,29.4,35.0,1.03
Schalke 04,42,25.9,34,3060,90,100,34.0,374,83,257,117,23,181,0.47,25,86,-61,-1.79,28.7,69.2,-40.5,-1.19
Stuttgart,29,24.1,34,3060,90,100,34.0,374,81,217,156,21,150,1.32,56,55,1,0.03,51.4,52.1,-0.8,-0.02
Union Berlin,27,27.3,34,3060,90,100,34.0,374,82,227,146,19,150,1.47,50,43,7,0.21,46.9,42.8,4.1,0.12
Werder Bremen,27,26.3,34,3060,90,100,34.0,374,82,231,144,20,162,0.91,36,57,-21,-0.62,32.9,53.2,-20.3,-0.6
Wolfsburg,26,25.6,34,3060,90,100,34.0,374,85,243,128,15,173,1.79,61,37,24,0.71,49.0,42.1,6.9,0.2
