Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Arminia,26,25.9,57.8,34,374,3060,34.0,51,36,87,46,5,6,63,2,56.8,52.1,40.6,92.7,597,1706,1.5,1.06,2.56,1.35,2.41,1.67,1.19,2.86,1.53,2.73
vs Augsburg,25,26.0,58.7,34,374,3060,34.0,51,37,88,45,6,9,54,1,57.3,50.3,38.9,89.3,698,1675,1.5,1.09,2.59,1.32,2.41,1.68,1.15,2.83,1.48,2.63
vs Bayern Munich,29,25.9,38.9,34,374,3060,34.0,44,41,85,43,1,3,50,0,40.2,37.8,32.5,70.3,476,1028,1.29,1.21,2.5,1.26,2.47,1.18,0.95,2.14,1.11,2.07
vs Dortmund,26,26.0,40.2,34,374,3060,34.0,45,33,78,39,6,6,62,1,41.6,36.9,26.7,63.7,534,1113,1.32,0.97,2.29,1.15,2.12,1.22,0.79,2.01,1.09,1.87
vs Eint Frankfurt,25,25.8,46.0,34,374,3060,34.0,51,40,91,47,4,6,64,0,46.9,42.1,33.3,75.4,598,1251,1.5,1.18,2.68,1.38,2.56,1.38,0.98,2.36,1.24,2.22
vs Freiburg,24,26.0,53.0,34,374,3060,34.0,50,35,85,46,4,6,54,0,52.4,47.7,36.0,83.8,670,1269,1.47,1.03,2.5,1.35,2.38,1.54,1.06,2.6,1.4,2.46
vs Gladbach,23,25.6,48.1,34,374,3060,34.0,56,44,100,50,6,6,75,3,45.7,41.1,31.3,72.4,511,1269,1.65,1.29,2.94,1.47,2.76,1.35,0.92,2.27,1.21,2.13
vs Hertha BSC,32,26.1,50.6,34,374,3060,34.0,51,35,86,44,7,8,68,3,47.4,41.1,32.9,74.1,588,1403,1.5,1.03,2.53,1.29,2.32,1.4,0.97,2.36,1.21,2.18
vs Hoffenheim,30,26.0,48.9,34,374,3060,34.0,52,38,90,46,6,9,47,2,53.1,46.4,36.6,82.9,587,1344,1.53,1.12,2.65,1.35,2.47,1.56,1.08,2.64,1.36,2.44
vs Köln,28,26.2,53.7,34,374,3060,34.0,60,43,103,52,8,9,67,0,53.6,46.5,38.9,85.4,551,1482,1.76,1.26,3.03,1.53,2.79,1.58,1.15,2.72,1.37,2.51
vs Leverkusen,30,25.9,40.1,34,374,3060,34.0,37,27,64,36,1,2,50,3,39.2,37.6,28.7,66.3,501,1033,1.09,0.79,1.88,1.06,1.85,1.15,0.84,2.0,1.1,1.95
vs Mainz 05,31,25.9,59.5,34,374,3060,34.0,55,35,90,49,6,7,73,4,52.1,46.9,37.6,84.4,594,1510,1.62,1.03,2.65,1.44,2.47,1.53,1.1,2.64,1.38,2.48
vs RB Leipzig,25,26.1,40.0,34,374,3060,34.0,32,27,59,29,3,3,64,2,29.4,27.0,21.7,48.8,382,873,0.94,0.79,1.74,0.85,1.65,0.86,0.64,1.5,0.8,1.43
vs Schalke 04,42,26.0,55.4,34,374,3060,34.0,81,65,146,74,7,8,59,2,69.2,63.1,51.6,114.6,641,1480,2.38,1.91,4.29,2.18,4.09,2.04,1.52,3.55,1.85,3.37
vs Stuttgart,29,26.1,48.5,34,374,3060,34.0,54,38,92,49,5,7,69,3,52.1,46.6,35.9,82.5,619,1291,1.59,1.12,2.71,1.44,2.56,1.53,1.06,2.59,1.37,2.43
vs Union Berlin,27,26.0,55.1,34,374,3060,34.0,41,31,72,37,4,5,64,2,42.8,38.7,31.1,69.8,479,1373,1.21,0.91,2.12,1.09,2.0,1.26,0.92,2.17,1.14,2.05
vs Werder Bremen,27,26.0,56.2,34,374,3060,34.0,54,41,95,50,4,6,68,3,53.2,48.4,38.9,87.3,660,1529,1.59,1.21,2.79,1.47,2.68,1.56,1.14,2.71,1.42,2.57
vs Wolfsburg,26,26.1,48.6,34,374,3060,34.0,36,27,63,33,3,5,61,2,42.1,38.2,29.0,67.2,449,1197,1.06,0.79,1.85,0.97,1.76,1.24,0.85,2.09,1.12,1.98
