Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Arminia,26,34.0,926,27.24,697,84,35,53,46,11,90,2.65,65,3,6,6,8,2
vs Augsburg,26,34.0,834,24.53,586,68,51,62,56,11,91,2.68,67,4,10,4,6,0
vs Bayern Munich,30,34.0,521,15.32,365,51,33,24,30,18,64,1.88,51,3,5,2,2,1
vs Bochum,28,34.0,787,23.15,563,77,44,54,36,13,72,2.12,47,7,3,5,7,3
vs Dortmund,33,34.0,624,18.35,423,61,35,43,43,19,85,2.5,57,4,6,10,7,1
vs Eint Frankfurt,27,34.0,739,21.74,537,71,46,48,32,5,77,2.26,52,6,4,8,6,1
vs Freiburg,26,34.0,819,24.09,591,78,36,59,43,12,75,2.21,57,5,2,5,4,2
vs Gladbach,26,34.0,773,22.74,530,89,44,56,42,12,109,3.21,80,8,6,8,6,1
vs Greuther Fürth,29,34.0,907,26.68,661,97,31,61,48,9,131,3.85,87,12,8,12,12,0
vs Hertha BSC,36,34.0,803,23.62,565,81,41,48,55,13,119,3.5,80,10,5,12,10,2
vs Hoffenheim,32,34.0,705,20.74,492,78,35,48,43,9,96,2.82,62,12,4,10,7,1
vs Köln,26,34.0,741,21.79,519,75,37,55,43,12,84,2.47,66,6,4,6,2,0
vs Leverkusen,29,34.0,781,22.97,575,71,27,62,31,15,71,2.09,50,3,2,12,3,1
vs Mainz 05,28,34.0,652,19.18,461,58,41,37,45,10,75,2.21,47,5,9,8,5,1
vs RB Leipzig,29,34.0,595,17.5,416,63,29,47,30,10,55,1.62,35,4,2,11,2,1
vs Stuttgart,34,34.0,858,25.24,622,82,50,56,32,16,104,3.06,73,8,9,10,3,1
vs Union Berlin,28,34.0,680,20.0,482,74,35,42,37,10,70,2.06,55,6,3,4,2,0
vs Wolfsburg,30,34.0,761,22.38,534,82,37,53,43,12,94,2.76,68,6,6,8,6,0
