Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Arminia,26,34.0,15867,20046,79.2,286424,107306,6804,7870,86.5,6982,8124,85.9,1685,2972,56.7,34,47.1,56.2,-13.1,392,1102,370,109,1559
vs Augsburg,26,34.0,14770,18679,79.1,266770,100941,6244,7261,86.0,6511,7603,85.6,1608,2778,57.9,40,43.3,44.0,-3.3,353,1112,313,72,1537
vs Bayern Munich,30,34.0,9519,13089,72.7,171409,76219,4271,5131,83.2,3665,4548,80.6,1194,2385,50.1,28,29.0,29.6,-1.0,219,645,193,48,918
vs Bochum,28,34.0,12790,16907,75.6,227291,92816,5654,6564,86.1,5423,6603,82.1,1325,2693,49.2,34,41.7,41.2,-7.7,350,1033,300,65,1406
vs Dortmund,33,34.0,10982,14551,75.5,202700,79392,4653,5455,85.3,4738,5649,83.9,1326,2589,51.2,32,31.5,33.3,0.5,258,788,230,62,1056
vs Eint Frankfurt,27,34.0,13117,17401,75.4,237467,94128,5571,6627,84.1,5620,6778,82.9,1513,2850,53.1,33,33.3,43.3,-0.3,319,891,299,86,1236
vs Freiburg,26,34.0,12623,16596,76.1,232846,88648,5266,6303,83.5,5575,6687,83.4,1462,2745,53.3,35,33.2,39.8,1.8,363,947,281,77,1123
vs Gladbach,26,34.0,11762,15346,76.6,212087,82572,5109,5971,85.6,4993,5889,84.8,1327,2489,53.3,46,39.4,38.7,6.6,333,826,240,70,1193
vs Greuther Fürth,29,34.0,14382,18256,78.8,265804,102041,5927,6936,85.5,6346,7396,85.8,1721,2866,60.0,56,42.4,47.9,13.6,380,1106,350,104,1501
vs Hertha BSC,36,34.0,14462,18324,78.9,262084,95707,6143,7079,86.8,6311,7321,86.2,1610,2821,57.1,44,36.9,47.7,7.1,332,1130,310,85,1500
vs Hoffenheim,32,34.0,12393,16045,77.2,227336,89547,5166,5945,86.9,5365,6337,84.7,1458,2643,55.2,46,40.4,35.9,5.6,310,830,225,69,1073
vs Köln,26,34.0,10051,14126,71.2,186990,83646,4315,5284,81.7,3964,5009,79.1,1394,2751,50.7,38,39.2,38.5,-1.2,305,768,222,60,1085
vs Leverkusen,29,34.0,12236,15822,77.3,216996,87410,5495,6366,86.3,5111,6099,83.8,1283,2409,53.3,25,28.8,34.4,-3.8,336,964,259,64,1288
vs Mainz 05,28,34.0,13243,17406,76.1,242033,87903,5557,6563,84.7,5703,6833,83.5,1559,2925,53.3,32,29.4,31.4,2.6,269,900,215,63,1190
vs RB Leipzig,29,34.0,11694,15427,75.8,206773,81117,5115,5996,85.3,4946,5904,83.8,1217,2408,50.5,23,27.9,30.0,-4.9,260,740,182,50,986
vs Stuttgart,34,34.0,13134,16993,77.3,233843,91408,5716,6683,85.5,5579,6581,84.8,1372,2683,51.1,44,40.4,46.3,3.6,372,1000,286,75,1292
vs Union Berlin,28,34.0,15211,19206,79.2,274584,99791,6456,7425,86.9,6715,7777,86.3,1621,2977,54.5,28,27.1,31.8,0.9,292,962,244,69,1280
vs Wolfsburg,30,34.0,12400,16308,76.0,221921,86002,5429,6384,85.0,5243,6292,83.3,1353,2607,51.9,39,32.2,34.7,6.8,310,972,300,77,1321
