Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Augsburg,34,34.0,66,0,0,374,410,79,708,262,302,3,5,1,1982,777,640,54.8
vs Bayern Munich,28,34.0,50,0,0,347,292,49,454,414,417,8,5,2,1887,381,471,44.7
vs Bochum,26,34.0,62,2,1,370,414,64,676,282,286,13,3,3,2036,737,770,48.9
vs Dortmund,30,34.0,79,5,3,422,309,86,476,339,439,1,6,2,1854,364,425,46.1
vs Eint Frankfurt,28,34.0,78,2,1,399,406,58,520,377,360,2,6,2,1985,555,467,54.3
vs Freiburg,27,34.0,80,5,2,440,391,44,548,287,243,5,8,0,1845,686,743,48.0
vs Gladbach,27,34.0,66,6,3,464,320,90,671,336,316,5,6,0,1903,419,415,50.2
vs Hertha BSC,32,34.0,47,1,0,412,400,76,652,299,384,2,7,0,1933,701,633,52.5
vs Hoffenheim,31,34.0,63,2,1,382,458,65,652,314,316,1,9,2,1931,557,550,50.3
vs Köln,27,34.0,64,4,1,369,386,55,598,287,305,4,4,3,1936,608,659,48.0
vs Leverkusen,27,34.0,95,1,1,433,358,62,525,334,326,6,7,0,1928,492,430,53.4
vs Mainz 05,27,34.0,72,5,3,347,454,48,599,296,298,6,6,0,2006,703,740,48.7
vs RB Leipzig,25,34.0,81,1,1,418,372,49,483,407,342,5,7,0,1879,433,440,49.6
vs Schalke 04,35,34.0,78,3,2,416,417,62,618,262,316,5,5,3,1860,739,692,51.6
vs Stuttgart,30,34.0,78,1,0,422,330,53,575,292,378,5,5,0,1865,470,547,46.2
vs Union Berlin,28,34.0,61,3,3,363,423,33,594,234,254,4,7,2,1752,755,767,49.6
vs Werder Bremen,25,34.0,66,0,0,387,408,93,629,304,290,3,6,1,2089,622,631,49.6
vs Wolfsburg,28,34.0,78,2,1,474,374,94,616,307,321,4,7,2,1885,546,525,51.0
