Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Augsburg,34,34.0,12742,10915,1769,428,30,73,548,745,166,78,81,1,8422,58,332
Bayern Munich,28,34.0,22716,21104,1528,378,78,115,603,657,229,92,106,4,19404,84,312
Bochum,26,34.0,13549,11775,1708,412,31,72,568,768,141,65,53,1,9209,66,278
Dortmund,30,34.0,19889,18132,1716,475,44,213,677,699,227,73,112,4,16445,41,376
Eint Frankfurt,28,34.0,17975,16179,1726,437,46,70,616,786,189,99,50,1,13930,70,383
Freiburg,27,34.0,15533,13934,1542,454,24,116,547,603,141,82,44,0,11653,57,307
Gladbach,27,34.0,18854,17035,1747,532,64,60,441,684,151,60,73,1,15516,72,384
Hertha BSC,32,34.0,12800,11022,1720,468,28,100,516,756,147,45,79,0,8876,58,292
Hoffenheim,31,34.0,15564,13750,1736,418,17,119,577,784,161,45,74,4,11754,78,323
Köln,27,34.0,16367,14542,1757,409,20,62,790,811,205,87,81,0,12242,68,409
Leverkusen,27,34.0,18206,16529,1626,468,59,72,461,678,139,66,49,0,14683,51,298
Mainz 05,27,34.0,14492,12764,1654,365,25,97,610,795,155,96,49,0,10075,74,356
RB Leipzig,25,34.0,20529,18813,1636,437,99,120,489,748,167,50,74,2,16911,80,400
Schalke 04,35,34.0,13360,11517,1773,445,29,62,764,786,169,79,77,4,9234,70,351
Stuttgart,30,34.0,16987,15298,1633,450,37,188,597,711,156,57,83,0,13460,56,310
Union Berlin,28,34.0,14418,12762,1594,378,26,46,708,763,165,78,60,0,10312,62,329
Werder Bremen,25,34.0,16554,14903,1586,449,39,164,514,639,109,27,53,1,12443,65,324
Wolfsburg,28,34.0,16129,14311,1768,544,38,133,568,696,153,107,38,0,12571,50,315
