Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Augsburg,34,58.3,34.0,21973,2268,7071,9769,5326,920,21969,568,247,43.5,232,40.8,12276,62096,30586,597,438,190,580,290,13659,1448
vs Bayern Munich,28,35.8,34.0,16907,2576,6902,6685,3516,545,16897,586,251,42.8,287,49.0,8570,43346,20006,354,309,89,500,336,9334,872
vs Bochum,26,53.9,34.0,19950,2379,7250,8213,4698,921,19936,714,325,45.5,310,43.4,10351,55225,28349,525,303,149,537,316,11607,1234
vs Dortmund,30,41.8,34.0,18449,2399,6827,7857,3970,644,18448,612,264,43.1,287,46.9,9359,49154,25267,452,333,126,485,293,10935,1052
vs Eint Frankfurt,28,47.1,34.0,20346,2465,7506,8958,4084,718,20344,658,320,48.6,265,40.3,11183,54759,26288,435,301,120,549,297,12192,1121
vs Freiburg,27,51.9,34.0,20454,2263,7358,8846,4448,801,20448,511,244,47.7,207,40.5,11386,59821,30624,527,382,152,475,291,12868,1210
vs Gladbach,27,46.3,34.0,19733,1984,6287,8706,4915,837,19727,600,269,44.8,267,44.5,11138,57381,29794,600,364,187,420,230,12466,1333
vs Hertha BSC,32,58.0,34.0,21919,2129,7146,9934,5053,796,21913,584,270,46.2,251,43.0,12197,61488,30902,535,411,153,554,325,13753,1314
vs Hoffenheim,31,51.7,34.0,20608,2116,6832,9102,4900,842,20605,548,238,43.4,236,43.1,11555,57257,28924,604,418,165,550,307,12765,1325
vs Köln,27,50.1,34.0,20809,2572,7931,8676,4413,695,20804,754,356,47.2,311,41.2,11381,56114,26165,470,342,121,516,305,12723,1144
vs Leverkusen,27,48.0,34.0,20578,2068,6534,9823,4414,688,20571,478,185,38.7,236,49.4,11852,58640,28581,481,374,132,515,258,13202,1246
vs Mainz 05,27,55.2,34.0,22189,2407,7587,10213,4603,679,22181,626,289,46.2,270,43.1,12526,64082,31610,595,418,116,535,277,13791,1261
vs RB Leipzig,25,41.9,34.0,18682,2193,6910,8220,3718,574,18674,581,259,44.6,253,43.5,9723,48361,23150,424,272,97,532,281,11063,993
vs Schalke 04,35,54.0,34.0,20052,2361,7071,8459,4725,820,20046,640,299,46.7,253,39.5,10241,57629,29797,577,380,179,504,289,11844,1223
vs Stuttgart,30,49.8,34.0,20700,2201,6789,9482,4622,688,20694,573,256,44.7,268,46.8,11517,58466,28309,461,355,116,488,260,13071,1212
vs Union Berlin,28,56.2,34.0,22481,1969,6688,11661,4308,688,22474,597,286,47.9,239,40.0,13570,68722,35019,525,359,109,512,255,14782,1322
vs Werder Bremen,25,50.7,34.0,20908,2043,6430,9833,4875,810,20905,706,317,44.9,300,42.5,11205,58806,27876,574,392,160,536,295,12850,1279
vs Wolfsburg,28,49.4,34.0,19549,2261,7140,8006,4591,777,19542,587,256,43.6,265,45.1,10373,51181,24817,467,326,129,488,278,12007,1153
