Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Augsburg,29,34.0,491,293,245,196,50,255,490,52.0,235,393,120,273,249,740,803,16
vs Bayern Munich,30,34.0,731,435,396,232,103,374,855,43.7,481,527,188,339,349,1080,734,8
vs Bochum,25,34.0,489,304,234,215,40,209,395,52.9,186,433,147,286,314,803,928,11
vs Darmstadt 98,32,34.0,450,270,188,205,57,220,412,53.4,192,395,117,278,221,671,578,6
vs Dortmund,32,34.0,641,376,313,249,79,312,632,49.4,320,444,126,318,336,977,673,12
vs Eint Frankfurt,34,34.0,624,370,286,257,81,326,607,53.7,281,442,108,334,312,936,692,10
vs Freiburg,25,34.0,477,281,214,186,77,237,458,51.7,221,388,101,287,244,721,718,6
vs Gladbach,27,34.0,581,358,246,233,102,261,498,52.4,237,404,105,299,286,867,552,6
vs Heidenheim,22,34.0,545,345,252,224,69,266,489,54.4,223,473,109,364,303,848,708,11
vs Hoffenheim,30,34.0,508,299,252,188,68,267,487,54.8,220,420,120,300,279,787,714,17
vs Köln,26,34.0,528,322,205,255,68,236,482,49.0,246,464,122,342,268,796,784,6
vs Leverkusen,24,34.0,661,376,365,226,70,328,676,48.5,348,472,160,312,363,1024,751,17
vs Mainz 05,30,34.0,554,315,284,215,55,269,538,50.0,269,442,146,296,276,830,896,9
vs RB Leipzig,26,34.0,570,322,282,220,68,238,560,42.5,322,433,131,302,299,869,701,11
vs Stuttgart,27,34.0,608,370,313,247,48,279,613,45.5,334,435,124,311,328,936,618,13
vs Union Berlin,30,34.0,553,343,300,193,60,260,477,54.5,217,389,106,283,282,835,724,10
vs Werder Bremen,30,34.0,525,298,236,229,60,262,515,50.9,253,382,107,275,283,808,586,11
vs Wolfsburg,28,34.0,496,300,239,199,58,235,437,53.8,202,401,103,298,274,770,631,9
