Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Augsburg,29,34.0,10545,14262,73.9,199672,80511,4147,4989,83.1,4851,5902,82.2,1272,2491,51.1,35,27.7,37.7,7.3,299,919,284,89,1137
Bayern Munich,30,34.0,19987,22946,87.1,340799,109694,9254,10094,91.7,8928,9742,91.6,1476,2208,66.8,71,65.9,72.8,5.1,506,1563,458,86,1941
Bochum,25,34.0,9786,14203,68.9,185281,85808,4234,5278,80.2,3854,5032,76.6,1393,2934,47.5,30,30.4,33.0,-0.4,371,902,265,85,1151
Darmstadt 98,32,34.0,11807,15336,77.0,223927,86971,4830,5582,86.5,5247,6139,85.5,1494,2813,53.1,21,22.8,28.9,-1.8,302,873,226,65,1083
Dortmund,32,34.0,17191,20445,84.1,300426,100507,7696,8552,90.0,7352,8202,89.6,1651,2584,63.9,49,45.6,48.0,3.4,389,1144,301,46,1452
Eint Frankfurt,34,34.0,15017,18809,79.8,260025,91225,6582,7496,87.8,6907,7959,86.8,1204,2409,50.0,36,34.1,38.5,1.9,292,1007,276,60,1305
Freiburg,25,34.0,12337,16023,77.0,223388,83596,5228,6120,85.4,5515,6445,85.6,1296,2579,50.3,32,32.4,34.7,-0.4,296,936,246,81,1208
Gladbach,27,34.0,13544,16946,79.9,232267,84618,6222,7073,88.0,5785,6704,86.3,1162,2210,52.6,43,35.5,37.3,7.5,374,801,261,83,1227
Heidenheim,22,34.0,10264,14339,71.6,206040,85936,3699,4713,78.5,4741,5858,80.9,1578,2863,55.1,34,27.5,30.0,6.5,279,730,201,73,983
Hoffenheim,30,34.0,13457,17038,79.0,240505,94518,5931,6757,87.8,5840,6864,85.1,1372,2563,53.5,47,39.9,42.6,7.1,346,1069,292,76,1359
Köln,26,34.0,11704,15411,75.9,209861,79468,4930,5779,85.3,5377,6369,84.4,1146,2378,48.2,17,27.2,30.9,-10.2,319,821,217,85,1086
Leverkusen,24,34.0,21192,24301,87.2,322890,106373,12041,12986,92.7,7316,8125,90.0,1249,1977,63.2,71,55.2,66.8,15.8,490,1716,457,72,1997
Mainz 05,30,34.0,10974,15120,72.6,201446,81453,4718,5730,82.3,4623,5826,79.4,1323,2702,49.0,31,32.0,35.2,-1.0,346,939,248,78,1169
RB Leipzig,26,34.0,16254,19590,83.0,282017,96743,6994,7859,89.0,7624,8554,89.1,1287,2207,58.3,53,47.7,52.2,5.3,404,1185,334,75,1541
Stuttgart,27,34.0,19201,22456,85.5,312129,108823,9516,10371,91.8,7721,8581,90.0,1352,2320,58.3,60,53.3,58.8,6.7,413,1338,356,80,1618
Union Berlin,30,34.0,11004,14784,74.4,204399,86273,4534,5371,84.4,4773,5802,82.3,1356,2658,51.0,23,25.0,28.4,-2.0,300,859,233,80,1146
Werder Bremen,30,34.0,12821,16418,78.1,237961,91530,5250,6169,85.1,5760,6739,85.5,1549,2676,57.9,33,35.6,38.2,-2.6,321,882,276,83,1172
Wolfsburg,28,34.0,13092,16624,78.8,232194,87396,5883,6706,87.7,5603,6605,84.8,1288,2422,53.2,27,28.5,38.6,-1.5,310,954,263,67,1235
