Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Augsburg,2,34,34,3060,34.0,51,1.5,156,107,70.5,11,10,13,11,32.4,5,5,0,0,0.0
Bayern Munich,4,34,34,3060,34.0,32,0.94,80,48,61.3,25,7,2,16,47.1,2,1,0,1,0.0
Bochum,2,34,34,3060,34.0,68,2.0,153,83,57.5,5,8,21,5,14.7,6,3,2,1,40.0
Dortmund,2,34,34,3060,34.0,51,1.5,140,89,66.4,17,6,11,7,20.6,4,4,0,0,0.0
Eint Frankfurt,2,34,34,3060,34.0,46,1.35,163,117,72.4,17,9,8,9,26.5,3,1,2,0,66.7
Freiburg,2,34,34,3060,34.0,53,1.56,150,96,66.0,16,7,11,11,32.4,4,2,2,0,50.0
Gladbach,4,34,34,3056,34.0,57,1.68,191,135,73.8,13,6,15,7,20.6,8,7,1,0,12.5
Heidenheim,2,34,34,3060,34.0,64,1.88,171,107,66.1,8,5,21,9,26.5,6,6,0,0,0.0
Hoffenheim,2,34,34,3060,34.0,68,2.0,173,105,62.4,7,11,16,4,11.8,6,3,3,0,50.0
Holstein Kiel,2,34,34,3060,34.0,80,2.35,195,117,62.1,6,7,21,2,5.9,7,6,1,0,14.3
Leverkusen,2,34,34,3060,34.0,43,1.26,134,95,70.9,19,12,3,9,26.5,4,4,0,0,0.0
Mainz 05,2,34,34,3060,34.0,43,1.26,150,106,74.0,14,10,10,9,26.5,5,4,1,0,20.0
RB Leipzig,2,34,34,3060,34.0,48,1.41,158,109,70.9,13,12,9,14,41.2,3,2,1,0,33.3
St. Pauli,2,34,34,3060,34.0,41,1.21,140,96,71.4,8,8,18,9,26.5,5,1,4,0,80.0
Stuttgart,1,34,34,3060,34.0,53,1.56,136,83,62.5,14,8,12,7,20.6,3,2,1,0,33.3
Union Berlin,2,34,34,3060,34.0,50,1.47,139,86,65.5,10,11,13,8,23.5,6,2,4,0,66.7
Werder Bremen,1,34,34,3060,34.0,57,1.68,156,102,65.4,14,9,11,10,29.4,3,3,0,0,0.0
Wolfsburg,2,34,34,3060,34.0,54,1.59,160,106,67.5,11,10,13,6,17.6,3,2,1,0,33.3
