Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Augsburg,29,34.0,35,397,114,28.7,11.68,3.35,0.09,0.3,17.4,10,1,2,34.7,33.1,0.08,0.3,0.9
Bayern Munich,29,34.0,96,636,255,40.1,18.71,7.5,0.14,0.34,16.7,19,9,10,81.7,74.0,0.12,14.3,13.0
Bochum,27,34.0,32,433,133,30.7,12.74,3.91,0.07,0.23,17.7,11,1,3,41.8,39.3,0.09,-9.8,-8.3
Dortmund,28,34.0,69,478,157,32.8,14.06,4.62,0.13,0.41,16.1,9,5,6,61.2,56.5,0.12,7.8,7.5
Eint Frankfurt,26,34.0,68,480,172,35.8,14.12,5.06,0.14,0.38,16.4,13,3,5,65.1,61.4,0.13,2.9,3.6
Freiburg,26,34.0,46,405,132,32.6,11.91,3.88,0.11,0.35,16.9,16,0,4,44.3,41.1,0.11,1.7,4.9
Gladbach,26,34.0,53,413,153,37.0,12.15,4.5,0.12,0.32,16.4,5,4,5,50.6,46.6,0.11,2.4,2.4
Heidenheim,27,34.0,37,398,124,31.2,11.71,3.65,0.08,0.26,17.3,12,5,5,40.3,36.3,0.09,-3.3,-4.3
Hoffenheim,35,34.0,46,440,148,33.6,12.94,4.35,0.1,0.29,17.7,11,3,3,42.6,40.3,0.09,3.4,2.7
Holstein Kiel,27,34.0,49,368,133,36.1,10.82,3.91,0.12,0.34,17.8,12,4,5,39.8,35.9,0.1,9.2,9.1
Leverkusen,23,34.0,70,499,181,36.3,14.68,5.32,0.13,0.37,16.8,12,3,6,56.9,52.0,0.11,13.1,15.0
Mainz 05,25,34.0,53,417,142,34.1,12.26,4.18,0.12,0.35,16.3,11,4,4,50.1,47.0,0.12,2.9,2.0
RB Leipzig,29,34.0,51,405,144,35.6,11.91,4.24,0.12,0.33,16.7,11,3,4,46.6,43.4,0.11,4.4,4.6
St. Pauli,28,34.0,26,377,109,28.9,11.09,3.21,0.07,0.23,17.4,14,1,2,35.3,33.7,0.09,-9.3,-8.7
Stuttgart,29,34.0,61,465,172,37.0,13.68,5.06,0.13,0.34,15.7,9,2,6,62.3,57.7,0.13,-1.3,1.3
Union Berlin,28,34.0,36,414,120,29.0,12.18,3.53,0.08,0.28,16.6,7,3,3,37.0,34.7,0.08,-1.0,-1.7
Werder Bremen,23,34.0,53,424,138,32.5,12.47,4.06,0.12,0.36,16.0,12,3,5,49.1,45.7,0.11,3.9,4.3
Wolfsburg,27,34.0,53,432,137,31.7,12.71,4.03,0.11,0.36,17.3,13,4,5,47.5,43.4,0.1,5.5,5.6
