Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Bayern Munich,3,3,0,0,15,0,15,9,3.0,7.5,1.5,6.0,2.0,3,3,0,0,10,3,7,9,3.0,8.8,1.7,7.2,2.38
2,Dortmund,3,2,1,0,5,1,4,7,2.33,4.4,3.0,1.4,0.48,3,2,1,0,7,3,4,7,2.33,5.7,2.1,3.6,1.19
3,RB Leipzig,2,2,0,0,5,1,4,6,3.0,5.5,2.6,2.9,1.43,4,2,1,1,3,7,-4,7,1.75,5.7,6.7,-1.0,-0.26
4,Stuttgart,3,3,0,0,4,0,4,9,3.0,3.9,3.3,0.6,0.2,3,1,0,2,4,6,-2,3,1.0,3.9,2.9,1.0,0.33
5,Leverkusen,4,2,1,1,7,4,3,7,1.75,7.1,2.9,4.2,1.04,2,1,1,0,5,4,1,4,2.0,3.0,3.4,-0.4,-0.21
6,Köln,2,1,0,1,5,3,2,3,1.5,3.2,2.8,0.4,0.2,4,2,1,1,6,6,0,7,1.75,5.9,7.3,-1.4,-0.36
7,Union Berlin,4,2,1,1,7,6,1,7,1.75,5.5,6.2,-0.8,-0.19,3,1,0,2,4,8,-4,3,1.0,3.6,7.2,-3.6,-1.18
8,Eint Frankfurt,3,1,0,2,7,8,-1,3,1.0,4.9,3.9,1.0,0.35,3,2,0,1,10,8,2,6,2.0,5.2,5.1,0.1,0.02
9,Freiburg,3,1,1,1,5,5,0,4,1.33,5.2,4.2,1.0,0.34,3,1,1,1,4,4,0,4,1.33,4.0,3.8,0.1,0.04
10,Hamburger SV,3,2,0,1,6,3,3,6,2.0,4.4,5.0,-0.6,-0.21,3,0,2,1,0,5,-5,2,0.67,2.0,4.9,-2.8,-0.94
11,St. Pauli,3,1,1,1,6,6,0,4,1.33,3.9,3.2,0.6,0.22,3,1,0,2,2,3,-1,3,1.0,3.1,4.3,-1.2,-0.4
12,Hoffenheim,3,0,0,3,2,8,-6,0,0.0,3.3,5.7,-2.4,-0.8,3,2,1,0,7,4,3,7,2.33,5.7,4.5,1.2,0.4
13,Werder Bremen,3,1,1,1,4,6,-2,4,1.33,5.7,5.2,0.4,0.15,3,1,0,2,5,8,-3,3,1.0,3.0,7.6,-4.6,-1.53
14,Augsburg,3,1,0,2,6,8,-2,3,1.0,3.5,7.9,-4.5,-1.49,3,1,0,2,5,5,0,3,1.0,2.9,5.5,-2.6,-0.88
15,Wolfsburg,3,0,2,1,4,5,-1,2,0.67,5.1,5.8,-0.7,-0.23,3,1,0,2,4,5,-1,3,1.0,4.4,3.7,0.7,0.24
16,Mainz 05,3,0,0,3,0,4,-4,0,0.0,3.0,4.6,-1.6,-0.53,3,1,1,1,5,6,-1,4,1.33,5.1,3.6,1.5,0.5
17,Heidenheim,3,1,0,2,3,6,-3,3,1.0,2.4,5.9,-3.5,-1.18,3,0,0,3,1,5,-4,0,0.0,4.4,5.3,-0.9,-0.3
18,Gladbach,4,0,2,2,4,10,-6,2,0.5,4.8,6.0,-1.2,-0.3,3,0,1,2,2,5,-3,1,0.33,3.4,3.5,-0.1,-0.04
