Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Augsburg,22,6.0,90,58,42,35,13,51,90,56.7,39,71,20,51,62,152,197,7
Bayern Munich,20,6.0,75,42,28,35,12,35,84,41.7,49,65,20,45,57,132,105,7
Dortmund,21,6.0,61,36,34,16,11,29,63,46.0,34,57,13,44,42,103,181,3
Eint Frankfurt,22,6.0,96,61,38,41,17,50,81,61.7,31,68,14,54,53,149,142,6
Freiburg,23,6.0,80,44,40,34,6,40,59,67.8,19,59,22,37,58,138,149,6
Gladbach,23,7.0,135,70,59,62,14,58,103,56.3,45,72,22,50,58,193,195,2
Hamburger SV,24,6.0,80,45,42,29,9,38,78,48.7,40,68,27,41,44,124,220,4
Heidenheim,23,6.0,83,47,51,23,9,45,106,42.5,61,71,19,52,57,140,170,7
Hoffenheim,20,6.0,105,67,54,39,12,54,100,54.0,46,72,16,56,42,147,211,2
Köln,22,6.0,65,44,34,24,7,27,56,48.2,29,72,31,41,45,110,238,2
Leverkusen,23,6.0,85,54,39,33,13,40,65,61.5,25,57,11,46,44,129,123,4
Mainz 05,23,6.0,76,50,35,24,17,32,65,49.2,33,72,18,54,63,139,154,1
RB Leipzig,21,6.0,102,58,55,37,10,44,85,51.8,41,90,32,58,66,168,198,4
St. Pauli,17,6.0,111,64,35,52,24,61,101,60.4,40,59,16,43,47,158,104,4
Stuttgart,22,6.0,80,49,40,29,11,38,61,62.3,23,67,19,48,54,134,186,2
Union Berlin,19,7.0,101,62,50,40,11,45,94,47.9,49,72,27,45,60,161,245,5
Werder Bremen,22,6.0,110,56,53,46,11,56,104,53.8,48,79,27,52,52,162,170,5
Wolfsburg,21,6.0,98,62,60,30,8,48,92,52.2,44,70,22,48,66,164,210,6
