Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Augsburg,22,6.0,123,20.5,90,12,4,7,6,4,18,3.0,14,2,1,1,0,0
Bayern Munich,20,6.0,212,35.33,169,9,10,10,10,4,46,7.67,33,2,3,3,4,1
Dortmund,21,6.0,131,21.83,104,6,9,5,4,3,24,4.0,22,0,2,0,0,0
Eint Frankfurt,22,6.0,157,26.17,117,17,4,5,11,3,31,5.17,27,2,0,1,1,0
Freiburg,23,6.0,120,20.0,82,16,2,8,9,3,11,1.83,7,1,0,2,1,0
Gladbach,23,7.0,160,22.86,122,19,4,6,3,6,10,1.43,8,2,0,0,0,0
Hamburger SV,24,6.0,132,22.0,91,11,11,9,6,4,9,1.5,5,1,0,2,0,1
Heidenheim,23,6.0,95,15.83,68,14,1,5,5,2,7,1.17,5,0,0,1,1,0
Hoffenheim,20,6.0,129,21.5,87,18,8,6,9,1,14,2.33,10,0,1,0,3,0
Köln,22,6.0,140,23.33,100,14,9,12,4,1,19,3.17,16,0,2,1,0,0
Leverkusen,23,6.0,132,22.0,89,10,11,8,12,2,19,3.17,7,2,2,1,6,1
Mainz 05,23,6.0,146,24.33,100,14,9,14,6,3,8,1.33,4,0,2,0,0,2
RB Leipzig,21,6.0,173,28.83,118,18,8,18,10,1,13,2.17,9,0,1,2,1,0
St. Pauli,17,6.0,128,21.33,95,8,5,11,6,3,12,2.0,5,1,1,3,2,0
Stuttgart,22,6.0,169,28.17,132,14,11,4,5,3,15,2.5,12,1,1,0,1,0
Union Berlin,19,7.0,136,19.43,79,25,2,16,12,2,15,2.14,9,1,0,4,1,0
Werder Bremen,22,6.0,123,20.5,102,3,4,5,6,3,17,2.83,12,0,1,2,2,0
Wolfsburg,21,6.0,153,25.5,112,17,6,8,8,2,16,2.67,11,1,0,0,3,1
