Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Atalanta,2,38.0,90,6,1,6,0,76.8,0.31,-13.2,-0.35,240,673,35.7,1369,170,38.6,34.0,338,42.9,34.7,497,10,2.0,35,0.92,14.4
vs Benevento,2,38.0,40,5,0,11,0,36.1,0.23,-3.9,-0.1,112,284,39.4,823,172,24.3,29.3,231,36.4,32.4,528,25,4.7,35,0.92,15.1
vs Bologna,3,38.0,51,3,0,5,2,56.1,0.29,7.1,0.19,200,564,35.5,994,149,41.4,35.4,285,53.3,39.2,505,20,4.0,32,0.84,15.4
vs Cagliari,2,38.0,43,4,2,8,0,41.2,0.29,-1.8,-0.05,159,399,39.8,976,144,29.3,30.7,288,39.2,34.8,585,25,4.3,34,0.89,14.0
vs Crotone,3,38.0,45,9,1,3,1,39.3,0.26,-4.7,-0.12,169,446,37.9,922,160,34.5,33.2,254,50.4,37.0,410,25,6.1,36,0.95,14.6
vs Fiorentina,2,38.0,47,6,1,5,3,42.6,0.31,-1.4,-0.04,151,334,45.2,936,163,26.1,30.4,246,36.6,33.2,587,21,3.6,39,1.03,14.8
vs Genoa,3,38.0,47,4,0,3,1,38.0,0.28,-8.0,-0.21,171,396,43.2,1074,171,28.5,31.7,204,44.1,35.8,460,17,3.7,33,0.87,15.7
vs Hellas Verona,3,38.0,46,3,1,3,5,37.6,0.29,-3.4,-0.09,255,654,39.0,1186,146,44.6,37.4,267,46.8,35.7,549,23,4.2,35,0.92,14.1
vs Inter,3,38.0,89,8,1,9,5,73.1,0.32,-10.9,-0.29,178,446,39.9,1005,161,31.9,33.3,290,43.1,36.5,526,15,2.9,32,0.84,13.6
vs Juventus,3,38.0,77,8,0,10,1,73.8,0.31,-2.2,-0.06,199,460,43.3,905,149,36.7,33.7,289,44.3,36.1,560,10,1.8,17,0.45,12.2
vs Lazio,2,38.0,61,6,4,2,2,57.9,0.27,-1.1,-0.03,163,414,39.4,933,204,31.6,32.9,289,41.2,36.9,619,20,3.2,37,0.97,13.6
vs Milan,2,38.0,74,15,1,8,2,72.9,0.27,0.9,0.02,212,491,43.2,1025,176,34.5,32.9,285,48.1,38.0,538,11,2.0,30,0.79,14.5
vs Napoli,2,38.0,86,7,3,6,3,72.3,0.29,-10.7,-0.28,198,468,42.3,1062,203,29.8,31.4,338,44.7,35.9,510,20,3.9,41,1.08,15.8
vs Parma,2,38.0,39,5,1,4,0,40.5,0.28,1.5,0.04,113,313,36.1,863,178,25.7,29.4,257,35.4,32.7,496,12,2.4,32,0.84,14.3
vs Roma,3,38.0,68,7,0,9,1,61.8,0.27,-5.2,-0.14,150,379,39.6,1080,185,26.9,30.0,250,35.6,31.3,504,18,3.6,39,1.03,15.4
vs Sampdoria,2,38.0,52,5,0,9,0,40.9,0.25,-11.1,-0.29,151,395,38.2,1125,190,29.4,31.1,226,28.3,29.0,617,21,3.4,46,1.21,15.6
vs Sassuolo,2,38.0,64,13,2,7,3,56.3,0.24,-4.7,-0.12,209,497,42.1,993,184,37.7,34.1,261,47.1,37.3,462,14,3.0,29,0.76,15.1
vs Spezia,3,38.0,52,4,0,9,0,43.6,0.3,-8.4,-0.22,188,545,34.5,1246,146,35.7,32.6,242,41.3,34.5,433,13,3.0,50,1.32,16.8
vs Torino,3,38.0,50,5,1,10,1,50.3,0.3,1.3,0.03,142,344,41.3,884,182,26.2,30.6,279,40.1,35.1,611,27,4.4,36,0.95,14.1
vs Udinese,4,38.0,42,4,0,2,2,38.2,0.27,-1.8,-0.05,131,334,39.2,870,157,29.3,31.9,269,29.4,31.1,555,25,4.5,20,0.53,12.6
