Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Atalanta,32,38.0,17503,15571,1863,555,47,116,468,737,134,60,39,1,13368,69,366
vs Bologna,36,38.0,17994,16245,1661,465,39,153,680,691,167,66,74,1,14275,88,297
vs Cagliari,33,38.0,19924,17954,1894,586,56,123,693,786,199,68,78,1,15763,76,330
vs Empoli,28,38.0,18693,16720,1907,561,48,250,787,743,217,91,76,0,14955,66,327
vs Fiorentina,28,38.0,15395,13564,1712,506,54,77,437,657,127,48,57,0,11993,119,292
vs Genoa,40,38.0,20272,18174,2039,609,35,157,648,888,192,60,87,2,15866,59,410
vs Hellas Verona,31,38.0,17056,14925,2099,630,30,87,682,850,187,72,79,1,12510,32,368
vs Inter,27,38.0,16669,14983,1652,503,21,112,516,562,131,63,50,0,13450,34,290
vs Juventus,32,38.0,18611,16719,1857,556,22,123,730,682,197,81,77,0,15048,35,311
vs Lazio,27,38.0,18668,16963,1632,463,36,178,602,651,146,63,46,0,15276,73,309
vs Milan,28,38.0,16396,14572,1761,526,25,167,533,650,159,74,63,1,12864,63,298
vs Napoli,27,38.0,16201,14495,1646,507,37,120,552,603,145,58,69,0,12959,60,301
vs Roma,29,38.0,17956,16098,1777,535,24,132,504,684,133,53,64,0,14445,81,340
vs Salernitana,42,38.0,21188,19440,1685,496,57,185,745,669,233,92,101,1,17458,63,292
vs Sampdoria,34,38.0,20027,18196,1767,550,42,141,764,683,215,74,84,3,15997,64,311
vs Sassuolo,29,38.0,16791,14939,1710,470,53,123,670,671,196,71,89,2,13305,142,342
vs Spezia,30,38.0,20741,18778,1901,542,36,128,710,830,214,96,92,0,16843,62,334
vs Torino,31,38.0,15759,13659,2040,687,30,88,558,806,180,61,92,1,11475,60,291
vs Udinese,29,38.0,20623,18761,1805,620,40,127,653,633,203,68,101,0,16858,57,361
vs Venezia,39,38.0,21142,19162,1932,534,30,147,817,815,268,121,91,0,17187,48,348
