Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Atalanta,32,27.5,38,3420,90,100,38.0,418,80,237,180,24,213,1.55,65,48,17,0.45,62.4,45.3,17.2,0.45
Bologna,36,26.6,38,3420,90,100,38.0,418,81,242,171,20,276,1.21,44,55,-11,-0.29,44.9,52.6,-7.7,-0.2
Cagliari,33,26.5,38,3420,90,100,38.0,418,82,259,157,21,252,0.79,34,68,-34,-0.89,39.0,61.0,-21.9,-0.58
Empoli,28,24.5,38,3420,90,100,38.0,418,80,236,178,23,271,1.08,50,70,-20,-0.53,44.9,66.0,-21.2,-0.56
Fiorentina,28,26.4,38,3420,90,100,38.0,418,81,235,179,21,275,1.63,59,51,8,0.21,60.0,40.6,19.4,0.51
Genoa,40,27.0,38,3420,90,100,38.0,418,78,241,179,27,268,0.74,27,60,-33,-0.87,37.2,54.1,-16.9,-0.44
Hellas Verona,31,26.8,38,3420,90,100,38.0,418,81,250,165,23,244,1.39,65,59,6,0.16,50.4,49.0,1.4,0.04
Inter,27,28.9,38,3420,90,100,38.0,418,81,232,186,19,264,2.21,84,32,52,1.37,81.6,39.1,42.5,1.12
Juventus,32,27.4,38,3420,90,100,38.0,418,81,257,161,23,223,1.84,57,37,20,0.53,51.4,38.1,13.4,0.35
Lazio,27,29.0,38,3420,90,100,38.0,418,82,258,155,21,288,1.68,77,58,19,0.5,55.3,47.7,7.6,0.2
Milan,28,25.6,38,3420,90,100,38.0,418,80,244,173,23,251,2.26,69,31,38,1.0,59.7,35.9,23.8,0.63
Napoli,27,27.9,38,3420,90,100,38.0,418,82,247,172,18,220,2.08,74,31,43,1.13,57.8,32.5,25.3,0.67
Roma,29,26.4,38,3420,90,100,38.0,418,83,262,151,19,298,1.66,59,43,16,0.42,65.1,38.4,26.8,0.7
Salernitana,42,27.7,38,3420,90,100,38.0,418,80,235,179,23,246,0.82,33,78,-45,-1.18,36.5,65.2,-28.7,-0.76
Sampdoria,34,29.0,38,3420,90,100,38.0,418,82,249,167,20,264,0.95,46,63,-17,-0.45,36.7,56.1,-19.3,-0.51
Sassuolo,29,26.1,38,3420,90,100,38.0,418,83,251,165,17,264,1.32,64,66,-2,-0.05,55.7,66.4,-10.7,-0.28
Spezia,30,24.4,38,3420,90,100,38.0,418,82,278,137,23,268,0.95,41,71,-30,-0.79,40.1,64.4,-24.3,-0.64
Torino,31,25.2,38,3420,90,100,38.0,418,81,253,163,22,284,1.32,46,41,5,0.13,48.7,38.9,9.8,0.26
Udinese,29,26.2,38,3420,90,100,38.0,418,82,259,155,21,269,1.24,61,58,3,0.08,51.3,52.4,-1.0,-0.03
Venezia,39,26.1,38,3420,90,100,38.0,418,79,229,183,24,264,0.71,34,69,-35,-0.92,36.5,71.8,-35.3,-0.93
