Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Atalanta,27,38.0,15462,19507,79.3,267971,97492,7245,8234,88.0,6234,7350,84.8,1525,2778,54.9,42,42.7,40.8,-0.7,405,1184,385,89,1637
Bologna,27,38.0,16763,20552,81.6,290293,103110,7901,8808,89.7,6726,7738,86.9,1675,2874,58.3,41,31.5,26.0,9.5,371,1120,246,67,1366
Cremonese,33,38.0,10872,15041,72.3,200114,82419,4733,5616,84.3,4640,5790,80.1,1236,2782,44.4,18,24.3,21.9,-6.3,325,936,275,107,1107
Empoli,32,38.0,13199,16862,78.3,234132,88608,5889,6670,88.3,5521,6484,85.1,1395,2669,52.3,20,26.8,24.1,-6.8,322,776,245,76,1114
Fiorentina,30,38.0,15373,19236,79.9,294347,99945,6120,6942,88.2,6799,7859,86.5,2111,3485,60.6,37,40.2,36.7,-3.2,462,1219,353,121,1627
Hellas Verona,36,38.0,9481,13807,68.7,186844,85475,3784,4825,78.4,4041,5180,78.0,1394,2872,48.5,22,28.1,23.0,-6.1,304,861,232,88,1063
Inter,25,38.0,17693,21281,83.1,320024,109417,7531,8348,90.2,7877,8900,88.5,1858,3042,61.1,50,51.8,46.8,-1.8,479,1272,390,134,1624
Juventus,29,38.0,15226,18690,81.5,285025,99282,6319,7141,88.5,6719,7633,88.0,1910,3085,61.9,41,39.8,29.8,1.2,404,1163,295,90,1394
Lazio,24,38.0,18135,21629,83.8,293491,106673,9434,10386,90.8,6408,7337,87.3,1635,2620,62.4,37,34.3,30.0,2.7,325,1214,283,44,1381
Lecce,29,38.0,10083,14358,70.2,188701,76019,4285,5217,82.1,4134,5229,79.1,1351,3015,44.8,21,25.3,20.6,-4.3,313,965,218,79,1232
Milan,30,38.0,15948,19734,80.8,289152,100822,6781,7765,87.3,6974,7961,87.6,1800,2995,60.1,49,46.0,39.2,3.0,416,1165,359,88,1584
Monza,31,38.0,17198,20724,83.0,308969,105210,7443,8250,90.2,7577,8569,88.4,1777,2898,61.3,31,33.8,28.7,-2.8,312,1154,278,71,1362
Napoli,27,38.0,21086,24473,86.2,349837,113047,10412,11275,92.3,8149,9116,89.4,1839,2748,66.9,57,46.8,42.9,10.2,490,1638,411,89,1804
Roma,30,38.0,14171,17814,79.5,257681,88761,6089,6899,88.3,6074,7077,85.8,1659,2915,56.9,33,39.1,33.4,-6.1,368,960,261,56,1217
Salernitana,30,38.0,12667,16508,76.7,223947,85787,5739,6539,87.8,5160,6153,83.9,1342,2755,48.7,34,26.9,20.8,7.1,280,845,209,70,1089
Sampdoria,40,38.0,12606,16575,76.1,231539,88820,5369,6223,86.3,5427,6538,83.0,1489,2830,52.6,18,24.4,25.1,-6.4,272,886,241,74,1126
Sassuolo,31,38.0,14805,18306,80.9,269825,99100,6480,7323,88.5,6109,7036,86.8,1835,2980,61.6,30,36.1,31.5,-6.1,371,1092,328,82,1565
Spezia,34,38.0,12399,16501,75.1,215537,84262,5772,6701,86.1,4973,6020,82.6,1235,2696,45.8,18,29.3,26.8,-11.3,289,928,267,84,1163
Torino,28,38.0,15376,19336,79.5,275969,93628,6788,7659,88.6,6681,7680,87.0,1502,2948,50.9,34,35.0,30.1,-1.0,375,1159,274,89,1328
Udinese,30,38.0,13391,16790,79.8,246847,93352,5689,6485,87.7,5719,6627,86.3,1624,2751,59.0,41,37.8,33.3,3.2,384,1009,295,70,1354
